,0
aids_False_False_accuracy,3.962823339799581e-20
aids_False_False_f1_score,5.415468493343671e-19
aids_False_False_log_loss,6.4305892984003655e-28
aids_False_False_preprocess_time,9.581903851109608e-09
aids_False_False_training_time,3.0203302666023695e-40
aids_False_False_prediction_time,1.6378120729992097e-40
aids_False_False_enery_prep,3.286916758963011e-14
aids_False_False_energy_train,7.589594997667126e-40
aids_False_False_energy_pred,4.5100249297563696e-40
aids_False_True_accuracy,1.408767188065465e-08
aids_False_True_f1_score,2.9162088014892817e-18
aids_False_True_log_loss,2.1714777721677775e-21
aids_False_True_preprocess_time,4.7599739760125635e-08
aids_False_True_training_time,8.028865489899267e-40
aids_False_True_prediction_time,6.6870986443255005e-40
aids_False_True_enery_prep,1.2878139705423365e-10
aids_False_True_energy_train,9.707840171886188e-40
aids_False_True_energy_pred,1.2728345708219188e-38
aids_True_False_accuracy,1.408688565661118e-30
aids_True_False_f1_score,1.7888284721544576e-30
aids_True_False_log_loss,2.669823538479233e-29
aids_True_False_preprocess_time,3.6265566371596877e-07
aids_True_False_training_time,1.7571789444856687e-40
aids_True_False_prediction_time,7.144511436073764e-36
aids_True_False_enery_prep,1.1152267788926957e-16
aids_True_False_energy_train,2.4562054815071583e-39
aids_True_False_energy_pred,4.132375015728701e-35
aids_True_True_accuracy,0.01653208566667087
aids_True_True_f1_score,1.0110382504853256e-08
aids_True_True_log_loss,2.9156305189576323e-07
aids_True_True_preprocess_time,1.3309423516864652e-09
aids_True_True_training_time,9.505163331899744e-40
aids_True_True_prediction_time,1.6625860525052634e-38
aids_True_True_enery_prep,6.195863248024351e-21
aids_True_True_energy_train,1.3605886995013357e-39
aids_True_True_energy_pred,1.0935054276866493e-37
malware_False_False_accuracy,2.0694225681123607e-27
malware_False_False_f1_score,6.27319889746272e-28
malware_False_False_log_loss,1.0861310000451721e-27
malware_False_False_preprocess_time,4.70696754982767e-16
malware_False_False_training_time,7.122788525721624e-38
malware_False_False_prediction_time,7.672639813026335e-39
malware_False_False_enery_prep,1.7217062439845062e-16
malware_False_False_energy_train,6.808295594914938e-39
malware_False_False_energy_pred,2.8767195098840506e-38
malware_False_True_accuracy,1.703187198088612e-31
malware_False_True_f1_score,3.462791745922033e-31
malware_False_True_log_loss,4.277634502680897e-26
malware_False_True_preprocess_time,5.30823513566125e-19
malware_False_True_training_time,2.840622898641554e-41
malware_False_True_prediction_time,2.58885813657004e-38
malware_False_True_enery_prep,1.4045789515556885e-09
malware_False_True_energy_train,1.7204832521308187e-40
malware_False_True_energy_pred,6.289460992415796e-37
malware_True_False_accuracy,7.256501397630844e-29
malware_True_False_f1_score,5.65509577787314e-29
malware_True_False_log_loss,1.4326786443743498e-23
malware_True_False_preprocess_time,6.923853849514586e-10
malware_True_False_training_time,1.4044746707113603e-38
malware_True_False_prediction_time,3.1298845764977915e-38
malware_True_False_enery_prep,3.3234257026221106e-13
malware_True_False_energy_train,1.5173870089931033e-38
malware_True_False_energy_pred,1.7711686402958727e-38
malware_True_True_accuracy,2.0262861410892847e-19
malware_True_True_f1_score,4.876585607213533e-18
malware_True_True_log_loss,1.4083610032279758e-18
malware_True_True_preprocess_time,3.027351136378107e-14
malware_True_True_training_time,3.737631321974468e-41
malware_True_True_prediction_time,1.3886157202424762e-37
malware_True_True_enery_prep,4.144958910430436e-09
malware_True_True_energy_train,3.737631321974468e-41
malware_True_True_energy_pred,1.2267819126512618e-35
students_False_False_accuracy,2.9839509942178174e-16
students_False_False_f1_score,5.282649919721371e-15
students_False_False_log_loss,4.746915539326984e-25
students_False_False_preprocess_time,3.0736586473745066e-24
students_False_False_training_time,1.6378120729992097e-40
students_False_False_prediction_time,6.4560229483980654e-40
students_False_False_enery_prep,7.604961994593267e-28
students_False_False_energy_train,4.323650419745333e-40
students_False_False_energy_pred,5.63114419219458e-39
students_False_True_accuracy,6.039751230536852e-20
students_False_True_f1_score,8.944604297633855e-31
students_False_True_log_loss,4.034592290488437e-33
students_False_True_preprocess_time,0.0012343954634424985
students_False_True_training_time,3.737631321974468e-41
students_False_True_prediction_time,1.661018538772633e-40
students_False_True_enery_prep,4.914016956658552e-07
students_False_True_energy_train,3.737631321974468e-41
students_False_True_energy_pred,1.5701196636733509e-40
students_True_False_accuracy,1.3794055927259947e-18
students_True_False_f1_score,2.9701281361764354e-16
students_True_False_log_loss,1.1306624749430642e-23
students_True_False_preprocess_time,1.0646571136499385e-20
students_True_False_training_time,2.9489280277660424e-39
students_True_False_prediction_time,4.214118248107057e-37
students_True_False_enery_prep,1.5950971034368555e-27
students_True_False_energy_train,5.426802930898838e-37
students_True_False_energy_pred,1.023591094882554e-38
students_True_True_accuracy,2.127829707641333e-28
students_True_True_f1_score,2.524658723326377e-38
students_True_True_log_loss,7.960280538310258e-26
students_True_True_preprocess_time,3.048176338681297e-14
students_True_True_training_time,1.4430113841832e-40
students_True_True_prediction_time,1.3150236207305038e-36
students_True_True_enery_prep,2.4636042285237164e-16
students_True_True_energy_train,5.436624843902043e-39
students_True_True_energy_pred,1.933886449351056e-39
