accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8738317757009346,0.7804878048780487,0.3181487444415552,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.0308642  0.0308642  0.03703704
 0.03703704 0.04320988 0.04320988 0.05555556 0.05555556 0.08024691
 0.08024691 0.08641975 0.08641975 0.09876543 0.09876543 0.10493827
 0.10493827 0.11728395 0.11728395 0.12962963 0.12962963 0.14197531
 0.14197531 0.14814815 0.14814815 0.15432099 0.15432099 0.27777778
 0.27777778 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.07692308 0.07692308
 0.19230769 0.19230769 0.21153846 0.21153846 0.34615385 0.34615385
 0.40384615 0.40384615 0.46153846 0.46153846 0.59615385 0.59615385
 0.76923077 0.76923077 0.80769231 0.80769231 0.82692308 0.82692308
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.9372032288698955,0.0060427188873291016,1.0576868057250977,0.07480812072753906,7431,1925,4,1.8478358208173134e-08,2.7605116231924548e-06,1.924576317998604e-07
0.8130841121495327,0.6610169491525425,0.3595010603422273,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.0308642  0.0308642  0.03703704 0.03703704 0.04320988
 0.04320988 0.06790123 0.06790123 0.07407407 0.07407407 0.09259259
 0.09259259 0.09876543 0.09876543 0.10493827 0.10493827 0.11111111
 0.11111111 0.11728395 0.11728395 0.13580247 0.13580247 0.14814815
 0.14814815 0.15432099 0.15432099 0.16666667 0.16666667 0.17901235
 0.17901235 0.22839506 0.22839506 0.24074074 0.24074074 0.25308642
 0.25308642 0.35185185 0.35185185 0.39506173 0.39506173 0.82098765
 0.82098765 1.        ]","[0.         0.01923077 0.13461538 0.13461538 0.17307692 0.17307692
 0.19230769 0.19230769 0.21153846 0.21153846 0.26923077 0.26923077
 0.36538462 0.36538462 0.44230769 0.44230769 0.48076923 0.48076923
 0.51923077 0.51923077 0.53846154 0.53846154 0.61538462 0.61538462
 0.65384615 0.65384615 0.67307692 0.67307692 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.78846154 0.78846154
 0.80769231 0.80769231 0.86538462 0.86538462 0.90384615 0.90384615
 0.92307692 0.92307692 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.879392212725546,0.01427149772644043,0.7982485294342041,0.07406949996948242,7431,1925,4,4.738165263662626e-08,2.0964087962501755e-06,1.9643422176882119e-07
0.8598130841121495,0.7413793103448276,0.306105749835369,"[0.         0.         0.00617284 0.00617284 0.01234568 0.01234568
 0.01851852 0.01851852 0.04938272 0.04938272 0.05555556 0.05555556
 0.0617284  0.0617284  0.07407407 0.07407407 0.08024691 0.08024691
 0.09259259 0.09259259 0.10493827 0.10493827 0.11728395 0.11728395
 0.12345679 0.12345679 0.12962963 0.12962963 0.15432099 0.15432099
 0.17283951 0.17283951 0.17901235 0.17901235 0.19135802 0.19135802
 0.47530864 0.47530864 1.        ]","[0.         0.01923077 0.01923077 0.25       0.25       0.40384615
 0.40384615 0.44230769 0.44230769 0.46153846 0.46153846 0.51923077
 0.51923077 0.53846154 0.53846154 0.57692308 0.57692308 0.59615385
 0.59615385 0.61538462 0.61538462 0.65384615 0.65384615 0.67307692
 0.67307692 0.75       0.75       0.82692308 0.82692308 0.88461538
 0.88461538 0.92307692 0.92307692 0.94230769 0.94230769 0.98076923
 0.98076923 1.         1.        ]",0.9231956315289649,0.004717111587524414,0.734921932220459,0.07251358032226562,7431,1925,4,2.0659861786593387e-08,1.9825848954475818e-06,2.002692332319728e-07
0.8551401869158879,0.7256637168141593,0.32897471657036254,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.04320988 0.04320988 0.05555556 0.05555556 0.07407407
 0.07407407 0.08024691 0.08024691 0.08641975 0.08641975 0.11728395
 0.11728395 0.17283951 0.17283951 0.18518519 0.18518519 0.19135802
 0.19135802 0.19753086 0.19753086 0.22222222 0.22222222 0.22839506
 0.22839506 0.24691358 0.24691358 0.29012346 0.29012346 0.38271605
 0.38271605 0.38888889 0.38888889 1.        ]","[0.         0.01923077 0.07692308 0.07692308 0.11538462 0.11538462
 0.23076923 0.23076923 0.30769231 0.30769231 0.32692308 0.32692308
 0.40384615 0.40384615 0.59615385 0.59615385 0.61538462 0.61538462
 0.63461538 0.63461538 0.67307692 0.67307692 0.69230769 0.69230769
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.9136989553656221,0.006734609603881836,0.7192108631134033,0.08363699913024902,7431,1925,4,1.3599420856810437e-08,1.876517952519938e-06,1.7934791240416714e-07
0.8084112149532711,0.6611570247933884,0.34762932964687876,"[0.         0.         0.00617284 0.00617284 0.01234568 0.01234568
 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642  0.0308642
 0.06790123 0.06790123 0.07407407 0.07407407 0.08641975 0.08641975
 0.09876543 0.09876543 0.10493827 0.10493827 0.11111111 0.11111111
 0.13580247 0.13580247 0.14814815 0.14814815 0.17901235 0.17901235
 0.19135802 0.19135802 0.19753086 0.19753086 0.2037037  0.2037037
 0.21604938 0.21604938 0.22222222 0.22222222 0.32098765 0.32098765
 0.35185185 0.35185185 0.50617284 0.50617284 1.        ]","[0.         0.01923077 0.01923077 0.07692308 0.07692308 0.17307692
 0.17307692 0.25       0.25       0.32692308 0.32692308 0.34615385
 0.34615385 0.36538462 0.36538462 0.46153846 0.46153846 0.48076923
 0.48076923 0.5        0.5        0.57692308 0.57692308 0.67307692
 0.67307692 0.69230769 0.69230769 0.73076923 0.73076923 0.76923077
 0.76923077 0.78846154 0.78846154 0.80769231 0.80769231 0.88461538
 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692 0.96153846
 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.8881766381766382,0.004635810852050781,0.7111377716064453,0.07060480117797852,7431,1925,4,2.125051442583223e-08,1.9638772163107343e-06,2.007915528093329e-07
0.8598130841121495,0.7115384615384616,0.28062317927033115,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642
 0.0308642  0.03703704 0.03703704 0.04320988 0.04320988 0.04938272
 0.04938272 0.06790123 0.06790123 0.07407407 0.07407407 0.08024691
 0.08024691 0.09259259 0.09259259 0.11111111 0.11111111 0.11728395
 0.11728395 0.15432099 0.15432099 0.31481481 0.31481481 0.45679012
 0.45679012 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.07692308 0.07692308
 0.09615385 0.09615385 0.26923077 0.26923077 0.36538462 0.36538462
 0.42307692 0.42307692 0.46153846 0.46153846 0.55769231 0.55769231
 0.63461538 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692
 0.69230769 0.69230769 0.76923077 0.76923077 0.82692308 0.82692308
 0.92307692 0.92307692 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.9329297245963912,0.00506281852722168,0.7271318435668945,0.10009884834289551,7431,1925,4,1.5342224309850103e-08,1.9577948810828657e-06,1.7825196280758966e-07
0.8364485981308412,0.6902654867256638,0.329535086597948,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642
 0.0308642  0.05555556 0.05555556 0.07407407 0.07407407 0.08024691
 0.08024691 0.09259259 0.09259259 0.11111111 0.11111111 0.12345679
 0.12345679 0.12962963 0.12962963 0.13580247 0.13580247 0.14197531
 0.14197531 0.15432099 0.15432099 0.16666667 0.16666667 0.21604938
 0.21604938 0.33333333 0.33333333 0.40123457 0.40123457 0.64197531
 0.64197531 0.65432099 0.65432099 1.        ]","[0.         0.01923077 0.15384615 0.15384615 0.21153846 0.21153846
 0.23076923 0.23076923 0.34615385 0.34615385 0.42307692 0.42307692
 0.5        0.5        0.55769231 0.55769231 0.59615385 0.59615385
 0.63461538 0.63461538 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.9047958214624883,0.010914802551269531,0.7506310939788818,0.0791161060333252,7431,1925,4,2.224681733673146e-08,1.8634069846934156e-06,1.9208630926329895e-07
0.8177570093457944,0.6422018348623854,0.3610110224028052,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.04320988 0.04320988 0.04938272 0.04938272 0.06790123
 0.06790123 0.09259259 0.09259259 0.10493827 0.10493827 0.11728395
 0.11728395 0.12345679 0.12345679 0.12962963 0.12962963 0.13580247
 0.13580247 0.15432099 0.15432099 0.16049383 0.16049383 0.17283951
 0.17283951 0.19753086 0.19753086 0.20987654 0.20987654 0.24074074
 0.24074074 0.32098765 0.32098765 0.37654321 0.37654321 0.50617284
 0.50617284 0.64197531 0.64197531 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.07692308 0.07692308
 0.11538462 0.11538462 0.13461538 0.13461538 0.21153846 0.21153846
 0.25       0.25       0.28846154 0.28846154 0.42307692 0.42307692
 0.44230769 0.44230769 0.5        0.5        0.53846154 0.53846154
 0.57692308 0.57692308 0.61538462 0.61538462 0.65384615 0.65384615
 0.69230769 0.69230769 0.73076923 0.73076923 0.78846154 0.78846154
 0.80769231 0.80769231 0.86538462 0.86538462 0.88461538 0.88461538
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8779677113010447,0.007910490036010742,0.7764968872070312,0.06920170783996582,7431,1925,4,4.747598140405248e-08,1.992556542467565e-06,1.7465205190471422e-07
0.8457943925233645,0.6857142857142857,0.34286554579519707,"[0.         0.         0.         0.00621118 0.00621118 0.01242236
 0.01242236 0.01863354 0.01863354 0.02484472 0.02484472 0.04968944
 0.04968944 0.05590062 0.05590062 0.0621118  0.0621118  0.06832298
 0.06832298 0.07453416 0.07453416 0.08695652 0.08695652 0.0931677
 0.0931677  0.10559006 0.10559006 0.11801242 0.11801242 0.1242236
 0.1242236  0.13664596 0.13664596 0.14285714 0.14285714 0.16770186
 0.16770186 0.1863354  0.1863354  0.27950311 0.27950311 0.28571429
 0.28571429 0.29192547 0.29192547 0.32298137 0.32298137 0.42857143
 0.42857143 0.43478261 0.43478261 0.67080745 0.67080745 1.        ]","[0.         0.01886792 0.03773585 0.03773585 0.26415094 0.26415094
 0.30188679 0.30188679 0.41509434 0.41509434 0.43396226 0.43396226
 0.47169811 0.47169811 0.49056604 0.49056604 0.50943396 0.50943396
 0.56603774 0.56603774 0.58490566 0.58490566 0.60377358 0.60377358
 0.67924528 0.67924528 0.69811321 0.69811321 0.71698113 0.71698113
 0.73584906 0.73584906 0.75471698 0.75471698 0.79245283 0.79245283
 0.83018868 0.83018868 0.86792453 0.86792453 0.88679245 0.88679245
 0.90566038 0.90566038 0.9245283  0.9245283  0.94339623 0.94339623
 0.96226415 0.96226415 0.98113208 0.98113208 1.         1.        ]",0.8983944685339271,0.0057146549224853516,0.7621710300445557,0.1097111701965332,7431,1925,4,1.6433155376429547e-08,1.97011758105379e-06,1.9264736986059972e-07
0.8450704225352113,0.717948717948718,0.3239514686234163,"[0.         0.00621118 0.00621118 0.01242236 0.01242236 0.03726708
 0.03726708 0.04968944 0.04968944 0.05590062 0.05590062 0.0621118
 0.0621118  0.08695652 0.08695652 0.09937888 0.09937888 0.10559006
 0.10559006 0.11180124 0.11180124 0.11801242 0.11801242 0.1242236
 0.1242236  0.13043478 0.13043478 0.13664596 0.13664596 0.14906832
 0.14906832 0.1552795  0.1552795  0.16149068 0.16149068 0.22360248
 0.22360248 0.23602484 0.23602484 0.48447205 0.48447205 0.65838509
 0.65838509 1.        ]","[0.         0.         0.11538462 0.11538462 0.34615385 0.34615385
 0.38461538 0.38461538 0.46153846 0.46153846 0.5        0.5
 0.51923077 0.51923077 0.53846154 0.53846154 0.55769231 0.55769231
 0.57692308 0.57692308 0.59615385 0.59615385 0.63461538 0.63461538
 0.73076923 0.73076923 0.75       0.75       0.80769231 0.80769231
 0.84615385 0.84615385 0.86538462 0.86538462 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.9043239369326326,0.04262399673461914,0.7414400577545166,0.09255123138427734,7431,1926,4,6.585856938509551e-08,1.995814347221611e-06,1.8507073774773038e-07
