accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8785046728971962,0.7547169811320754,0.27752438770068144,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642  0.03703704
 0.03703704 0.03703704 0.04320988 0.04320988 0.04320988 0.04320988
 0.04938272 0.04938272 0.04938272 0.05555556 0.05555556 0.05555556
 0.05555556 0.0617284  0.0617284  0.06790123 0.07407407 0.08024691
 0.09259259 0.09259259 0.10493827 0.11111111 0.11111111 0.12962963
 0.13580247 0.13580247 0.14814815 0.14814815 0.16666667 0.16666667
 0.17283951 0.17283951 0.18518519 0.2037037  0.2037037  0.20987654
 0.20987654 0.21604938 0.2345679  0.24074074 0.25925926 0.25925926
 0.2962963  0.32716049 0.34567901 0.38271605 0.42592593 0.47530864
 0.57407407 0.70987654 1.        ]","[0.         0.01923077 0.03846154 0.07692308 0.09615385 0.09615385
 0.11538462 0.13461538 0.13461538 0.15384615 0.17307692 0.17307692
 0.19230769 0.30769231 0.34615385 0.38461538 0.40384615 0.46153846
 0.48076923 0.51923077 0.53846154 0.55769231 0.57692308 0.65384615
 0.67307692 0.69230769 0.73076923 0.73076923 0.75       0.75
 0.78846154 0.82692308 0.82692308 0.82692308 0.84615385 0.84615385
 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615
 0.90384615 0.92307692 0.92307692 0.92307692 0.94230769 0.94230769
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]",0.9316239316239316,0.007052421569824219,0.2543447017669678,0.008692502975463867,2516,1925,4,4.985649336908252e-08,9.659831360716424e-07,3.200461977119872e-08
0.8317757009345794,0.6603773584905661,0.5185961803580975,"[0.         0.         0.00617284 0.00617284 0.00617284 0.00617284
 0.01234568 0.01234568 0.01234568 0.02469136 0.02469136 0.0308642
 0.0308642  0.04320988 0.04320988 0.04320988 0.04938272 0.05555556
 0.0617284  0.06790123 0.09259259 0.09259259 0.09259259 0.09259259
 0.09259259 0.09876543 0.09876543 0.11111111 0.11728395 0.12345679
 0.13580247 0.13580247 0.14197531 0.14814815 0.17283951 0.18518519
 0.19135802 0.2037037  0.21604938 0.2345679  0.2345679  0.2654321
 0.27160494 0.27777778 0.29012346 0.2962963  0.30246914 0.30246914
 0.31481481 0.33950617 0.34567901 0.36419753 0.37037037 0.37654321
 0.38888889 0.46296296 0.50617284 0.58641975 0.7037037  1.        ]","[0.         0.01923077 0.01923077 0.05769231 0.11538462 0.15384615
 0.15384615 0.17307692 0.25       0.26923077 0.28846154 0.30769231
 0.32692308 0.32692308 0.34615385 0.38461538 0.38461538 0.42307692
 0.42307692 0.44230769 0.44230769 0.48076923 0.51923077 0.53846154
 0.57692308 0.59615385 0.63461538 0.65384615 0.67307692 0.67307692
 0.67307692 0.71153846 0.73076923 0.73076923 0.73076923 0.73076923
 0.78846154 0.78846154 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.86538462 0.86538462 0.88461538 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.98076923 0.98076923 1.        ]",0.8733974358974359,0.00561976432800293,0.2480316162109375,0.008168220520019531,2516,1925,4,1.921055527119033e-08,9.8521759149946e-07,3.2885710416121215e-08
0.8598130841121495,0.7169811320754716,0.34605523441196284,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.0308642  0.03703704 0.03703704 0.04320988 0.04938272
 0.05555556 0.0617284  0.07407407 0.07407407 0.07407407 0.07407407
 0.08024691 0.08024691 0.09259259 0.09259259 0.09876543 0.09876543
 0.09876543 0.09876543 0.09876543 0.11728395 0.11728395 0.12962963
 0.13580247 0.14197531 0.14814815 0.15432099 0.16666667 0.17901235
 0.17901235 0.18518519 0.18518519 0.2037037  0.21604938 0.2345679
 0.25308642 0.2654321  0.27777778 0.28395062 0.30246914 0.30246914
 0.32716049 0.35185185 0.35802469 0.38888889 0.40123457 0.46296296
 0.54320988 0.66049383 1.        ]","[0.         0.         0.01923077 0.03846154 0.09615385 0.11538462
 0.15384615 0.15384615 0.17307692 0.19230769 0.21153846 0.25
 0.30769231 0.30769231 0.30769231 0.34615385 0.40384615 0.42307692
 0.46153846 0.5        0.53846154 0.57692308 0.59615385 0.63461538
 0.65384615 0.71153846 0.73076923 0.73076923 0.75       0.75
 0.78846154 0.80769231 0.80769231 0.82692308 0.84615385 0.84615385
 0.88461538 0.88461538 0.90384615 0.90384615 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.94230769 0.96153846
 0.96153846 0.98076923 0.98076923 0.98076923 0.98076923 0.98076923
 0.98076923 1.         1.        ]",0.8941120607787275,0.007191181182861328,0.26306796073913574,0.009085655212402344,2516,1925,4,4.637384699634822e-08,1.002513911010252e-06,3.482554695124785e-08
0.8457943925233645,0.6796116504854369,0.49391053635855026,"[0.         0.         0.         0.00617284 0.01234568 0.01234568
 0.01234568 0.01851852 0.01851852 0.01851852 0.02469136 0.02469136
 0.02469136 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.05555556 0.08024691 0.08641975 0.09259259 0.09259259
 0.09876543 0.09876543 0.10493827 0.10493827 0.11111111 0.12345679
 0.13580247 0.14197531 0.15432099 0.16049383 0.16666667 0.16666667
 0.17283951 0.17283951 0.17901235 0.19135802 0.19753086 0.19753086
 0.20987654 0.22222222 0.2345679  0.24691358 0.25925926 0.27160494
 0.30864198 0.33333333 0.36419753 0.39506173 0.45061728 0.53703704
 0.64814815 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.05769231 0.09615385
 0.11538462 0.15384615 0.19230769 0.23076923 0.30769231 0.34615385
 0.42307692 0.48076923 0.5        0.51923077 0.53846154 0.57692308
 0.61538462 0.61538462 0.61538462 0.65384615 0.65384615 0.67307692
 0.67307692 0.71153846 0.71153846 0.73076923 0.73076923 0.73076923
 0.73076923 0.76923077 0.76923077 0.78846154 0.78846154 0.80769231
 0.80769231 0.82692308 0.82692308 0.82692308 0.82692308 0.84615385
 0.84615385 0.84615385 0.86538462 0.86538462 0.90384615 0.92307692
 0.92307692 0.92307692 0.94230769 0.94230769 0.94230769 0.96153846
 0.98076923 1.        ]",0.8946462488129154,0.0065517425537109375,0.2523000240325928,0.00865936279296875,2516,1925,4,3.2503631311306045e-08,9.918496824623538e-07,3.0750824770576476e-08
0.8084112149532711,0.6095238095238096,0.5197233386524039,"[0.         0.00617284 0.01234568 0.01234568 0.02469136 0.02469136
 0.0308642  0.03703704 0.03703704 0.04320988 0.04938272 0.04938272
 0.04938272 0.0617284  0.06790123 0.06790123 0.07407407 0.07407407
 0.08024691 0.09259259 0.10493827 0.10493827 0.11111111 0.11728395
 0.11728395 0.12962963 0.13580247 0.14197531 0.14197531 0.14197531
 0.16666667 0.18518519 0.19135802 0.19135802 0.19753086 0.19753086
 0.20987654 0.20987654 0.2345679  0.24074074 0.25308642 0.25925926
 0.27160494 0.2962963  0.2962963  0.30864198 0.32716049 0.32716049
 0.33333333 0.37037037 0.38271605 0.40123457 0.4382716  0.48765432
 0.54320988 0.66049383 1.        ]","[0.         0.         0.01923077 0.07692308 0.11538462 0.13461538
 0.17307692 0.17307692 0.21153846 0.21153846 0.23076923 0.26923077
 0.32692308 0.32692308 0.32692308 0.36538462 0.36538462 0.42307692
 0.42307692 0.48076923 0.48076923 0.51923077 0.57692308 0.59615385
 0.61538462 0.61538462 0.67307692 0.69230769 0.75       0.76923077
 0.76923077 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308
 0.86538462 0.88461538 0.88461538 0.90384615 0.92307692 0.94230769
 0.94230769 0.94230769 0.96153846 0.96153846 0.96153846 0.98076923
 0.98076923 0.98076923 0.98076923 0.98076923 0.98076923 0.98076923
 0.98076923 0.98076923 1.        ]",0.8770180436847104,0.0065729618072509766,0.2630770206451416,0.007939577102661133,2516,1925,4,3.7847311218387194e-08,9.69517105488563e-07,2.322311817180904e-08
0.9018691588785047,0.7999999999999999,0.28388295559521565,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.02469136 0.02469136 0.02469136 0.0308642  0.03703704
 0.03703704 0.03703704 0.03703704 0.03703704 0.04320988 0.04320988
 0.04938272 0.0617284  0.0617284  0.0617284  0.06790123 0.06790123
 0.06790123 0.06790123 0.06790123 0.08024691 0.08024691 0.08641975
 0.09259259 0.11728395 0.12962963 0.14197531 0.16049383 0.16049383
 0.18518519 0.19753086 0.20987654 0.21604938 0.21604938 0.2345679
 0.25308642 0.29012346 0.31481481 0.36419753 0.37654321 0.39506173
 0.46296296 0.49382716 0.56790123 0.67283951 1.        ]","[0.         0.         0.07692308 0.07692308 0.09615385 0.11538462
 0.21153846 0.21153846 0.25       0.26923077 0.30769231 0.32692308
 0.38461538 0.40384615 0.44230769 0.48076923 0.53846154 0.55769231
 0.55769231 0.59615385 0.61538462 0.65384615 0.69230769 0.71153846
 0.75       0.80769231 0.84615385 0.84615385 0.88461538 0.88461538
 0.90384615 0.90384615 0.90384615 0.90384615 0.90384615 0.94230769
 0.94230769 0.94230769 0.94230769 0.94230769 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846
 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.930318138651472,0.01221776008605957,0.26195335388183594,0.008037328720092773,2516,1925,4,4.0158388235469534e-08,9.859943262875443e-07,3.109165254654823e-08
0.8504672897196262,0.6666666666666667,0.4911628284269097,"[0.         0.         0.         0.00617284 0.01851852 0.02469136
 0.02469136 0.02469136 0.0308642  0.03703704 0.03703704 0.04320988
 0.04320988 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556
 0.0617284  0.0617284  0.07407407 0.07407407 0.08024691 0.08024691
 0.08641975 0.10493827 0.10493827 0.11111111 0.11728395 0.11728395
 0.12345679 0.12962963 0.13580247 0.16666667 0.17901235 0.19135802
 0.19135802 0.2037037  0.20987654 0.22222222 0.2345679  0.24074074
 0.24691358 0.25925926 0.25925926 0.27160494 0.27777778 0.30864198
 0.31481481 0.31481481 0.33333333 0.34567901 0.36419753 0.39506173
 0.43209877 0.44444444 0.53703704 0.64814815 1.        ]","[0.         0.01923077 0.03846154 0.07692308 0.11538462 0.11538462
 0.19230769 0.21153846 0.23076923 0.23076923 0.26923077 0.26923077
 0.32692308 0.38461538 0.38461538 0.40384615 0.42307692 0.51923077
 0.53846154 0.57692308 0.57692308 0.61538462 0.61538462 0.65384615
 0.65384615 0.67307692 0.69230769 0.71153846 0.71153846 0.73076923
 0.76923077 0.78846154 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.86538462 0.86538462 0.86538462 0.90384615
 0.90384615 0.90384615 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.94230769 0.94230769 0.94230769 0.94230769 0.94230769
 0.94230769 0.98076923 0.98076923 0.98076923 1.        ]",0.8931030389363721,0.007397651672363281,0.2546534538269043,0.010467529296875,2516,1925,4,2.7499826370157797e-08,9.569137689431094e-07,3.392224429590293e-08
0.7850467289719626,0.5740740740740741,0.7189205220222905,"[0.         0.         0.         0.01234568 0.01851852 0.0308642
 0.0308642  0.03703704 0.05555556 0.06790123 0.06790123 0.07407407
 0.07407407 0.08024691 0.08024691 0.08641975 0.08641975 0.08641975
 0.09876543 0.12345679 0.12962963 0.12962963 0.13580247 0.14197531
 0.14197531 0.15432099 0.15432099 0.16666667 0.17901235 0.17901235
 0.18518519 0.18518519 0.2037037  0.21604938 0.22222222 0.22839506
 0.2345679  0.25308642 0.2654321  0.27160494 0.28395062 0.29012346
 0.30246914 0.31481481 0.35185185 0.35802469 0.36419753 0.37037037
 0.38271605 0.41975309 0.4382716  0.47530864 0.54320988 0.68518519
 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.07692308 0.07692308
 0.11538462 0.11538462 0.17307692 0.19230769 0.23076923 0.25
 0.28846154 0.32692308 0.36538462 0.38461538 0.40384615 0.46153846
 0.5        0.5        0.51923077 0.55769231 0.55769231 0.57692308
 0.59615385 0.59615385 0.61538462 0.61538462 0.65384615 0.69230769
 0.71153846 0.75       0.75       0.78846154 0.82692308 0.84615385
 0.88461538 0.88461538 0.88461538 0.88461538 0.88461538 0.88461538
 0.90384615 0.90384615 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.94230769 0.96153846 0.96153846 0.96153846
 1.        ]",0.8389126305792973,0.008572578430175781,0.2749760150909424,0.011984109878540039,2516,1925,4,2.454856992134552e-08,8.950989254005292e-07,2.545737429185597e-08
0.8457943925233645,0.6597938144329897,0.3424833093606903,"[0.         0.         0.         0.00621118 0.01242236 0.01242236
 0.01863354 0.01863354 0.02484472 0.02484472 0.02484472 0.02484472
 0.02484472 0.02484472 0.0310559  0.03726708 0.03726708 0.04347826
 0.05590062 0.05590062 0.06832298 0.06832298 0.06832298 0.08074534
 0.08074534 0.08695652 0.08695652 0.0931677  0.0931677  0.10559006
 0.10559006 0.1242236  0.13043478 0.13043478 0.14906832 0.16770186
 0.18012422 0.19254658 0.20496894 0.2173913  0.22360248 0.23602484
 0.2484472  0.28571429 0.29192547 0.31055901 0.33540373 0.37267081
 0.41614907 0.46583851 0.54658385 0.69565217 1.        ]","[0.         0.01886792 0.05660377 0.0754717  0.0754717  0.13207547
 0.13207547 0.1509434  0.18867925 0.22641509 0.26415094 0.28301887
 0.35849057 0.37735849 0.39622642 0.43396226 0.45283019 0.49056604
 0.49056604 0.52830189 0.54716981 0.56603774 0.60377358 0.60377358
 0.62264151 0.64150943 0.67924528 0.71698113 0.73584906 0.73584906
 0.75471698 0.79245283 0.79245283 0.81132075 0.81132075 0.83018868
 0.8490566  0.8490566  0.8490566  0.8490566  0.86792453 0.86792453
 0.90566038 0.90566038 0.90566038 0.90566038 0.90566038 0.9245283
 0.96226415 0.96226415 1.         1.         1.        ]",0.9016172506738545,0.013023853302001953,0.26024770736694336,0.008174896240234375,2516,1925,4,4.6268424154281655e-08,9.313960762892269e-07,2.5496442742052128e-08
0.8309859154929577,0.6326530612244897,0.3418242730404413,"[0.         0.         0.         0.00621118 0.00621118 0.00621118
 0.01242236 0.02484472 0.02484472 0.0310559  0.0310559  0.04347826
 0.04347826 0.04347826 0.04347826 0.04347826 0.04968944 0.04968944
 0.04968944 0.05590062 0.0621118  0.07453416 0.07453416 0.0931677
 0.0931677  0.09937888 0.09937888 0.13043478 0.13043478 0.13664596
 0.13664596 0.14906832 0.14906832 0.14906832 0.1552795  0.1552795
 0.17391304 0.19254658 0.19875776 0.2173913  0.22981366 0.23602484
 0.27329193 0.28571429 0.29813665 0.32919255 0.35403727 0.38509317
 0.40993789 0.48447205 0.55279503 0.69565217 1.        ]","[0.         0.03846154 0.09615385 0.13461538 0.17307692 0.19230769
 0.19230769 0.19230769 0.21153846 0.23076923 0.26923077 0.26923077
 0.30769231 0.32692308 0.36538462 0.38461538 0.38461538 0.40384615
 0.48076923 0.51923077 0.53846154 0.53846154 0.55769231 0.59615385
 0.63461538 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692
 0.69230769 0.71153846 0.75       0.76923077 0.78846154 0.82692308
 0.88461538 0.90384615 0.90384615 0.90384615 0.90384615 0.92307692
 0.92307692 0.94230769 0.94230769 0.94230769 0.94230769 0.96153846
 0.96153846 0.96153846 0.98076923 1.         1.        ]",0.8968585762064023,0.014835357666015625,0.27555346488952637,0.01691269874572754,2516,1926,4,6.994551149436441e-08,9.139792364016585e-07,3.417848925967471e-08
