accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8691588785046729,0.7021276595744681,0.30504177325909393,"[0.         0.         0.         0.01851852 0.01851852 0.0308642
 0.0308642  0.03703704 0.03703704 0.04938272 0.04938272 0.05555556
 0.05555556 0.0617284  0.0617284  0.06790123 0.06790123 0.08024691
 0.08024691 0.08641975 0.08641975 0.09259259 0.09259259 0.14814815
 0.14814815 0.15432099 0.15432099 0.19135802 0.19135802 0.19753086
 0.19753086 1.        ]","[0.         0.01923077 0.11538462 0.11538462 0.13461538 0.13461538
 0.17307692 0.17307692 0.34615385 0.34615385 0.53846154 0.53846154
 0.63461538 0.67307692 0.69230769 0.69230769 0.76923077 0.76923077
 0.86538462 0.86538462 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.942426400759734,0.005679607391357422,0.156019926071167,0.018222808837890625,41070,1925,4,6.24331027050097e-08,6.092229011567748e-07,6.859837588456095e-08
0.822429906542056,0.5869565217391304,0.3868769104374358,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.03703704 0.03703704 0.05555556 0.05555556 0.0617284
 0.0617284  0.06790123 0.06790123 0.08024691 0.08024691 0.09259259
 0.09259259 0.10493827 0.10493827 0.11111111 0.11111111 0.11728395
 0.11728395 0.13580247 0.13580247 0.14197531 0.14197531 0.14814815
 0.14814815 0.18518519 0.18518519 0.2037037  0.2037037  0.20987654
 0.20987654 0.24074074 0.24074074 0.25308642 0.25308642 0.30246914
 0.30246914 0.30864198 0.30864198 0.36419753 0.36419753 0.45679012
 0.45679012 0.54320988 0.54320988 0.56790123 0.56790123 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.15384615 0.15384615
 0.19230769 0.19230769 0.26923077 0.26923077 0.42307692 0.42307692
 0.48076923 0.48076923 0.5        0.5        0.51923077 0.51923077
 0.53846154 0.53846154 0.55769231 0.55769231 0.61538462 0.61538462
 0.63461538 0.63461538 0.65384615 0.65384615 0.69230769 0.69230769
 0.75       0.75       0.76923077 0.76923077 0.78846154 0.78846154
 0.80769231 0.80769231 0.84615385 0.84615385 0.86538462 0.86538462
 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769
 0.96153846 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.87167616334283,0.004035472869873047,0.16115832328796387,0.014291048049926758,39874,1925,4,1.9110348568316976e-08,5.507095548151517e-07,5.847761953654685e-08
0.822429906542056,0.5681818181818181,0.3676219598106936,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.0308642  0.0308642  0.03703704 0.03703704 0.04938272
 0.04938272 0.05555556 0.05555556 0.06790123 0.06790123 0.06790123
 0.09259259 0.09259259 0.10493827 0.10493827 0.11728395 0.11728395
 0.12345679 0.12345679 0.12962963 0.12962963 0.14197531 0.14197531
 0.16049383 0.16049383 0.16666667 0.16666667 0.18518519 0.18518519
 0.2037037  0.2037037  0.22222222 0.22222222 0.25308642 0.25308642
 0.83333333 0.83333333 1.        ]","[0.         0.         0.15384615 0.15384615 0.28846154 0.28846154
 0.30769231 0.30769231 0.32692308 0.32692308 0.38461538 0.38461538
 0.42307692 0.42307692 0.44230769 0.44230769 0.48076923 0.51923077
 0.51923077 0.55769231 0.55769231 0.59615385 0.59615385 0.61538462
 0.61538462 0.67307692 0.67307692 0.73076923 0.73076923 0.82692308
 0.82692308 0.84615385 0.84615385 0.88461538 0.88461538 0.90384615
 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769 0.98076923
 0.98076923 1.         1.        ]",0.900997150997151,0.0038328170776367188,0.15282368659973145,0.015335321426391602,40342,1925,4,1.7974359330564274e-08,7.019727224417067e-07,4.995133704219275e-08
0.8644859813084113,0.6813186813186813,0.3339589289375008,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.04320988 0.04320988 0.04938272 0.04938272 0.05555556
 0.05555556 0.11728395 0.11728395 0.14197531 0.14197531 0.19753086
 0.19753086 0.21604938 0.21604938 0.22839506 0.22839506 0.24691358
 0.24691358 0.28395062 0.28395062 0.35802469 0.35802469 0.36419753
 0.36419753 0.61728395 0.61728395 1.        ]","[0.         0.         0.09615385 0.09615385 0.13461538 0.13461538
 0.19230769 0.19230769 0.25       0.25       0.30769231 0.30769231
 0.51923077 0.51923077 0.55769231 0.55769231 0.65384615 0.65384615
 0.75       0.75       0.80769231 0.80769231 0.82692308 0.82692308
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.9134615384615384,0.005171060562133789,0.18140959739685059,0.01448678970336914,40498,1925,4,2.733684633907552e-08,7.437889217771387e-07,6.16465638040816e-08
0.822429906542056,0.6481481481481483,0.3820991597430863,"[0.         0.         0.         0.01234568 0.01234568 0.01851852
 0.01851852 0.02469136 0.02469136 0.03703704 0.03703704 0.04320988
 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556 0.06790123
 0.06790123 0.08024691 0.08024691 0.09876543 0.09876543 0.10493827
 0.10493827 0.12345679 0.12345679 0.12962963 0.12962963 0.13580247
 0.13580247 0.14814815 0.14814815 0.16666667 0.16666667 0.18518519
 0.18518519 0.19135802 0.19135802 0.2037037  0.2037037  0.21604938
 0.21604938 0.24074074 0.24074074 0.33950617 0.33950617 0.41975309
 0.41975309 0.56790123 0.56790123 0.82716049 0.82716049 1.        ]","[0.         0.01923077 0.09615385 0.09615385 0.13461538 0.13461538
 0.23076923 0.23076923 0.26923077 0.26923077 0.28846154 0.28846154
 0.30769231 0.30769231 0.32692308 0.32692308 0.46153846 0.46153846
 0.48076923 0.48076923 0.57692308 0.57692308 0.59615385 0.59615385
 0.63461538 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692
 0.71153846 0.71153846 0.73076923 0.73076923 0.75       0.75
 0.76923077 0.76923077 0.78846154 0.78846154 0.86538462 0.86538462
 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769
 0.96153846 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.8784425451092118,0.04575657844543457,0.17131924629211426,0.01654648780822754,40498,1925,4,1.097518529083264e-07,6.633497043088629e-07,4.5008914183234755e-08
0.8738317757009346,0.7096774193548387,0.3088716457472847,"[0.         0.         0.00617284 0.00617284 0.01234568 0.01234568
 0.02469136 0.02469136 0.03703704 0.03703704 0.04320988 0.04320988
 0.05555556 0.05555556 0.0617284  0.0617284  0.08024691 0.08024691
 0.08641975 0.08641975 0.09259259 0.09259259 0.11111111 0.11111111
 0.11728395 0.11728395 0.12962963 0.12962963 0.17283951 0.17283951
 0.18518519 0.18518519 0.19753086 0.19753086 0.20987654 0.20987654
 0.28395062 0.28395062 0.43209877 0.43209877 1.        ]","[0.         0.01923077 0.01923077 0.13461538 0.13461538 0.32692308
 0.32692308 0.38461538 0.38461538 0.44230769 0.44230769 0.63461538
 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692 0.71153846
 0.71153846 0.76923077 0.76923077 0.80769231 0.80769231 0.82692308
 0.82692308 0.84615385 0.84615385 0.88461538 0.88461538 0.90384615
 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846
 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.9332858499525167,0.0047609806060791016,0.1663799285888672,0.019374370574951172,41070,1925,4,3.7991251480376124e-08,6.993220205144794e-07,5.9172939858492867e-08
0.8644859813084113,0.6881720430107527,0.3354996037182551,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642
 0.0308642  0.03703704 0.03703704 0.05555556 0.05555556 0.06790123
 0.06790123 0.09259259 0.09259259 0.11111111 0.11111111 0.11728395
 0.11728395 0.12345679 0.12345679 0.14197531 0.14197531 0.15432099
 0.15432099 0.18518519 0.18518519 0.21604938 0.21604938 0.24691358
 0.24691358 0.30864198 0.30864198 0.38271605 0.38271605 0.72839506
 0.72839506 0.90740741 0.90740741 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.07692308 0.07692308
 0.11538462 0.11538462 0.17307692 0.17307692 0.23076923 0.23076923
 0.51923077 0.51923077 0.53846154 0.53846154 0.61538462 0.61538462
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.80769231 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.9013532763532763,0.004442691802978516,0.16032004356384277,0.016045093536376953,40602,1925,4,1.8083827623776e-08,6.278841905097656e-07,5.3660197042950015e-08
0.8037383177570093,0.5714285714285715,0.435587863362318,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.03703704 0.03703704 0.04320988
 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556 0.06790123
 0.06790123 0.07407407 0.07407407 0.08024691 0.08024691 0.08641975
 0.08641975 0.09259259 0.09259259 0.09876543 0.09876543 0.11111111
 0.11111111 0.11728395 0.11728395 0.12345679 0.12345679 0.13580247
 0.13580247 0.14814815 0.14814815 0.15432099 0.15432099 0.16666667
 0.16666667 0.18518519 0.18518519 0.19753086 0.19753086 0.2037037
 0.2037037  0.20987654 0.20987654 0.21604938 0.21604938 0.2345679
 0.2345679  0.32098765 0.32098765 0.46296296 0.46296296 0.64197531
 0.64197531 0.84567901 0.84567901 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.05769231 0.05769231
 0.09615385 0.09615385 0.13461538 0.13461538 0.15384615 0.15384615
 0.23076923 0.23076923 0.25       0.25       0.30769231 0.30769231
 0.32692308 0.32692308 0.36538462 0.36538462 0.38461538 0.38461538
 0.40384615 0.40384615 0.42307692 0.42307692 0.46153846 0.46153846
 0.53846154 0.53846154 0.55769231 0.55769231 0.61538462 0.61538462
 0.65384615 0.65384615 0.69230769 0.69230769 0.75       0.75
 0.76923077 0.76923077 0.78846154 0.78846154 0.80769231 0.80769231
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8611111111111109,0.004425048828125,0.15722417831420898,0.015652894973754883,39978,1925,4,1.9738365394522683e-08,7.049558474079637e-07,5.4933089623209743e-08
0.822429906542056,0.5681818181818181,0.3643427522198973,"[0.         0.         0.         0.00621118 0.00621118 0.01242236
 0.01242236 0.01863354 0.01863354 0.02484472 0.02484472 0.03726708
 0.03726708 0.04347826 0.04347826 0.04968944 0.04968944 0.0621118
 0.0621118  0.06832298 0.06832298 0.07453416 0.07453416 0.08695652
 0.08695652 0.0931677  0.0931677  0.14285714 0.14285714 0.14906832
 0.14906832 0.1552795  0.1552795  0.16149068 0.16149068 0.19875776
 0.19875776 0.2173913  0.2173913  0.22360248 0.22360248 0.2484472
 0.2484472  0.25465839 0.25465839 0.26708075 0.26708075 0.28571429
 0.28571429 0.29192547 0.29192547 0.31055901 0.31055901 0.70807453
 0.70807453 1.        ]","[0.         0.01886792 0.13207547 0.13207547 0.1509434  0.1509434
 0.18867925 0.18867925 0.26415094 0.26415094 0.32075472 0.32075472
 0.35849057 0.35849057 0.41509434 0.41509434 0.43396226 0.43396226
 0.47169811 0.49056604 0.58490566 0.58490566 0.66037736 0.66037736
 0.69811321 0.69811321 0.71698113 0.71698113 0.73584906 0.73584906
 0.75471698 0.75471698 0.77358491 0.77358491 0.79245283 0.79245283
 0.81132075 0.81132075 0.8490566  0.8490566  0.86792453 0.86792453
 0.88679245 0.88679245 0.90566038 0.90566038 0.9245283  0.9245283
 0.94339623 0.94339623 0.96226415 0.96226415 0.98113208 0.98113208
 1.         1.        ]",0.8988046408062815,0.004705905914306641,0.1597120761871338,0.014552116394042969,40446,1925,4,2.2706273517562544e-08,6.009831221569334e-07,5.2855336678782274e-08
0.8262910798122066,0.5842696629213484,0.3482623963603755,"[0.         0.         0.         0.00621118 0.00621118 0.01242236
 0.01242236 0.01863354 0.01863354 0.0310559  0.0310559  0.04968944
 0.04968944 0.05590062 0.05590062 0.06832298 0.06832298 0.08695652
 0.08695652 0.0931677  0.0931677  0.09937888 0.09937888 0.10559006
 0.10559006 0.11180124 0.11180124 0.11801242 0.11801242 0.1242236
 0.1242236  0.13043478 0.13043478 0.13664596 0.13664596 0.17391304
 0.17391304 0.18012422 0.18012422 0.21118012 0.21118012 0.26086957
 0.26086957 0.29192547 0.29192547 0.37267081 0.37267081 0.69565217
 0.69565217 1.        ]","[0.         0.01923077 0.15384615 0.15384615 0.30769231 0.30769231
 0.34615385 0.34615385 0.36538462 0.36538462 0.40384615 0.40384615
 0.42307692 0.42307692 0.48076923 0.48076923 0.51923077 0.51923077
 0.59615385 0.59615385 0.61538462 0.61538462 0.67307692 0.67307692
 0.69230769 0.69230769 0.73076923 0.73076923 0.75       0.75
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.92307692 0.92307692 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.9048017200191114,0.004236698150634766,0.16232585906982422,0.018098115921020508,40498,1926,4,1.549264264868609e-08,6.706933829306606e-07,5.0560857345363056e-08
