accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8691588785046729,0.7307692307692306,0.32055684921347916,"[0.         0.         0.         0.00617284 0.00617284 0.01851852
 0.01851852 0.0308642  0.0308642  0.03703704 0.03703704 0.04320988
 0.04320988 0.05555556 0.05555556 0.0617284  0.0617284  0.06790123
 0.06790123 0.07407407 0.07407407 0.08641975 0.08641975 0.09876543
 0.09876543 0.10493827 0.10493827 0.11728395 0.11728395 0.12345679
 0.12345679 0.14197531 0.14197531 0.17901235 0.17901235 0.19135802
 0.19135802 0.66666667 0.66666667 1.        ]","[0.         0.01923077 0.07692308 0.07692308 0.09615385 0.09615385
 0.25       0.25       0.32692308 0.32692308 0.38461538 0.38461538
 0.44230769 0.44230769 0.61538462 0.61538462 0.63461538 0.63461538
 0.67307692 0.67307692 0.71153846 0.71153846 0.75       0.75
 0.76923077 0.76923077 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.9291310541310541,0.010757207870483398,0.007020711898803711,0.018693923950195312,1625,385,23,5.077434459202574e-08,4.129607914906742e-08,1.6599069405091017e-07
0.8364485981308412,0.5882352941176471,0.39216913497668565,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.0308642  0.0308642  0.03703704 0.03703704 0.04320988
 0.04320988 0.04938272 0.04938272 0.0617284  0.0617284  0.06790123
 0.06790123 0.08641975 0.08641975 0.09259259 0.09259259 0.09876543
 0.09876543 0.10493827 0.10493827 0.16666667 0.16666667 0.17283951
 0.17283951 0.19753086 0.19753086 0.25925926 0.25925926 0.37037037
 0.37037037 0.38271605 0.38271605 0.51851852 0.51851852 0.65432099
 0.65432099 0.67283951 0.67283951 0.7345679  0.7345679  0.80864198
 0.80864198 0.82716049 0.82716049 0.98148148 0.98148148 1.        ]","[0.         0.01923077 0.11538462 0.11538462 0.28846154 0.28846154
 0.36538462 0.36538462 0.38461538 0.38461538 0.40384615 0.40384615
 0.42307692 0.42307692 0.51923077 0.51923077 0.63461538 0.63461538
 0.65384615 0.65384615 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769
 0.96153846 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.8438983855650523,0.01457834243774414,0.006585359573364258,0.006645679473876953,1625,385,23,6.011763880465196e-08,3.745471694872234e-08,3.4806192656174913e-08
0.8457943925233645,0.6117647058823529,0.3805026544724289,"[0.         0.         0.         0.00617284 0.00617284 0.03703704
 0.03703704 0.04320988 0.04320988 0.05555556 0.05555556 0.0617284
 0.0617284  0.06790123 0.06790123 0.08641975 0.08641975 0.09259259
 0.09259259 0.09876543 0.09876543 0.10493827 0.10493827 0.13580247
 0.13580247 0.17901235 0.17901235 0.19753086 0.19753086 0.21604938
 0.21604938 0.22222222 0.22222222 0.43209877 0.43209877 0.56790123
 0.56790123 0.7654321  0.7654321  0.80864198 0.80864198 0.85185185
 0.85185185 0.97530864 0.97530864 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.46153846 0.46153846
 0.5        0.5        0.51923077 0.51923077 0.55769231 0.55769231
 0.59615385 0.59615385 0.61538462 0.61538462 0.63461538 0.63461538
 0.71153846 0.71153846 0.73076923 0.73076923 0.75       0.75
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8602801519468186,0.018321990966796875,0.00973367691040039,0.0077974796295166016,1625,385,23,9.110252224761177e-08,5.1492191616507425e-08,3.3272601945310995e-08
0.8644859813084113,0.6947368421052632,0.36830980615984965,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.02469136 0.02469136 0.03703704 0.03703704 0.04320988
 0.04320988 0.05555556 0.05555556 0.0617284  0.0617284  0.09876543
 0.09876543 0.11728395 0.11728395 0.14814815 0.14814815 0.17901235
 0.17901235 0.18518519 0.18518519 0.2037037  0.2037037  0.22839506
 0.22839506 0.25308642 0.25308642 0.2962963  0.2962963  0.32716049
 0.32716049 0.35802469 0.35802469 0.4382716  0.4382716  0.48765432
 0.48765432 0.55555556 0.55555556 0.61111111 0.61111111 0.69753086
 0.69753086 0.7654321  0.7654321  1.        ]","[0.         0.01923077 0.25       0.25       0.34615385 0.34615385
 0.46153846 0.46153846 0.51923077 0.51923077 0.53846154 0.53846154
 0.55769231 0.55769231 0.57692308 0.57692308 0.65384615 0.65384615
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8663342830009496,0.013527631759643555,0.009263038635253906,0.007529258728027344,1625,385,23,7.26579801236793e-08,5.997451750052368e-08,3.845338565221148e-08
0.8598130841121495,0.7115384615384616,0.382517358764155,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.0308642  0.0308642  0.03703704
 0.03703704 0.04320988 0.04320988 0.04938272 0.04938272 0.0617284
 0.0617284  0.06790123 0.06790123 0.08641975 0.08641975 0.10493827
 0.10493827 0.11111111 0.11111111 0.12962963 0.12962963 0.13580247
 0.13580247 0.16049383 0.16049383 0.2345679  0.2345679  0.28395062
 0.28395062 0.29012346 0.29012346 0.54320988 0.54320988 0.55555556
 0.55555556 0.57407407 0.57407407 0.64814815 0.64814815 0.67901235
 0.67901235 0.79012346 0.79012346 1.        ]","[0.         0.01923077 0.11538462 0.11538462 0.15384615 0.15384615
 0.17307692 0.17307692 0.26923077 0.26923077 0.36538462 0.36538462
 0.42307692 0.42307692 0.55769231 0.55769231 0.57692308 0.57692308
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.76923077 0.76923077 0.78846154 0.78846154
 0.80769231 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8740503323836657,0.014208793640136719,0.00956869125366211,0.004378318786621094,1625,385,23,7.564642835858042e-08,5.81141134359367e-08,1.5640103752916366e-08
0.883177570093458,0.7252747252747251,0.33387421145692686,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.05555556 0.05555556 0.07407407 0.07407407 0.08024691
 0.08024691 0.08641975 0.08641975 0.14814815 0.14814815 0.17283951
 0.17283951 0.21604938 0.21604938 0.22839506 0.22839506 0.36419753
 0.36419753 0.37654321 0.37654321 0.41358025 0.41358025 0.42592593
 0.42592593 0.45679012 0.45679012 0.59876543 0.59876543 0.99382716
 0.99382716 1.        ]","[0.         0.01923077 0.11538462 0.11538462 0.15384615 0.15384615
 0.30769231 0.30769231 0.5        0.5        0.61538462 0.61538462
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.76923077 0.76923077 0.78846154 0.78846154
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.892212725546059,0.029534339904785156,0.011374235153198242,0.009631633758544922,1625,385,23,1.6109569059192893e-07,4.6741936200606613e-08,4.794983827442062e-08
0.8457943925233645,0.6373626373626373,0.38652847255009054,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.04938272 0.04938272 0.0617284  0.0617284  0.07407407
 0.07407407 0.08024691 0.08024691 0.11728395 0.11728395 0.13580247
 0.13580247 0.14197531 0.14197531 0.25925926 0.25925926 0.2654321
 0.2654321  0.31481481 0.31481481 0.37037037 0.37037037 0.49382716
 0.49382716 0.59259259 0.59259259 0.67283951 0.67283951 0.7037037
 0.7037037  0.71604938 0.71604938 0.72839506 0.72839506 0.82098765
 0.82098765 1.        ]","[0.         0.01923077 0.19230769 0.19230769 0.23076923 0.23076923
 0.26923077 0.26923077 0.42307692 0.42307692 0.48076923 0.48076923
 0.53846154 0.53846154 0.55769231 0.55769231 0.59615385 0.59615385
 0.63461538 0.63461538 0.69230769 0.69230769 0.71153846 0.71153846
 0.75       0.75       0.76923077 0.76923077 0.78846154 0.78846154
 0.80769231 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.8468660968660969,0.023939132690429688,0.005778074264526367,0.0039823055267333984,1625,385,23,1.1765419707642644e-07,3.861515664071633e-08,1.5266477721520382e-08
0.8551401869158879,0.6736842105263158,0.3902486918118273,"[0.         0.         0.         0.00617284 0.00617284 0.01851852
 0.01851852 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704
 0.03703704 0.04320988 0.04320988 0.05555556 0.05555556 0.06790123
 0.06790123 0.08024691 0.08024691 0.10493827 0.10493827 0.11728395
 0.11728395 0.12962963 0.12962963 0.19135802 0.19135802 0.19753086
 0.19753086 0.20987654 0.20987654 0.2345679  0.2345679  0.25925926
 0.25925926 0.29012346 0.29012346 0.37654321 0.37654321 0.42592593
 0.42592593 0.43209877 0.43209877 0.45061728 0.45061728 0.48765432
 0.48765432 0.51234568 0.51234568 0.52469136 0.52469136 0.90740741
 0.90740741 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.23076923 0.23076923
 0.32692308 0.32692308 0.38461538 0.38461538 0.42307692 0.42307692
 0.44230769 0.44230769 0.46153846 0.46153846 0.51923077 0.51923077
 0.63461538 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692
 0.69230769 0.69230769 0.71153846 0.71153846 0.73076923 0.73076923
 0.75       0.75       0.76923077 0.76923077 0.78846154 0.78846154
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.8628917378917379,0.014887571334838867,0.005936861038208008,0.0037298202514648438,1625,385,23,5.156147616861893e-08,3.2962938184240216e-08,2.1445404775065932e-08
0.8598130841121495,0.6666666666666667,0.37407566203994363,"[0.         0.         0.         0.01242236 0.01242236 0.02484472
 0.02484472 0.0621118  0.0621118  0.07453416 0.07453416 0.0931677
 0.0931677  0.09937888 0.09937888 0.1552795  0.1552795  0.1863354
 0.1863354  0.19254658 0.19254658 0.22360248 0.22360248 0.23602484
 0.23602484 0.30434783 0.30434783 0.34161491 0.34161491 0.34782609
 0.34782609 0.37267081 0.37267081 0.39751553 0.39751553 0.47826087
 0.47826087 0.50310559 0.50310559 0.61490683 0.61490683 0.78881988
 0.78881988 0.90062112 0.90062112 1.        ]","[0.         0.01886792 0.26415094 0.26415094 0.50943396 0.50943396
 0.56603774 0.56603774 0.58490566 0.58490566 0.60377358 0.60377358
 0.62264151 0.62264151 0.64150943 0.64150943 0.67924528 0.67924528
 0.69811321 0.69811321 0.71698113 0.71698113 0.73584906 0.73584906
 0.75471698 0.75471698 0.77358491 0.77358491 0.83018868 0.83018868
 0.86792453 0.86792453 0.88679245 0.88679245 0.90566038 0.90566038
 0.9245283  0.9245283  0.94339623 0.94339623 0.96226415 0.96226415
 0.98113208 0.98113208 1.         1.        ]",0.8529239423414978,0.009809017181396484,0.026608705520629883,0.006410121917724609,1625,385,23,5.070006141828044e-08,3.408057736857916e-08,2.5191138361398493e-08
0.8497652582159625,0.6444444444444444,0.38842013544723397,"[0.         0.         0.         0.00621118 0.00621118 0.01242236
 0.01242236 0.01863354 0.01863354 0.0310559  0.0310559  0.03726708
 0.03726708 0.04347826 0.04347826 0.05590062 0.05590062 0.0621118
 0.0621118  0.07453416 0.07453416 0.08074534 0.08074534 0.1242236
 0.1242236  0.14285714 0.14285714 0.16149068 0.16149068 0.19875776
 0.19875776 0.20496894 0.20496894 0.32298137 0.32298137 0.42857143
 0.42857143 0.45962733 0.45962733 0.55279503 0.55279503 0.57763975
 0.57763975 0.59627329 0.59627329 0.78881988 0.78881988 0.88198758
 0.88198758 0.95652174 0.95652174 1.        ]","[0.         0.01923077 0.25       0.25       0.26923077 0.26923077
 0.30769231 0.30769231 0.36538462 0.36538462 0.38461538 0.38461538
 0.40384615 0.40384615 0.53846154 0.53846154 0.55769231 0.55769231
 0.59615385 0.59615385 0.61538462 0.61538462 0.69230769 0.69230769
 0.71153846 0.71153846 0.73076923 0.73076923 0.78846154 0.78846154
 0.80769231 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8508122312470139,0.010443449020385742,0.006335258483886719,0.0036513805389404297,1625,385,23,5.1484372208808775e-08,3.032929704265512e-08,1.5421144219411533e-08
