accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8457943925233645,0.6373626373626373,0.4145862748777855,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.02469136
 0.02469136 0.0308642  0.0308642  0.03703704 0.03703704 0.04938272
 0.04938272 0.0617284  0.0617284  0.07407407 0.07407407 0.08641975
 0.08641975 0.09259259 0.09259259 0.09876543 0.09876543 0.10493827
 0.10493827 0.11111111 0.11111111 0.11728395 0.11728395 0.12345679
 0.12345679 0.14814815 0.14814815 0.20987654 0.20987654 0.22222222
 0.22222222 0.27777778 0.27777778 0.30864198 0.30864198 0.33950617
 0.33950617 0.40123457 0.40123457 0.50617284 0.50617284 0.5617284
 0.5617284  0.61728395 0.61728395 0.74074074 0.74074074 0.75925926
 0.75925926 0.89506173 0.89506173 1.        ]","[0.         0.         0.05769231 0.05769231 0.15384615 0.15384615
 0.21153846 0.21153846 0.23076923 0.23076923 0.44230769 0.44230769
 0.5        0.5        0.55769231 0.55769231 0.57692308 0.57692308
 0.59615385 0.59615385 0.61538462 0.61538462 0.63461538 0.63461538
 0.69230769 0.69230769 0.71153846 0.71153846 0.73076923 0.73076923
 0.75       0.75       0.76923077 0.76923077 0.78846154 0.78846154
 0.80769231 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8474596391263058,0.015251398086547852,0.41803884506225586,0.08457016944885254,6550,385,23,2.9529501125070837e-08,1.1414355900530898e-06,2.1745535674726462e-07
0.794392523364486,0.3125,0.473737940124544,"[0.         0.         0.         0.00617284 0.00617284 0.01851852
 0.01851852 0.0308642  0.0308642  0.03703704 0.03703704 0.04938272
 0.04938272 0.07407407 0.07407407 0.09259259 0.09259259 0.11728395
 0.11728395 0.12962963 0.12962963 0.13580247 0.13580247 0.14197531
 0.14197531 0.15432099 0.15432099 0.18518519 0.18518519 0.19135802
 0.19135802 0.22839506 0.22839506 0.24691358 0.24691358 0.27160494
 0.27160494 0.30246914 0.30246914 0.37654321 0.37654321 0.4382716
 0.4382716  0.4691358  0.4691358  0.49382716 0.49382716 0.52469136
 0.52469136 0.53703704 0.53703704 0.58641975 0.58641975 0.62962963
 0.62962963 0.72839506 0.72839506 0.75925926 0.75925926 0.89506173
 0.89506173 0.93209877 0.93209877 1.        ]","[0.         0.01923077 0.07692308 0.07692308 0.19230769 0.19230769
 0.21153846 0.21153846 0.26923077 0.26923077 0.32692308 0.32692308
 0.34615385 0.34615385 0.40384615 0.40384615 0.42307692 0.42307692
 0.44230769 0.44230769 0.46153846 0.46153846 0.5        0.5
 0.51923077 0.51923077 0.55769231 0.55769231 0.57692308 0.57692308
 0.59615385 0.59615385 0.61538462 0.61538462 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.78846154 0.78846154
 0.80769231 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.7739791073124408,0.012124776840209961,0.40821242332458496,0.05144023895263672,6550,385,23,3.18691754313356e-08,1.240804508970437e-06,1.59778976129921e-07
0.8130841121495327,0.411764705882353,0.447675184662044,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642
 0.0308642  0.03703704 0.03703704 0.04320988 0.04320988 0.04938272
 0.04938272 0.07407407 0.07407407 0.10493827 0.10493827 0.11728395
 0.11728395 0.12962963 0.12962963 0.2654321  0.2654321  0.32716049
 0.32716049 0.70987654 0.70987654 0.72839506 0.72839506 0.75308642
 0.75308642 0.85802469 0.85802469 0.90123457 0.90123457 0.95061728
 0.95061728 1.        ]","[0.         0.01923077 0.07692308 0.07692308 0.15384615 0.15384615
 0.32692308 0.32692308 0.38461538 0.38461538 0.44230769 0.44230769
 0.53846154 0.53846154 0.57692308 0.57692308 0.63461538 0.63461538
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.8598053181386515,0.006455659866333008,0.3978698253631592,0.05921030044555664,6550,385,23,1.980765964939321e-08,1.1540610481260095e-06,1.794138752509106e-07
0.8271028037383178,0.4788732394366197,0.5917741648528985,"[0.         0.         0.00617284 0.00617284 0.01234568 0.01234568
 0.03703704 0.03703704 0.04320988 0.04320988 0.04938272 0.04938272
 0.07407407 0.07407407 0.09259259 0.09259259 0.11111111 0.11111111
 0.11728395 0.11728395 0.12345679 0.12345679 0.14814815 0.14814815
 0.15432099 0.15432099 0.17283951 0.17283951 0.19135802 0.19135802
 0.22839506 0.22839506 0.24691358 0.24691358 0.25308642 0.25308642
 0.2654321  0.2654321  0.28395062 0.28395062 0.30864198 0.30864198
 0.32098765 0.32098765 0.41358025 0.41358025 0.41975309 0.41975309
 0.44444444 0.44444444 0.47530864 0.47530864 0.48765432 0.48765432
 0.5308642  0.5308642  0.54320988 0.54320988 0.72839506 0.72839506
 0.77160494 0.77160494 1.        ]","[0.         0.01923077 0.01923077 0.07692308 0.07692308 0.38461538
 0.38461538 0.40384615 0.40384615 0.42307692 0.42307692 0.44230769
 0.44230769 0.46153846 0.46153846 0.48076923 0.48076923 0.5
 0.5        0.53846154 0.53846154 0.57692308 0.57692308 0.63461538
 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692 0.69230769
 0.69230769 0.71153846 0.71153846 0.73076923 0.73076923 0.75
 0.75       0.76923077 0.76923077 0.78846154 0.78846154 0.80769231
 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462
 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692
 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923
 0.98076923 1.         1.        ]",0.8309591642924976,0.008790016174316406,0.3996884822845459,0.06172013282775879,6550,385,23,1.543327815992459e-08,1.0954337052174667e-06,2.467479867647275e-07
0.7476635514018691,0.5423728813559322,0.5898060988509891,"[0.         0.         0.00617284 0.00617284 0.01234568 0.01234568
 0.01851852 0.01851852 0.0308642  0.0308642  0.03703704 0.03703704
 0.04320988 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556
 0.06790123 0.06790123 0.07407407 0.07407407 0.08024691 0.08024691
 0.09259259 0.09259259 0.09876543 0.09876543 0.10493827 0.10493827
 0.12962963 0.12962963 0.13580247 0.13580247 0.14197531 0.14197531
 0.14814815 0.14814815 0.16666667 0.16666667 0.17901235 0.17901235
 0.19135802 0.19135802 0.19753086 0.19753086 0.20987654 0.20987654
 0.21604938 0.21604938 0.22222222 0.22222222 0.24691358 0.24691358
 0.2654321  0.2654321  0.28395062 0.28395062 0.30246914 0.30246914
 0.32098765 0.32098765 0.34567901 0.34567901 0.35185185 0.35185185
 0.39506173 0.39506173 0.41358025 0.41358025 0.41975309 0.41975309
 0.48765432 0.48765432 0.87037037 0.87037037 1.        ]","[0.         0.01923077 0.01923077 0.05769231 0.05769231 0.07692308
 0.07692308 0.09615385 0.09615385 0.11538462 0.11538462 0.13461538
 0.13461538 0.15384615 0.15384615 0.17307692 0.17307692 0.19230769
 0.19230769 0.21153846 0.21153846 0.25       0.25       0.26923077
 0.26923077 0.28846154 0.28846154 0.30769231 0.30769231 0.34615385
 0.34615385 0.40384615 0.40384615 0.42307692 0.42307692 0.46153846
 0.46153846 0.48076923 0.48076923 0.5        0.5        0.51923077
 0.51923077 0.59615385 0.59615385 0.61538462 0.61538462 0.63461538
 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692 0.76923077
 0.76923077 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308
 0.82692308 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615
 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846
 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.8099477682811017,0.0076885223388671875,0.4038100242614746,0.05643773078918457,6550,385,23,2.869797405071514e-08,1.1928692313118046e-06,1.7236838940751838e-07
0.8504672897196262,0.6363636363636364,0.3794811586388549,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.02469136
 0.02469136 0.0308642  0.0308642  0.03703704 0.03703704 0.04938272
 0.04938272 0.05555556 0.05555556 0.06790123 0.06790123 0.07407407
 0.07407407 0.08641975 0.08641975 0.09259259 0.09259259 0.10493827
 0.10493827 0.22222222 0.22222222 0.25925926 0.25925926 0.2654321
 0.2654321  0.27777778 0.27777778 0.30864198 0.30864198 0.41975309
 0.41975309 0.4382716  0.4382716  0.80864198 0.80864198 0.86419753
 0.86419753 0.98765432 0.98765432 1.        ]","[0.         0.         0.15384615 0.15384615 0.30769231 0.30769231
 0.40384615 0.40384615 0.48076923 0.48076923 0.53846154 0.53846154
 0.57692308 0.57692308 0.63461538 0.63461538 0.65384615 0.65384615
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8716761633428299,0.010583639144897461,0.40822553634643555,0.08730101585388184,6550,385,23,2.389195156762814e-08,1.115688844462718e-06,1.6532618077148907e-07
0.822429906542056,0.4722222222222222,0.4508472108153785,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.04938272
 0.04938272 0.05555556 0.05555556 0.0617284  0.0617284  0.07407407
 0.07407407 0.08024691 0.08024691 0.09259259 0.09259259 0.09876543
 0.09876543 0.12962963 0.12962963 0.13580247 0.13580247 0.15432099
 0.15432099 0.17283951 0.17283951 0.21604938 0.21604938 0.42592593
 0.42592593 0.4382716  0.4382716  0.44444444 0.44444444 0.46296296
 0.46296296 0.4691358  0.4691358  0.47530864 0.47530864 0.66666667
 0.66666667 0.67901235 0.67901235 0.72839506 0.72839506 0.74074074
 0.74074074 0.77160494 0.77160494 1.        ]","[0.         0.01923077 0.23076923 0.23076923 0.26923077 0.26923077
 0.32692308 0.32692308 0.34615385 0.34615385 0.36538462 0.36538462
 0.40384615 0.40384615 0.44230769 0.44230769 0.48076923 0.48076923
 0.55769231 0.55769231 0.63461538 0.63461538 0.65384615 0.65384615
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.90384615 0.90384615 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8264482431149097,0.0221102237701416,0.3851344585418701,0.054396629333496094,6550,385,23,5.914401673111098e-08,1.1340042943941246e-06,1.6283055674341947e-07
0.8364485981308412,0.5783132530120482,0.5162485122695084,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.04320988
 0.04320988 0.08024691 0.08024691 0.09876543 0.09876543 0.10493827
 0.10493827 0.14197531 0.14197531 0.19135802 0.19135802 0.21604938
 0.21604938 0.22839506 0.22839506 0.25308642 0.25308642 0.25925926
 0.25925926 0.27160494 0.27160494 0.2962963  0.2962963  0.32716049
 0.32716049 0.4691358  0.4691358  0.51851852 0.51851852 0.55555556
 0.55555556 0.58024691 0.58024691 0.59259259 0.59259259 0.61111111
 0.61111111 0.61728395 0.61728395 0.84567901 0.84567901 0.98765432
 0.98765432 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.05769231 0.05769231
 0.09615385 0.09615385 0.21153846 0.21153846 0.25       0.25
 0.48076923 0.48076923 0.51923077 0.51923077 0.55769231 0.55769231
 0.57692308 0.57692308 0.59615385 0.59615385 0.61538462 0.61538462
 0.65384615 0.65384615 0.67307692 0.67307692 0.69230769 0.69230769
 0.71153846 0.71153846 0.73076923 0.73076923 0.75       0.75
 0.76923077 0.76923077 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.7930911680911682,0.006535768508911133,0.4021458625793457,0.05357694625854492,6550,385,23,3.238153238249914e-08,1.0989525058546215e-06,1.6421236558082988e-07
0.8364485981308412,0.5205479452054794,0.3740159675598093,"[0.         0.         0.         0.00621118 0.00621118 0.01863354
 0.01863354 0.02484472 0.02484472 0.0310559  0.0310559  0.03726708
 0.03726708 0.04968944 0.04968944 0.08074534 0.08074534 0.08695652
 0.08695652 0.0931677  0.0931677  0.11180124 0.11180124 0.1242236
 0.1242236  0.16770186 0.16770186 0.27329193 0.27329193 0.29192547
 0.29192547 0.37267081 0.37267081 0.40993789 0.40993789 0.43478261
 0.43478261 0.44720497 0.44720497 0.54037267 0.54037267 0.75776398
 0.75776398 0.86335404 0.86335404 1.        ]","[0.         0.01886792 0.22641509 0.22641509 0.41509434 0.41509434
 0.52830189 0.52830189 0.58490566 0.58490566 0.60377358 0.60377358
 0.64150943 0.64150943 0.67924528 0.67924528 0.69811321 0.69811321
 0.71698113 0.71698113 0.73584906 0.73584906 0.75471698 0.75471698
 0.77358491 0.77358491 0.81132075 0.81132075 0.83018868 0.83018868
 0.8490566  0.8490566  0.86792453 0.86792453 0.88679245 0.88679245
 0.90566038 0.90566038 0.94339623 0.94339623 0.96226415 0.96226415
 0.98113208 0.98113208 1.         1.        ]",0.8844486112738779,0.006647825241088867,0.4088151454925537,0.057152509689331055,6550,385,23,1.2790925898667352e-08,1.2304458732258596e-06,1.5729934293992674e-07
0.8309859154929577,0.5909090909090908,0.4045471657401178,"[0.         0.         0.         0.00621118 0.00621118 0.01242236
 0.01242236 0.02484472 0.02484472 0.0310559  0.0310559  0.03726708
 0.03726708 0.04347826 0.04347826 0.06832298 0.06832298 0.08074534
 0.08074534 0.08695652 0.08695652 0.09937888 0.09937888 0.11801242
 0.11801242 0.13664596 0.13664596 0.14906832 0.14906832 0.18012422
 0.18012422 0.2173913  0.2173913  0.33540373 0.33540373 0.40993789
 0.40993789 0.41614907 0.41614907 0.45341615 0.45341615 0.45962733
 0.45962733 0.48447205 0.48447205 0.57142857 0.57142857 0.62111801
 0.62111801 0.70186335 0.70186335 0.72670807 0.72670807 0.82608696
 0.82608696 1.        ]","[0.         0.01923077 0.03846154 0.03846154 0.07692308 0.07692308
 0.21153846 0.21153846 0.28846154 0.28846154 0.36538462 0.36538462
 0.42307692 0.42307692 0.5        0.5        0.51923077 0.51923077
 0.53846154 0.53846154 0.59615385 0.59615385 0.63461538 0.63461538
 0.65384615 0.65384615 0.71153846 0.71153846 0.75       0.75
 0.76923077 0.76923077 0.78846154 0.78846154 0.80769231 0.80769231
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.8375537505972288,0.007142782211303711,0.3932301998138428,0.0543675422668457,6550,385,23,2.695722998446201e-08,1.2146798800236774e-06,1.6428642797162584e-07
