accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8785046728971962,0.74,0.31719048147358037,"[0.         0.         0.02469136 0.02469136 0.0308642  0.0308642
 0.03703704 0.03703704 0.04320988 0.04320988 0.05555556 0.05555556
 0.06790123 0.06790123 0.07407407 0.07407407 0.08024691 0.08024691
 0.08641975 0.08641975 0.11728395 0.11728395 0.12962963 0.12962963
 0.20987654 0.20987654 1.        ]","[0.         0.01923077 0.01923077 0.23076923 0.23076923 0.46153846
 0.46153846 0.51923077 0.51923077 0.53846154 0.53846154 0.69230769
 0.69230769 0.76923077 0.76923077 0.80769231 0.80769231 0.86538462
 0.86538462 0.90384615 0.90384615 0.94230769 0.94230769 0.98076923
 0.98076923 1.         1.        ]",0.9465811965811965,0.006442070007324219,0.012692928314208984,0.0068094730377197266,48246,385,23,2.1335782125688364e-08,4.8967730457465043e-08,2.498735786893167e-08
0.822429906542056,0.5476190476190477,0.39480161561857274,"[0.         0.         0.         0.01234568 0.01234568 0.01851852
 0.01851852 0.0308642  0.0308642  0.03703704 0.03703704 0.04320988
 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556 0.07407407
 0.07407407 0.08024691 0.08024691 0.08641975 0.08641975 0.09259259
 0.09259259 0.10493827 0.10493827 0.11111111 0.11111111 0.12345679
 0.12345679 0.13580247 0.13580247 0.18518519 0.18518519 0.22839506
 0.22839506 0.25308642 0.25308642 0.31481481 0.31481481 0.34567901
 0.34567901 0.51234568 0.51234568 0.63580247 0.63580247 0.68518519
 0.68518519 0.7037037  0.7037037  0.72222222 0.72222222 0.84567901
 0.84567901 0.95679012 0.95679012 1.        ]","[0.         0.01923077 0.19230769 0.19230769 0.21153846 0.21153846
 0.28846154 0.28846154 0.30769231 0.30769231 0.38461538 0.38461538
 0.42307692 0.42307692 0.44230769 0.44230769 0.55769231 0.55769231
 0.57692308 0.57692308 0.63461538 0.63461538 0.65384615 0.65384615
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.78846154 0.78846154 0.82692308 0.82692308 0.84615385 0.84615385
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.8395061728395062,0.0198824405670166,0.026223421096801758,0.011475324630737305,46410,385,23,5.7858885181295274e-08,9.182170474245283e-08,3.8306668181458346e-08
0.8691588785046729,0.6585365853658537,0.3298447821908406,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.02469136 0.02469136 0.0308642  0.0308642  0.04938272
 0.04938272 0.05555556 0.05555556 0.08024691 0.08024691 0.09259259
 0.09259259 0.09876543 0.09876543 0.11111111 0.11111111 0.12345679
 0.12345679 0.15432099 0.15432099 0.17283951 0.17283951 0.20987654
 0.20987654 0.30864198 0.30864198 0.32098765 0.32098765 0.48148148
 0.48148148 0.5        0.5        0.7345679  0.7345679  1.        ]","[0.         0.         0.13461538 0.13461538 0.46153846 0.46153846
 0.51923077 0.51923077 0.57692308 0.57692308 0.63461538 0.63461538
 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.76923077 0.76923077 0.78846154 0.78846154
 0.82692308 0.82692308 0.84615385 0.84615385 0.88461538 0.88461538
 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769
 0.96153846 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.9151234567901234,0.012777328491210938,0.01311182975769043,0.007401704788208008,48858,385,23,3.806506727836988e-08,4.400049158186092e-08,2.5274812217050604e-08
0.8551401869158879,0.6593406593406593,0.3971461294653883,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.02469136 0.02469136 0.0308642
 0.0308642  0.04320988 0.04320988 0.04938272 0.04938272 0.05555556
 0.05555556 0.0617284  0.0617284  0.06790123 0.06790123 0.08024691
 0.08024691 0.09259259 0.09259259 0.10493827 0.10493827 0.12962963
 0.12962963 0.13580247 0.13580247 0.20987654 0.20987654 0.21604938
 0.21604938 0.25308642 0.25308642 0.27777778 0.27777778 0.31481481
 0.31481481 0.32098765 0.32098765 0.32716049 0.32716049 0.41358025
 0.41358025 0.58641975 0.58641975 0.62345679 0.62345679 0.72222222
 0.72222222 1.        ]","[0.         0.01923077 0.09615385 0.09615385 0.13461538 0.13461538
 0.19230769 0.19230769 0.28846154 0.28846154 0.34615385 0.34615385
 0.46153846 0.46153846 0.51923077 0.51923077 0.53846154 0.53846154
 0.57692308 0.57692308 0.59615385 0.59615385 0.63461538 0.63461538
 0.65384615 0.65384615 0.67307692 0.67307692 0.69230769 0.69230769
 0.71153846 0.71153846 0.73076923 0.73076923 0.75       0.75
 0.76923077 0.76923077 0.78846154 0.78846154 0.80769231 0.80769231
 0.82692308 0.82692308 0.88461538 0.88461538 0.92307692 0.92307692
 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.        ]",0.8717948717948718,0.005346059799194336,0.021790742874145508,0.02060675621032715,44370,385,23,1.7955071066751117e-08,5.835250142755482e-08,4.092345021301189e-08
0.8411214953271028,0.6458333333333334,0.3694506352733168,"[0.         0.         0.         0.00617284 0.00617284 0.01851852
 0.01851852 0.02469136 0.02469136 0.03703704 0.03703704 0.04938272
 0.04938272 0.0617284  0.0617284  0.08024691 0.09259259 0.09259259
 0.09876543 0.09876543 0.12345679 0.12345679 0.12962963 0.12962963
 0.15432099 0.15432099 0.17901235 0.17901235 0.28395062 0.28395062
 0.29012346 0.29012346 0.30864198 0.30864198 0.32716049 0.32716049
 0.37037037 0.37037037 0.45061728 0.45061728 0.4691358  0.4691358
 0.48148148 0.48148148 0.49382716 0.49382716 0.5308642  0.5308642
 0.9691358  0.9691358  1.        ]","[0.         0.01923077 0.25       0.25       0.30769231 0.30769231
 0.32692308 0.32692308 0.44230769 0.44230769 0.51923077 0.51923077
 0.57692308 0.57692308 0.59615385 0.59615385 0.61538462 0.63461538
 0.63461538 0.65384615 0.65384615 0.67307692 0.67307692 0.69230769
 0.69230769 0.75       0.75       0.78846154 0.78846154 0.80769231
 0.80769231 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462
 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692
 0.92307692 0.94230769 0.94230769 0.96153846 0.96153846 0.98076923
 0.98076923 1.         1.        ]",0.8678774928774929,0.014516115188598633,0.012317895889282227,0.0073926448822021484,47226,385,23,3.8968098148760234e-08,4.4014741112066616e-08,2.092136191263731e-08
0.8785046728971962,0.7045454545454546,0.3061556251913772,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.02469136 0.02469136 0.0308642  0.0308642  0.0308642
 0.04320988 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556
 0.0617284  0.0617284  0.07407407 0.07407407 0.09259259 0.09259259
 0.11728395 0.11728395 0.12345679 0.12345679 0.14814815 0.14814815
 0.16666667 0.16666667 0.20987654 0.20987654 0.34567901 0.34567901
 0.42592593 0.42592593 0.52469136 0.52469136 0.80246914 0.80246914
 1.        ]","[0.         0.01923077 0.32692308 0.32692308 0.38461538 0.38461538
 0.40384615 0.40384615 0.44230769 0.44230769 0.59615385 0.63461538
 0.63461538 0.67307692 0.67307692 0.69230769 0.69230769 0.71153846
 0.71153846 0.73076923 0.73076923 0.76923077 0.76923077 0.78846154
 0.78846154 0.80769231 0.80769231 0.86538462 0.86538462 0.88461538
 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769
 0.94230769 0.96153846 0.96153846 0.98076923 0.98076923 1.
 1.        ]",0.9231956315289649,0.005730867385864258,0.013411521911621094,0.00818181037902832,50490,385,23,1.8808341484296393e-08,6.293010887690803e-08,4.965712589926686e-08
0.8785046728971962,0.6904761904761905,0.32948153226087307,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.0308642  0.0308642  0.04320988
 0.04320988 0.04938272 0.04938272 0.08641975 0.08641975 0.09259259
 0.09259259 0.10493827 0.10493827 0.11111111 0.11111111 0.12345679
 0.12345679 0.14197531 0.14197531 0.16049383 0.16049383 0.20987654
 0.20987654 0.21604938 0.21604938 0.2654321  0.2654321  0.28395062
 0.28395062 0.54938272 0.54938272 0.5617284  0.5617284  0.64814815
 0.64814815 0.69135802 0.69135802 0.91975309 0.91975309 1.        ]","[0.         0.01923077 0.17307692 0.17307692 0.23076923 0.23076923
 0.34615385 0.34615385 0.55769231 0.55769231 0.59615385 0.59615385
 0.65384615 0.65384615 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.78846154 0.78846154 0.80769231 0.80769231 0.82692308 0.82692308
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769
 0.96153846 0.96153846 0.98076923 0.98076923 1.         1.        ]",0.889363722697056,0.005914449691772461,0.04553675651550293,0.012606620788574219,46614,385,23,2.346046552489776e-08,9.582857214921744e-08,3.256546780347735e-08
0.8084112149532711,0.5176470588235295,0.36257808930688645,"[0.         0.         0.         0.00617284 0.00617284 0.01851852
 0.01851852 0.02469136 0.02469136 0.03703704 0.03703704 0.04938272
 0.04938272 0.06790123 0.06790123 0.08641975 0.08641975 0.09876543
 0.09876543 0.11728395 0.11728395 0.12345679 0.12345679 0.12962963
 0.12962963 0.13580247 0.13580247 0.15432099 0.15432099 0.16666667
 0.16666667 0.19135802 0.19135802 0.25925926 0.25925926 0.32716049
 0.32716049 0.36419753 0.36419753 0.51851852 0.51851852 0.56790123
 0.56790123 0.58641975 0.58641975 1.        ]","[0.         0.01923077 0.17307692 0.17307692 0.26923077 0.26923077
 0.30769231 0.30769231 0.34615385 0.34615385 0.36538462 0.36538462
 0.40384615 0.40384615 0.53846154 0.53846154 0.65384615 0.65384615
 0.67307692 0.67307692 0.71153846 0.71153846 0.73076923 0.73076923
 0.75       0.75       0.76923077 0.76923077 0.78846154 0.78846154
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.92307692 0.92307692 0.96153846 0.96153846
 0.98076923 0.98076923 1.         1.        ]",0.88164767331434,0.014958858489990234,0.019972562789916992,0.006191253662109375,47022,385,23,3.1983497801238566e-08,5.32317777456314e-08,2.1581855844794945e-08
0.8644859813084113,0.6419753086419753,0.34648750334887357,"[0.         0.         0.         0.00621118 0.00621118 0.02484472
 0.02484472 0.03726708 0.03726708 0.04968944 0.04968944 0.05590062
 0.05590062 0.06832298 0.06832298 0.09937888 0.09937888 0.10559006
 0.10559006 0.11180124 0.11180124 0.13043478 0.13043478 0.14285714
 0.14285714 0.21118012 0.21118012 0.2173913  0.2173913  0.25465839
 0.25465839 0.31055901 0.31055901 0.32298137 0.32298137 0.43478261
 0.43478261 0.62732919 0.62732919 0.7826087  0.7826087  1.
 1.        ]","[0.         0.01886792 0.22641509 0.22641509 0.49056604 0.49056604
 0.50943396 0.50943396 0.58490566 0.58490566 0.60377358 0.60377358
 0.66037736 0.66037736 0.67924528 0.67924528 0.73584906 0.73584906
 0.75471698 0.75471698 0.79245283 0.79245283 0.81132075 0.81132075
 0.83018868 0.83018868 0.8490566  0.8490566  0.86792453 0.86792453
 0.88679245 0.88679245 0.90566038 0.90566038 0.9245283  0.9245283
 0.94339623 0.94339623 0.96226415 0.96226415 0.98113208 0.98113208
 1.        ]",0.8941755537325676,0.014313936233520508,0.014981508255004883,0.006891012191772461,47838,385,23,5.042521062362308e-08,3.3139420739477555e-08,3.2198995106440004e-08
0.8544600938967136,0.6736842105263158,0.3393828069788616,"[0.         0.         0.         0.00621118 0.00621118 0.01863354
 0.01863354 0.02484472 0.02484472 0.03726708 0.03726708 0.06832298
 0.06832298 0.07453416 0.07453416 0.08695652 0.08695652 0.11801242
 0.11801242 0.13043478 0.13043478 0.14285714 0.14285714 0.18012422
 0.18012422 0.21118012 0.21118012 0.22981366 0.22981366 0.36645963
 0.36645963 0.37888199 0.37888199 0.39751553 0.39751553 0.57142857
 0.57142857 0.98136646 0.98136646 1.        ]","[0.         0.01923077 0.34615385 0.34615385 0.44230769 0.44230769
 0.51923077 0.51923077 0.53846154 0.53846154 0.55769231 0.55769231
 0.61538462 0.61538462 0.65384615 0.65384615 0.67307692 0.67307692
 0.71153846 0.71153846 0.73076923 0.73076923 0.80769231 0.80769231
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692
 0.98076923 0.98076923 1.         1.        ]",0.8844959388437649,0.0318453311920166,0.05290651321411133,0.011098384857177734,45390,385,23,6.44112342300504e-08,8.846792967882671e-08,2.918683501020703e-08
