accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8504672897196262,0.68,0.2918022416940068,"[0.         0.00617284 0.01234568 0.01234568 0.01851852 0.01851852
 0.02469136 0.02469136 0.0308642  0.0308642  0.03703704 0.03703704
 0.04938272 0.04938272 0.05555556 0.05555556 0.0617284  0.0617284
 0.06790123 0.06790123 0.07407407 0.07407407 0.08024691 0.08024691
 0.08641975 0.08641975 0.09259259 0.09259259 0.10493827 0.10493827
 0.11111111 0.11111111 0.12962963 0.12962963 0.14814815 0.14814815
 0.16049383 0.16049383 0.17901235 0.17901235 0.19753086 0.19753086
 0.57407407 0.58641975 0.59876543 0.62962963 0.66049383 0.70987654
 0.74691358 0.75925926 0.78395062 0.7962963  0.80246914 0.81481481
 0.82098765 0.83950617 0.85802469 0.87037037 1.        ]","[0.         0.         0.         0.07692308 0.07692308 0.11538462
 0.11538462 0.13461538 0.13461538 0.21153846 0.21153846 0.25
 0.25       0.38461538 0.38461538 0.44230769 0.44230769 0.51923077
 0.51923077 0.53846154 0.53846154 0.57692308 0.57692308 0.61538462
 0.61538462 0.67307692 0.67307692 0.76923077 0.76923077 0.80769231
 0.80769231 0.88461538 0.88461538 0.90384615 0.90384615 0.92307692
 0.92307692 0.96153846 0.96153846 0.98076923 0.98076923 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]",0.926994301994302,0.006121158599853516,0.10380029678344727,0.0022301673889160156,3741,385,4,1.9383191397626793e-08,5.292892079373509e-07,6.801486614137187e-09
0.780373831775701,0.5252525252525252,0.4973854777871815,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.02469136 0.02469136 0.03703704 0.03703704 0.04320988
 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556 0.08024691
 0.08024691 0.10493827 0.10493827 0.12962963 0.12962963 0.14197531
 0.15432099 0.15432099 0.16049383 0.16049383 0.17901235 0.17901235
 0.18518519 0.18518519 0.19135802 0.19753086 0.19753086 0.20987654
 0.20987654 0.22839506 0.22839506 0.2345679  0.2345679  0.24691358
 0.24691358 0.25925926 0.25925926 0.2962963  0.2962963  0.32716049
 0.32716049 0.37037037 0.38271605 0.40740741 0.40740741 0.42592593
 0.42592593 0.43209877 0.44444444 0.5        0.5        0.5617284
 0.57407407 0.58024691 0.59259259 0.70987654 0.72222222 0.75925926
 0.77160494 0.79012346 0.7962963  0.80864198 0.83333333 0.84567901
 0.85802469 0.86419753 0.87654321 0.87654321 0.88888889 0.9382716
 0.96296296 0.97530864 0.99382716 1.        ]","[0.         0.         0.01923077 0.01923077 0.03846154 0.03846154
 0.09615385 0.09615385 0.13461538 0.13461538 0.23076923 0.23076923
 0.32692308 0.32692308 0.34615385 0.34615385 0.36538462 0.36538462
 0.42307692 0.42307692 0.46153846 0.46153846 0.5        0.5
 0.5        0.51923077 0.51923077 0.57692308 0.57692308 0.59615385
 0.59615385 0.65384615 0.67307692 0.67307692 0.69230769 0.69230769
 0.71153846 0.71153846 0.78846154 0.78846154 0.80769231 0.80769231
 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538 0.88461538
 0.90384615 0.90384615 0.90384615 0.90384615 0.92307692 0.92307692
 0.94230769 0.94230769 0.94230769 0.94230769 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846
 0.96153846 0.96153846 0.98076923 0.98076923 0.98076923 0.98076923
 0.98076923 0.98076923 0.98076923 1.         1.         1.
 1.         1.         1.         1.        ]",0.8301282051282052,0.005856513977050781,0.10117554664611816,0.0025234222412109375,3741,385,4,2.3703302094401604e-08,4.851234563658236e-07,7.527784752156281e-09
0.8457943925233645,0.6666666666666666,0.36539516989891446,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.03703704 0.03703704 0.04320988
 0.04320988 0.04938272 0.04938272 0.05555556 0.05555556 0.0617284
 0.0617284  0.06790123 0.06790123 0.08641975 0.08641975 0.09259259
 0.09259259 0.09876543 0.09876543 0.10493827 0.10493827 0.11111111
 0.11111111 0.11728395 0.11728395 0.12345679 0.12345679 0.12962963
 0.12962963 0.14197531 0.14197531 0.14814815 0.14814815 0.19753086
 0.20987654 0.2345679  0.2345679  0.2962963  0.2962963  0.37654321
 0.39506173 0.44444444 0.44444444 0.59259259 0.62962963 0.62962963
 0.75308642 0.7654321  0.7654321  0.80864198 0.82098765 0.88888889
 0.90123457 0.90740741 0.90740741 0.9382716  0.95061728 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.09615385 0.09615385
 0.15384615 0.15384615 0.25       0.25       0.26923077 0.26923077
 0.30769231 0.30769231 0.32692308 0.32692308 0.42307692 0.42307692
 0.51923077 0.51923077 0.57692308 0.57692308 0.63461538 0.63461538
 0.65384615 0.65384615 0.69230769 0.69230769 0.71153846 0.71153846
 0.73076923 0.73076923 0.76923077 0.76923077 0.80769231 0.80769231
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.86538462 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.94230769 0.94230769 0.94230769 0.96153846
 0.96153846 0.96153846 0.98076923 0.98076923 0.98076923 0.98076923
 0.98076923 0.98076923 1.         1.         1.         1.        ]",0.8762464387464388,0.0071408748626708984,0.0971226692199707,0.002246379852294922,3741,385,4,2.2951296362180244e-08,4.75135328226108e-07,7.594512944775612e-09
0.822429906542056,0.6346153846153846,0.4299340775598053,"[0.         0.00617284 0.00617284 0.01234568 0.01234568 0.01851852
 0.01851852 0.02469136 0.02469136 0.03703704 0.03703704 0.04938272
 0.04938272 0.05555556 0.05555556 0.06790123 0.06790123 0.07407407
 0.07407407 0.09259259 0.09259259 0.10493827 0.10493827 0.11111111
 0.11111111 0.11728395 0.11728395 0.14197531 0.14197531 0.14814815
 0.14814815 0.16666667 0.16666667 0.17901235 0.17901235 0.19135802
 0.19135802 0.2345679  0.2345679  0.24074074 0.24074074 0.2654321
 0.27160494 0.32098765 0.32098765 0.38271605 0.38888889 0.41975309
 0.41975309 0.4382716  0.46296296 0.48148148 0.48148148 0.5
 0.5        0.60493827 0.61728395 0.64814815 0.66049383 0.7037037
 0.71604938 0.75308642 0.7654321  0.80864198 0.83333333 0.84567901
 0.89506173 0.90740741 1.        ]","[0.         0.         0.13461538 0.13461538 0.28846154 0.28846154
 0.30769231 0.30769231 0.36538462 0.36538462 0.40384615 0.40384615
 0.42307692 0.42307692 0.48076923 0.48076923 0.55769231 0.55769231
 0.57692308 0.57692308 0.59615385 0.59615385 0.61538462 0.61538462
 0.63461538 0.63461538 0.71153846 0.71153846 0.73076923 0.73076923
 0.75       0.75       0.76923077 0.76923077 0.78846154 0.78846154
 0.82692308 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462
 0.88461538 0.88461538 0.90384615 0.90384615 0.94230769 0.94230769
 0.96153846 0.96153846 0.96153846 0.96153846 0.98076923 0.98076923
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]",0.8864553656220323,0.0071065425872802734,0.0693979263305664,0.004679679870605469,3741,385,4,3.16295525369599e-08,3.103963416916869e-07,2.879452665150925e-08
0.7897196261682243,0.5631067961165048,0.4290538010055808,"[0.         0.         0.         0.00617284 0.00617284 0.01851852
 0.01851852 0.02469136 0.02469136 0.04320988 0.04320988 0.05555556
 0.05555556 0.06790123 0.06790123 0.08024691 0.08024691 0.08641975
 0.08641975 0.09259259 0.09259259 0.11728395 0.11728395 0.12345679
 0.12345679 0.14197531 0.14197531 0.15432099 0.15432099 0.16049383
 0.16049383 0.16666667 0.16666667 0.17283951 0.17283951 0.18518519
 0.2037037  0.2037037  0.22222222 0.22222222 0.2345679  0.2345679
 0.25308642 0.25308642 0.25925926 0.25925926 0.27777778 0.27777778
 0.28395062 0.28395062 0.30864198 0.30864198 0.33333333 0.33333333
 0.38271605 0.38271605 0.40740741 0.41975309 0.47530864 0.47530864
 0.49382716 0.50617284 0.51851852 0.5308642  0.57407407 0.57407407
 0.7037037  0.71604938 0.7654321  0.77777778 0.84567901 0.85802469
 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.07692308 0.07692308
 0.09615385 0.09615385 0.23076923 0.23076923 0.28846154 0.28846154
 0.32692308 0.32692308 0.40384615 0.40384615 0.42307692 0.42307692
 0.46153846 0.46153846 0.48076923 0.48076923 0.51923077 0.51923077
 0.55769231 0.55769231 0.57692308 0.57692308 0.59615385 0.59615385
 0.69230769 0.69230769 0.71153846 0.71153846 0.75       0.75
 0.75       0.76923077 0.76923077 0.80769231 0.80769231 0.82692308
 0.82692308 0.84615385 0.84615385 0.86538462 0.86538462 0.88461538
 0.88461538 0.90384615 0.90384615 0.92307692 0.92307692 0.94230769
 0.94230769 0.96153846 0.96153846 0.96153846 0.96153846 0.98076923
 0.98076923 0.98076923 0.98076923 0.98076923 0.98076923 1.
 1.         1.         1.         1.         1.         1.
 1.        ]",0.8619420702754036,0.006330251693725586,0.09008550643920898,0.004378795623779297,3741,385,4,4.515238931969987e-08,4.023616818823474e-07,9.021124108029958e-09
0.8504672897196262,0.6595744680851063,0.34473260655016397,"[0.         0.         0.         0.00617284 0.00617284 0.02469136
 0.02469136 0.04320988 0.04320988 0.0617284  0.0617284  0.06790123
 0.06790123 0.07407407 0.07407407 0.09259259 0.09259259 0.09876543
 0.09876543 0.11728395 0.11728395 0.12345679 0.12345679 0.15432099
 0.15432099 0.16049383 0.16049383 0.17283951 0.17283951 0.19753086
 0.19753086 0.24691358 0.25925926 0.27160494 0.28395062 0.35802469
 0.37037037 0.37654321 0.38888889 0.39506173 0.39506173 0.43209877
 0.44444444 0.52469136 0.54938272 0.54938272 0.58641975 0.59876543
 0.62962963 0.64197531 0.66049383 0.67283951 0.69135802 0.70987654
 0.72839506 0.74074074 0.75308642 0.77160494 0.79012346 0.80864198
 0.83333333 0.85185185 0.85802469 0.88271605 0.88888889 0.90123457
 0.91975309 0.93209877 0.93209877 0.94444444 0.9691358  1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.40384615 0.40384615
 0.42307692 0.42307692 0.5        0.5        0.55769231 0.55769231
 0.61538462 0.61538462 0.71153846 0.71153846 0.73076923 0.73076923
 0.75       0.75       0.78846154 0.78846154 0.82692308 0.82692308
 0.84615385 0.84615385 0.88461538 0.88461538 0.90384615 0.90384615
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.94230769 0.94230769
 0.94230769 0.94230769 0.94230769 0.96153846 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846
 0.96153846 0.96153846 1.         1.         1.         1.        ]",0.8962488129154795,0.01922464370727539,0.11523246765136719,0.0025568008422851562,3741,385,4,6.916721473710838e-08,4.3526973087248965e-07,5.452655045307033e-09
0.8130841121495327,0.5652173913043479,0.4118792316634058,"[0.         0.         0.         0.00617284 0.00617284 0.01234568
 0.01234568 0.01851852 0.01851852 0.0308642  0.0308642  0.03703704
 0.03703704 0.05555556 0.05555556 0.06790123 0.06790123 0.07407407
 0.07407407 0.08641975 0.08641975 0.09259259 0.09259259 0.09876543
 0.09876543 0.10493827 0.10493827 0.11111111 0.11111111 0.11728395
 0.11728395 0.12345679 0.12345679 0.15432099 0.15432099 0.16049383
 0.16049383 0.17283951 0.17283951 0.17901235 0.18518519 0.18518519
 0.21604938 0.21604938 0.22839506 0.22839506 0.25308642 0.25308642
 0.27160494 0.27777778 0.30864198 0.30864198 0.39506173 0.40740741
 0.41975309 0.43209877 0.46296296 0.47530864 0.5        0.51234568
 0.53703704 0.53703704 0.56790123 0.59259259 0.62345679 0.62345679
 0.67901235 0.69753086 0.72839506 0.7654321  0.85802469 0.87654321
 0.88271605 0.90123457 1.        ]","[0.         0.01923077 0.05769231 0.05769231 0.15384615 0.17307692
 0.19230769 0.19230769 0.25       0.25       0.26923077 0.26923077
 0.34615385 0.34615385 0.38461538 0.38461538 0.40384615 0.40384615
 0.46153846 0.46153846 0.5        0.5        0.51923077 0.51923077
 0.53846154 0.53846154 0.59615385 0.59615385 0.63461538 0.63461538
 0.67307692 0.67307692 0.71153846 0.71153846 0.73076923 0.73076923
 0.75       0.75       0.78846154 0.80769231 0.80769231 0.82692308
 0.82692308 0.84615385 0.84615385 0.88461538 0.88461538 0.90384615
 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769 0.94230769
 0.94230769 0.94230769 0.94230769 0.94230769 0.94230769 0.94230769
 0.94230769 0.96153846 0.96153846 0.96153846 0.96153846 0.98076923
 0.98076923 0.98076923 0.98076923 1.         1.         1.
 1.         1.         1.        ]",0.8748219373219374,0.007241725921630859,0.07582521438598633,0.0022001266479492188,3741,385,4,3.223072444443517e-08,3.438713661633265e-07,6.494418342556786e-09
0.7897196261682243,0.5794392523364486,0.5152857116680504,"[0.         0.         0.01234568 0.01234568 0.01851852 0.01851852
 0.03703704 0.03703704 0.04320988 0.04320988 0.05555556 0.05555556
 0.06790123 0.06790123 0.08641975 0.08641975 0.09259259 0.09259259
 0.09876543 0.09876543 0.11728395 0.11728395 0.12345679 0.12345679
 0.12962963 0.12962963 0.13580247 0.13580247 0.14197531 0.14197531
 0.14814815 0.14814815 0.15432099 0.15432099 0.16049383 0.16049383
 0.17283951 0.17283951 0.19135802 0.19135802 0.19753086 0.19753086
 0.21604938 0.21604938 0.22839506 0.22839506 0.24691358 0.24691358
 0.35185185 0.35185185 0.37037037 0.37037037 0.38271605 0.39506173
 0.41358025 0.41358025 0.44444444 0.44444444 0.45061728 0.45061728
 0.48148148 0.49382716 0.51234568 0.51234568 0.53703704 0.57407407
 0.61728395 0.62962963 0.63580247 0.64814815 0.69753086 0.69753086
 0.7037037  0.71604938 0.77777778 0.79012346 0.91975309 0.93209877
 0.98148148 0.99382716 1.        ]","[0.         0.01923077 0.01923077 0.11538462 0.11538462 0.13461538
 0.13461538 0.21153846 0.21153846 0.25       0.25       0.28846154
 0.28846154 0.34615385 0.34615385 0.36538462 0.36538462 0.40384615
 0.40384615 0.42307692 0.42307692 0.46153846 0.46153846 0.5
 0.5        0.53846154 0.53846154 0.57692308 0.57692308 0.59615385
 0.59615385 0.61538462 0.61538462 0.65384615 0.65384615 0.67307692
 0.67307692 0.73076923 0.73076923 0.75       0.75       0.76923077
 0.76923077 0.80769231 0.80769231 0.84615385 0.84615385 0.86538462
 0.86538462 0.88461538 0.88461538 0.90384615 0.90384615 0.90384615
 0.90384615 0.92307692 0.92307692 0.94230769 0.94230769 0.96153846
 0.96153846 0.96153846 0.96153846 0.98076923 0.98076923 0.98076923
 0.98076923 0.98076923 0.98076923 0.98076923 0.98076923 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]",0.8450854700854701,0.00539088249206543,0.10678291320800781,0.004665374755859375,3741,385,4,2.0452967808379675e-08,4.20705745443476e-07,1.599431365268669e-08
0.7990654205607477,0.5376344086021505,0.43692785773162374,"[0.         0.00621118 0.00621118 0.01242236 0.01242236 0.01863354
 0.01863354 0.02484472 0.02484472 0.0310559  0.0310559  0.03726708
 0.03726708 0.04347826 0.04347826 0.04968944 0.04968944 0.0621118
 0.0621118  0.08695652 0.08695652 0.0931677  0.0931677  0.10559006
 0.10559006 0.11801242 0.11801242 0.1242236  0.1242236  0.16149068
 0.16149068 0.16770186 0.16770186 0.17391304 0.17391304 0.1863354
 0.1863354  0.19875776 0.19875776 0.2173913  0.2173913  0.29192547
 0.29192547 0.29813665 0.29813665 0.31677019 0.34161491 0.36024845
 0.43478261 0.43478261 0.44720497 0.46583851 0.46583851 0.49068323
 0.49068323 0.56521739 0.59006211 0.65838509 0.66459627 0.80124224
 0.81987578 0.83850932 0.85093168 0.90062112 0.91304348 0.94409938
 0.95031056 0.96273292 0.97515528 1.        ]","[0.         0.         0.0754717  0.0754717  0.13207547 0.13207547
 0.1509434  0.1509434  0.16981132 0.16981132 0.24528302 0.24528302
 0.28301887 0.28301887 0.39622642 0.39622642 0.41509434 0.41509434
 0.43396226 0.43396226 0.47169811 0.47169811 0.50943396 0.50943396
 0.64150943 0.64150943 0.66037736 0.66037736 0.67924528 0.67924528
 0.71698113 0.71698113 0.73584906 0.73584906 0.75471698 0.75471698
 0.79245283 0.79245283 0.8490566  0.8490566  0.86792453 0.86792453
 0.88679245 0.88679245 0.90566038 0.90566038 0.90566038 0.90566038
 0.90566038 0.9245283  0.9245283  0.9245283  0.94339623 0.94339623
 0.96226415 0.96226415 0.96226415 0.96226415 0.98113208 0.98113208
 0.98113208 0.98113208 0.98113208 0.98113208 0.98113208 0.98113208
 1.         1.         1.         1.        ]",0.8592523145435369,0.014618635177612305,0.11223411560058594,0.0040130615234375,3741,385,4,5.656967664276007e-08,5.15452393162527e-07,2.802772362293796e-08
0.8403755868544601,0.6530612244897959,0.35250733196356543,"[0.         0.         0.         0.01242236 0.01242236 0.01863354
 0.01863354 0.03726708 0.03726708 0.04968944 0.04968944 0.0621118
 0.0621118  0.07453416 0.07453416 0.08074534 0.08074534 0.08695652
 0.08695652 0.11180124 0.11180124 0.11801242 0.11801242 0.1242236
 0.1242236  0.14285714 0.14285714 0.14906832 0.14906832 0.1552795
 0.1552795  0.16149068 0.16149068 0.19875776 0.19875776 0.21118012
 0.21118012 0.25465839 0.25465839 0.29813665 0.29813665 0.31055901
 0.32298137 0.33540373 0.38509317 0.40372671 0.50931677 0.50931677
 0.53416149 0.53416149 0.60869565 0.62111801 0.63354037 0.65838509
 0.67080745 0.68322981 0.69565217 0.70807453 0.73291925 0.7515528
 0.78881988 0.8136646  0.83850932 0.85093168 0.86335404 0.8757764
 0.88819876 0.90062112 0.91304348 0.93167702 0.9689441  0.98136646
 0.98757764 1.        ]","[0.         0.01923077 0.11538462 0.11538462 0.17307692 0.17307692
 0.19230769 0.19230769 0.21153846 0.21153846 0.46153846 0.46153846
 0.53846154 0.53846154 0.59615385 0.59615385 0.61538462 0.61538462
 0.63461538 0.63461538 0.67307692 0.67307692 0.71153846 0.71153846
 0.73076923 0.73076923 0.75       0.75       0.76923077 0.76923077
 0.82692308 0.82692308 0.84615385 0.84615385 0.88461538 0.88461538
 0.90384615 0.90384615 0.92307692 0.92307692 0.96153846 0.96153846
 0.96153846 0.96153846 0.96153846 0.96153846 0.96153846 0.98076923
 0.98076923 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]",0.8964405160057335,0.007707357406616211,0.10885810852050781,0.004681110382080078,3741,385,4,3.342579913465755e-08,4.4268823237376736e-07,1.2236830953190367e-08
