accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.9029345372460497,0.930081300813008,0.2724817049570979,"[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.02097902 0.02097902 0.02797203 0.02797203 0.03496503
 0.03496503 0.04195804 0.04195804 0.04895105 0.04895105 0.06293706
 0.06293706 0.07692308 0.07692308 0.08391608 0.08391608 0.0979021
 0.0979021  0.1048951  0.1048951  0.11188811 0.11188811 0.11888112
 0.11888112 0.13286713 0.13286713 0.13986014 0.13986014 0.14685315
 0.14685315 0.15384615 0.15384615 0.16783217 0.16783217 0.18881119
 0.18881119 0.1958042  0.1958042  0.2027972  0.2027972  0.20979021
 0.20979021 0.22377622 0.22377622 0.25874126 0.25874126 0.26573427
 0.26573427 0.31468531 0.31468531 0.48251748 0.48251748 0.51048951
 0.51048951 0.55244755 0.55244755 0.9020979  0.9020979  1.        ]","[0.         0.00333333 0.02       0.02       0.13       0.13
 0.52666667 0.52666667 0.58       0.58       0.60333333 0.60333333
 0.61333333 0.61333333 0.62666667 0.62666667 0.72666667 0.72666667
 0.73       0.73       0.77       0.77       0.78666667 0.78666667
 0.82       0.82       0.84       0.84       0.84333333 0.84333333
 0.86333333 0.86333333 0.87333333 0.87333333 0.9        0.9
 0.92333333 0.92333333 0.92666667 0.92666667 0.93666667 0.93666667
 0.94       0.94       0.94333333 0.94333333 0.95333333 0.95333333
 0.96333333 0.96333333 0.97       0.97       0.97666667 0.97666667
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.943030303030303,0.0053441524505615234,0.028767108917236328,0.004000186920166016,1625,3981,36,2.3616189126520718e-08,1.3378788165270143e-07,1.4413634702949607e-08
0.8600451467268623,0.9012738853503185,0.3510481688292361,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859
 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831  0.21830986
 0.21830986 0.23943662 0.23943662 0.24647887 0.24647887 0.26760563
 0.26760563 0.28169014 0.28169014 0.28873239 0.28873239 0.3028169
 0.3028169  0.30985915 0.30985915 0.32394366 0.32394366 0.34507042
 0.34507042 0.35211268 0.35211268 0.38028169 0.38028169 0.43661972
 0.43661972 0.45774648 0.45774648 0.50704225 0.50704225 0.57746479
 0.57746479 0.59859155 0.59859155 0.70422535 0.70422535 0.71126761
 0.71126761 0.86619718 0.86619718 1.        ]","[0.         0.00332226 0.13953488 0.13953488 0.17940199 0.17940199
 0.18604651 0.18604651 0.24584718 0.24584718 0.28571429 0.28571429
 0.3820598  0.3820598  0.39534884 0.39534884 0.40199336 0.40199336
 0.46179402 0.46179402 0.55481728 0.55481728 0.56146179 0.56146179
 0.60465116 0.60465116 0.6179402  0.6179402  0.65116279 0.65116279
 0.67774086 0.67774086 0.7076412  0.7076412  0.79069767 0.79069767
 0.80730897 0.80730897 0.81063123 0.81063123 0.83056478 0.83056478
 0.83388704 0.83388704 0.86710963 0.86710963 0.87043189 0.87043189
 0.87707641 0.87707641 0.89036545 0.89036545 0.90033223 0.90033223
 0.90365449 0.90365449 0.91362126 0.91362126 0.92026578 0.92026578
 0.92358804 0.92358804 0.9269103  0.9269103  0.93355482 0.93355482
 0.94019934 0.94019934 0.95016611 0.95016611 0.95348837 0.95348837
 0.96013289 0.96013289 0.96345515 0.96345515 0.96677741 0.96677741
 0.97009967 0.97009967 0.98006645 0.98006645 0.9833887  0.9833887
 0.98671096 0.98671096 0.99003322 0.99003322 0.99335548 0.99335548
 0.99667774 0.99667774 1.         1.        ]",0.9014552430864256,0.007169246673583984,0.03554344177246094,0.003981590270996094,1625,3981,36,2.6022158968876477e-08,1.5395395420067076e-07,1.3356491623555571e-08
0.8848758465011287,0.9176090468497576,0.2955225134057746,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.16901408 0.16901408 0.18309859
 0.18309859 0.19014085 0.19014085 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.23943662 0.23943662 0.27464789
 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239 0.29577465
 0.29577465 0.38028169 0.38028169 0.3943662  0.3943662  0.43661972
 0.43661972 0.47887324 0.47887324 0.49295775 0.49295775 0.52112676
 0.52112676 1.        ]","[0.         0.00332226 0.0730897  0.0730897  0.15614618 0.15614618
 0.1627907  0.1627907  0.23255814 0.23255814 0.34883721 0.34883721
 0.40531561 0.40531561 0.53156146 0.53156146 0.55481728 0.55481728
 0.57475083 0.57475083 0.65780731 0.65780731 0.67774086 0.67774086
 0.71760797 0.71760797 0.73754153 0.73754153 0.74750831 0.74750831
 0.82059801 0.82059801 0.83056478 0.83056478 0.85714286 0.85714286
 0.86046512 0.86046512 0.88039867 0.88039867 0.90033223 0.90033223
 0.90365449 0.90365449 0.92026578 0.92026578 0.9269103  0.9269103
 0.93023256 0.93023256 0.94352159 0.94352159 0.96013289 0.96013289
 0.96345515 0.96345515 0.96677741 0.96677741 0.97342193 0.97342193
 0.97674419 0.97674419 0.98006645 0.98006645 0.9833887  0.9833887
 0.98671096 0.98671096 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.9222076645922044,0.008380651473999023,0.028037548065185547,0.0050220489501953125,1625,3981,36,2.597711540676845e-08,1.2612023520185915e-07,2.106045286088935e-08
0.8848758465011287,0.9186602870813397,0.27991398950195046,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.09859155 0.09859155 0.11267606
 0.11267606 0.13380282 0.13380282 0.14084507 0.14084507 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.21126761 0.21126761 0.21830986 0.21830986 0.23943662
 0.23943662 0.24647887 0.24647887 0.27464789 0.27464789 0.28169014
 0.28169014 0.28873239 0.28873239 0.3028169  0.3028169  0.35915493
 0.35915493 0.44366197 0.44366197 0.5        0.5        0.51408451
 0.51408451 0.61267606 0.61267606 0.94366197 0.94366197 1.        ]","[0.         0.00332226 0.27574751 0.27574751 0.35548173 0.35548173
 0.41196013 0.41196013 0.51495017 0.51495017 0.53156146 0.53156146
 0.60797342 0.60797342 0.78405316 0.78405316 0.79069767 0.79069767
 0.80066445 0.80066445 0.81395349 0.81395349 0.81727575 0.81727575
 0.82724252 0.82724252 0.84053156 0.84053156 0.85049834 0.85049834
 0.85714286 0.85714286 0.87375415 0.87375415 0.88372093 0.88372093
 0.89036545 0.89036545 0.89700997 0.89700997 0.90033223 0.90033223
 0.90365449 0.90365449 0.910299   0.910299   0.91362126 0.91362126
 0.91694352 0.91694352 0.92358804 0.92358804 0.93023256 0.93023256
 0.93355482 0.93355482 0.95681063 0.95681063 0.96013289 0.96013289
 0.97009967 0.97009967 0.97674419 0.97674419 0.98006645 0.98006645
 0.9833887  0.9833887  0.98671096 0.98671096 0.99003322 0.99003322
 0.99335548 0.99335548 0.99667774 0.99667774 1.         1.        ]",0.9435683870665855,0.0140533447265625,0.03567051887512207,0.004154682159423828,1625,3981,36,5.747186827752092e-08,2.1146278438032468e-07,1.8862890082553313e-08
0.8687782805429864,0.9067524115755627,0.35512802079119515,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.16197183
 0.16197183 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859
 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831  0.20422535
 0.20422535 0.21126761 0.21126761 0.21830986 0.21830986 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.26056338
 0.26056338 0.26760563 0.26760563 0.27464789 0.27464789 0.28169014
 0.28169014 0.28873239 0.28873239 0.3028169  0.3028169  0.33802817
 0.33802817 0.37323944 0.37323944 0.3943662  0.3943662  0.41549296
 0.41549296 0.44366197 0.44366197 0.54225352 0.54225352 0.56338028
 0.56338028 0.57042254 0.57042254 0.59859155 0.59859155 0.61267606
 0.61267606 0.61971831 0.61971831 0.64084507 0.64084507 0.73239437
 0.73239437 0.74647887 0.74647887 1.        ]","[0.         0.00333333 0.11       0.11       0.13       0.13
 0.13666667 0.13666667 0.41666667 0.41666667 0.47666667 0.47666667
 0.51333333 0.51333333 0.57       0.57       0.57666667 0.57666667
 0.62333333 0.62333333 0.63       0.63       0.64       0.64
 0.67666667 0.67666667 0.69       0.69       0.7        0.7
 0.70333333 0.70333333 0.70666667 0.70666667 0.71       0.71
 0.72333333 0.72333333 0.73       0.73       0.75666667 0.75666667
 0.76333333 0.76333333 0.78       0.78       0.80666667 0.80666667
 0.81333333 0.81333333 0.84       0.84       0.85666667 0.85666667
 0.87666667 0.87666667 0.88       0.88       0.88666667 0.88666667
 0.89333333 0.89333333 0.89666667 0.89666667 0.90666667 0.90666667
 0.91333333 0.91333333 0.92666667 0.92666667 0.93       0.93
 0.94       0.94       0.94333333 0.94333333 0.95       0.95
 0.95333333 0.95333333 0.95666667 0.95666667 0.96       0.96
 0.96333333 0.96333333 0.96666667 0.96666667 0.97       0.97
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9028638497652582,0.009180068969726562,0.045589447021484375,0.005107402801513672,1625,3982,36,4.04043361538391e-08,2.0670025706064126e-07,2.1012577336584296e-08
0.8619909502262444,0.9036334913112165,0.3191994725368714,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.06338028
 0.06338028 0.07746479 0.07746479 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.1056338  0.1056338  0.11267606
 0.11267606 0.13380282 0.13380282 0.14084507 0.14084507 0.15492958
 0.15492958 0.16197183 0.16197183 0.17605634 0.17605634 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.24647887
 0.24647887 0.25352113 0.25352113 0.28169014 0.28169014 0.29577465
 0.29577465 0.3028169  0.3028169  0.30985915 0.30985915 0.33098592
 0.33098592 0.33802817 0.33802817 0.35211268 0.35211268 0.37323944
 0.37323944 0.41549296 0.41549296 0.43661972 0.43661972 0.44366197
 0.44366197 0.45774648 0.45774648 0.58450704 0.58450704 0.71830986
 0.71830986 1.        ]","[0.         0.00333333 0.17333333 0.17333333 0.33333333 0.33333333
 0.35       0.35       0.38666667 0.38666667 0.39333333 0.39333333
 0.59       0.59       0.6        0.6        0.61333333 0.61333333
 0.67333333 0.67333333 0.69333333 0.69333333 0.7        0.7
 0.71       0.71       0.74333333 0.74333333 0.78333333 0.78333333
 0.80666667 0.80666667 0.81666667 0.81666667 0.82333333 0.82333333
 0.82666667 0.82666667 0.83666667 0.83666667 0.84333333 0.84333333
 0.84666667 0.84666667 0.85666667 0.85666667 0.86333333 0.86333333
 0.88       0.88       0.90333333 0.90333333 0.91       0.91
 0.91333333 0.91333333 0.94       0.94       0.94333333 0.94333333
 0.94666667 0.94666667 0.95       0.95       0.95333333 0.95333333
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99666667 0.99666667
 1.         1.        ]",0.9203051643192488,0.012537717819213867,0.027655601501464844,0.008963823318481445,1625,3982,36,4.079459431010826e-08,1.223688238177154e-07,3.9288270317885325e-08
0.8642533936651584,0.9035369774919614,0.36418848957955696,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04929577 0.04929577 0.06338028 0.06338028 0.07042254
 0.07042254 0.07746479 0.07746479 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.1056338  0.1056338  0.11267606
 0.11267606 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.15492958 0.15492958 0.16197183
 0.16197183 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.20422535 0.20422535 0.21126761
 0.21126761 0.21830986 0.21830986 0.24647887 0.24647887 0.25352113
 0.25352113 0.26760563 0.26760563 0.27464789 0.27464789 0.28873239
 0.28873239 0.30985915 0.30985915 0.32394366 0.32394366 0.33802817
 0.33802817 0.34507042 0.34507042 0.35915493 0.35915493 0.37323944
 0.37323944 0.38028169 0.38028169 0.40140845 0.40140845 0.4084507
 0.4084507  0.54929577 0.54929577 0.5915493  0.5915493  0.78873239
 0.78873239 0.82394366 0.82394366 1.        ]","[0.         0.00333333 0.07333333 0.07333333 0.07666667 0.07666667
 0.08333333 0.08333333 0.20666667 0.20666667 0.24       0.24
 0.27       0.27       0.33       0.33       0.34666667 0.34666667
 0.36333333 0.36333333 0.39       0.39       0.44       0.44
 0.49666667 0.49666667 0.52       0.52       0.6        0.6
 0.63666667 0.63666667 0.64       0.64       0.64333333 0.64333333
 0.67333333 0.67333333 0.75333333 0.75333333 0.76       0.76
 0.80333333 0.80333333 0.81333333 0.81333333 0.82333333 0.82333333
 0.84       0.84       0.86       0.86       0.88333333 0.88333333
 0.89666667 0.89666667 0.91       0.91       0.92       0.92
 0.92333333 0.92333333 0.92666667 0.92666667 0.93333333 0.93333333
 0.94       0.94       0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95333333 0.95333333 0.96666667 0.96666667
 0.97333333 0.97333333 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.8829577464788732,0.011433601379394531,0.02758002281188965,0.0061070919036865234,1625,3982,36,9.447444269247902e-08,1.190138546773982e-07,3.136481771274857e-08
0.8642533936651584,0.9041533546325878,0.3163880415424103,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.04929577
 0.04929577 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.20422535
 0.20422535 0.21830986 0.21830986 0.23239437 0.23239437 0.23943662
 0.23943662 0.24647887 0.24647887 0.25352113 0.25352113 0.26760563
 0.26760563 0.28873239 0.28873239 0.29577465 0.29577465 0.3028169
 0.3028169  0.31690141 0.31690141 0.32394366 0.32394366 0.35915493
 0.35915493 0.36619718 0.36619718 0.3943662  0.3943662  0.40140845
 0.40140845 0.41549296 0.41549296 0.42253521 0.42253521 0.47887324
 0.47887324 0.52816901 0.52816901 0.54225352 0.54225352 0.59859155
 0.59859155 0.76056338 0.76056338 1.        ]","[0.         0.00333333 0.20666667 0.20666667 0.25       0.25
 0.31333333 0.31333333 0.55       0.55       0.55666667 0.55666667
 0.64       0.64       0.64666667 0.64666667 0.68333333 0.68333333
 0.69333333 0.69333333 0.74333333 0.74333333 0.75666667 0.75666667
 0.76666667 0.76666667 0.77       0.77       0.77666667 0.77666667
 0.78       0.78       0.79666667 0.79666667 0.81333333 0.81333333
 0.83       0.83       0.84333333 0.84333333 0.85666667 0.85666667
 0.87       0.87       0.87333333 0.87333333 0.89       0.89
 0.89333333 0.89333333 0.9        0.9        0.91       0.91
 0.91333333 0.91333333 0.92333333 0.92333333 0.93       0.93
 0.93333333 0.93333333 0.93666667 0.93666667 0.94333333 0.94333333
 0.95       0.95       0.95333333 0.95333333 0.96       0.96
 0.96333333 0.96333333 0.97       0.97       0.97333333 0.97333333
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9233802816901409,0.005587339401245117,0.01659083366394043,0.0036025047302246094,1625,3982,36,3.063124828341302e-08,7.774544421143066e-08,1.9455962917597257e-08
0.8823529411764706,0.9163987138263665,0.30684488853582575,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.21830986
 0.21830986 0.22535211 0.22535211 0.24647887 0.24647887 0.25352113
 0.25352113 0.27464789 0.27464789 0.3028169  0.3028169  0.30985915
 0.30985915 0.3943662  0.3943662  0.44366197 0.44366197 0.5
 0.5        0.54225352 0.54225352 0.56338028 0.56338028 0.58450704
 0.58450704 0.61267606 0.61267606 0.66901408 0.66901408 0.9084507
 0.9084507  1.        ]","[0.         0.00333333 0.14666667 0.14666667 0.24       0.24
 0.32       0.32       0.33666667 0.33666667 0.42333333 0.42333333
 0.48       0.48       0.56666667 0.56666667 0.67666667 0.67666667
 0.68333333 0.68333333 0.70666667 0.70666667 0.73666667 0.73666667
 0.75333333 0.75333333 0.76333333 0.76333333 0.77       0.77
 0.78666667 0.78666667 0.83       0.83       0.86333333 0.86333333
 0.88       0.88       0.89       0.89       0.89333333 0.89333333
 0.90333333 0.90333333 0.91333333 0.91333333 0.92333333 0.92333333
 0.93       0.93       0.93333333 0.93333333 0.93666667 0.93666667
 0.94       0.94       0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95333333 0.95333333 0.96       0.96
 0.96666667 0.96666667 0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.9292723004694835,0.005388498306274414,0.036714792251586914,0.0058405399322509766,1625,3982,36,2.4660693824362517e-08,1.730144684324199e-07,2.4766521152423746e-08
0.8778280542986425,0.9129032258064517,0.3221701364275662,"[0.         0.         0.         0.01408451 0.01408451 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.21830986
 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437 0.23943662
 0.23943662 0.27464789 0.27464789 0.28169014 0.28169014 0.28873239
 0.28873239 0.3028169  0.3028169  0.31690141 0.31690141 0.33098592
 0.33098592 0.38028169 0.38028169 0.3943662  0.3943662  0.4084507
 0.4084507  0.42253521 0.42253521 0.43661972 0.43661972 0.44366197
 0.44366197 0.45774648 0.45774648 0.64788732 0.64788732 0.88028169
 0.88028169 1.        ]","[0.         0.00333333 0.12333333 0.12333333 0.29       0.29
 0.36333333 0.36333333 0.37       0.37       0.37666667 0.37666667
 0.44       0.44       0.44666667 0.44666667 0.46666667 0.46666667
 0.49666667 0.49666667 0.51       0.51       0.53666667 0.53666667
 0.57       0.57       0.65666667 0.65666667 0.7        0.7
 0.75666667 0.75666667 0.77       0.77       0.8        0.8
 0.80666667 0.80666667 0.81       0.81       0.83666667 0.83666667
 0.84666667 0.84666667 0.85666667 0.85666667 0.86333333 0.86333333
 0.87       0.87       0.88333333 0.88333333 0.91666667 0.91666667
 0.92333333 0.92333333 0.93666667 0.93666667 0.94       0.94
 0.94333333 0.94333333 0.95       0.95       0.95333333 0.95333333
 0.95666667 0.95666667 0.96333333 0.96333333 0.96666667 0.96666667
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.9125821596244131,0.00812220573425293,0.035012245178222656,0.005021810531616211,1625,3982,36,5.008847878097759e-08,1.565416163314858e-07,2.4568754768222137e-08
