accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8893905191873589,0.9195402298850573,0.33470658071132575,"[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.02097902 0.02097902 0.02797203 0.02797203 0.03496503
 0.03496503 0.04195804 0.04195804 0.04895105 0.04895105 0.05594406
 0.05594406 0.06293706 0.06293706 0.06993007 0.06993007 0.07692308
 0.07692308 0.08391608 0.08391608 0.09090909 0.09090909 0.0979021
 0.0979021  0.1048951  0.1048951  0.11188811 0.11188811 0.11888112
 0.11888112 0.12587413 0.12587413 0.13286713 0.13286713 0.14685315
 0.14685315 0.15384615 0.15384615 0.16083916 0.16083916 0.16783217
 0.16783217 0.18181818 0.18181818 0.18881119 0.18881119 0.1958042
 0.1958042  0.21678322 0.21678322 0.23076923 0.23076923 0.23776224
 0.23776224 0.25174825 0.25174825 0.26573427 0.26573427 0.27272727
 0.27272727 0.28671329 0.28671329 0.29370629 0.29370629 0.34965035
 0.34965035 0.36363636 0.36363636 0.41258741 0.41258741 0.51048951
 0.51048951 0.6993007  0.6993007  0.86013986 0.86013986 0.87412587
 0.87412587 0.91608392 0.91608392 1.        ]","[0.         0.00333333 0.12       0.12       0.31       0.31
 0.33666667 0.33666667 0.51       0.51       0.55333333 0.55333333
 0.57       0.57       0.6        0.6        0.62333333 0.62333333
 0.69666667 0.69666667 0.71666667 0.71666667 0.77       0.77
 0.78333333 0.78333333 0.8        0.8        0.82       0.82
 0.83666667 0.83666667 0.84       0.84       0.84666667 0.84666667
 0.86       0.86       0.86333333 0.86333333 0.88333333 0.88333333
 0.88666667 0.88666667 0.89666667 0.89666667 0.91       0.91
 0.91333333 0.91333333 0.91666667 0.91666667 0.93       0.93
 0.93333333 0.93333333 0.93666667 0.93666667 0.94       0.94
 0.94333333 0.94333333 0.94666667 0.94666667 0.95       0.95
 0.95333333 0.95333333 0.96666667 0.96666667 0.97333333 0.97333333
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9339160839160839,0.0058710575103759766,0.5286791324615479,0.0609288215637207,6551,3981,36,1.4677568611627233e-08,1.5030081543187753e-06,1.9170342855495941e-07
0.8577878103837472,0.8998410174880763,0.38745723491637335,"[0.         0.00704225 0.00704225 0.01408451 0.01408451 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16901408 0.16901408 0.18309859
 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831  0.20422535
 0.20422535 0.21126761 0.21126761 0.23239437 0.23239437 0.23943662
 0.23943662 0.25352113 0.25352113 0.27464789 0.27464789 0.28873239
 0.28873239 0.30985915 0.30985915 0.31690141 0.31690141 0.33098592
 0.33098592 0.33802817 0.33802817 0.34507042 0.34507042 0.35211268
 0.35211268 0.35915493 0.35915493 0.36619718 0.36619718 0.37323944
 0.37323944 0.38028169 0.38028169 0.3943662  0.3943662  0.45070423
 0.45070423 0.48591549 0.48591549 0.50704225 0.50704225 0.51408451
 0.51408451 0.83098592 0.83098592 1.        ]","[0.         0.         0.13621262 0.13621262 0.1627907  0.1627907
 0.17607973 0.17607973 0.27574751 0.27574751 0.34219269 0.34219269
 0.34883721 0.34883721 0.39534884 0.39534884 0.40199336 0.40199336
 0.43189369 0.43189369 0.49169435 0.49169435 0.5282392  0.5282392
 0.53488372 0.53488372 0.5448505  0.5448505  0.55149502 0.55149502
 0.6179402  0.6179402  0.62126246 0.62126246 0.63787375 0.63787375
 0.71096346 0.71096346 0.76744186 0.76744186 0.77740864 0.77740864
 0.78737542 0.78737542 0.81395349 0.81395349 0.82392027 0.82392027
 0.83388704 0.83388704 0.85049834 0.85049834 0.86046512 0.86046512
 0.87707641 0.87707641 0.89368771 0.89368771 0.90033223 0.90033223
 0.90697674 0.90697674 0.91362126 0.91362126 0.9269103  0.9269103
 0.93355482 0.93355482 0.93687708 0.93687708 0.94352159 0.94352159
 0.94684385 0.94684385 0.95016611 0.95016611 0.95348837 0.95348837
 0.95681063 0.95681063 0.96013289 0.96013289 0.96345515 0.96345515
 0.97009967 0.97009967 0.97342193 0.97342193 0.98006645 0.98006645
 0.9833887  0.9833887  0.98671096 0.98671096 0.99335548 0.99335548
 0.99667774 0.99667774 1.         1.        ]",0.8927050676149924,0.006844997406005859,0.5381460189819336,0.05344986915588379,6551,3981,36,1.5856377971702404e-08,1.603693416550177e-06,1.6323586804120865e-07
0.8532731376975169,0.8956661316211877,0.43039122578388367,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.20422535 0.20422535 0.21126761
 0.21126761 0.21830986 0.21830986 0.23943662 0.23943662 0.24647887
 0.24647887 0.25352113 0.25352113 0.26056338 0.26056338 0.28169014
 0.28169014 0.28873239 0.28873239 0.29577465 0.29577465 0.30985915
 0.30985915 0.31690141 0.31690141 0.32394366 0.32394366 0.33098592
 0.33098592 0.33802817 0.33802817 0.35211268 0.35211268 0.35915493
 0.35915493 0.37323944 0.37323944 0.38028169 0.38028169 0.4084507
 0.4084507  0.43661972 0.43661972 0.50704225 0.50704225 0.54225352
 0.54225352 1.        ]","[0.         0.00332226 0.00996678 0.00996678 0.02325581 0.02325581
 0.02990033 0.02990033 0.03322259 0.03322259 0.08305648 0.08305648
 0.10631229 0.10631229 0.12956811 0.12956811 0.17275748 0.17275748
 0.22259136 0.22259136 0.25249169 0.25249169 0.31893688 0.31893688
 0.35548173 0.35548173 0.35880399 0.35880399 0.50166113 0.50166113
 0.50498339 0.50498339 0.52159468 0.52159468 0.54817276 0.54817276
 0.57807309 0.57807309 0.58803987 0.58803987 0.65780731 0.65780731
 0.68106312 0.68106312 0.69435216 0.69435216 0.71096346 0.71096346
 0.71760797 0.71760797 0.73421927 0.73421927 0.74418605 0.74418605
 0.7641196  0.7641196  0.76744186 0.76744186 0.82724252 0.82724252
 0.83056478 0.83056478 0.83388704 0.83388704 0.8538206  0.8538206
 0.87375415 0.87375415 0.90697674 0.90697674 0.910299   0.910299
 0.91362126 0.91362126 0.92358804 0.92358804 0.9269103  0.9269103
 0.93355482 0.93355482 0.94019934 0.94019934 0.94684385 0.94684385
 0.95016611 0.95016611 0.96345515 0.96345515 0.97674419 0.97674419
 0.98006645 0.98006645 0.9833887  0.9833887  0.98671096 0.98671096
 0.99003322 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.8626877544335783,0.005328178405761719,0.5267293453216553,0.05533123016357422,6551,3981,36,1.2855836776582471e-08,1.4697623452019758e-06,1.6472824879951468e-07
0.8577878103837472,0.8968903436988545,0.31582308443631885,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.16197183 0.16197183 0.17605634 0.17605634 0.20422535
 0.20422535 0.21830986 0.21830986 0.23943662 0.23943662 0.25352113
 0.25352113 0.26056338 0.26056338 0.28169014 0.28169014 0.30985915
 0.30985915 0.32394366 0.32394366 0.33098592 0.33098592 0.33802817
 0.33802817 0.34507042 0.34507042 0.36619718 0.36619718 0.3943662
 0.3943662  0.42253521 0.42253521 0.46478873 0.46478873 0.48591549
 0.48591549 0.5        0.5        0.51408451 0.51408451 0.92253521
 0.92253521 1.        ]","[0.         0.00332226 0.09302326 0.09302326 0.12292359 0.12292359
 0.2192691  0.2192691  0.50498339 0.50498339 0.57142857 0.57142857
 0.57807309 0.57807309 0.60797342 0.60797342 0.62458472 0.62458472
 0.71428571 0.71428571 0.72093023 0.72093023 0.79401993 0.79401993
 0.80398671 0.80398671 0.83056478 0.83056478 0.83388704 0.83388704
 0.84717608 0.84717608 0.87043189 0.87043189 0.87375415 0.87375415
 0.87707641 0.87707641 0.88039867 0.88039867 0.88372093 0.88372093
 0.89036545 0.89036545 0.89700997 0.89700997 0.90697674 0.90697674
 0.91694352 0.91694352 0.92358804 0.92358804 0.9269103  0.9269103
 0.94019934 0.94019934 0.94352159 0.94352159 0.95348837 0.95348837
 0.95681063 0.95681063 0.96013289 0.96013289 0.96677741 0.96677741
 0.97009967 0.97009967 0.97674419 0.97674419 0.98006645 0.98006645
 0.99003322 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.9262786018436199,0.004636526107788086,0.531388521194458,0.05113029479980469,6551,3981,36,1.0717795323608118e-08,1.456293815078598e-06,1.5694075187360802e-07
0.8190045248868778,0.8675496688741722,0.419464020270323,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.1971831  0.1971831  0.20422535
 0.20422535 0.21830986 0.21830986 0.23239437 0.23239437 0.23943662
 0.23943662 0.26056338 0.26056338 0.26760563 0.26760563 0.27464789
 0.27464789 0.28169014 0.28169014 0.29577465 0.29577465 0.3028169
 0.3028169  0.31690141 0.31690141 0.33098592 0.33098592 0.33802817
 0.33802817 0.38028169 0.38028169 0.38732394 0.38732394 0.40140845
 0.40140845 0.47183099 0.47183099 0.47887324 0.47887324 0.48591549
 0.48591549 0.5        0.5        0.58450704 0.58450704 0.5915493
 0.5915493  0.66197183 0.66197183 0.6971831  0.6971831  0.71830986
 0.71830986 0.75352113 0.75352113 0.76056338 0.76056338 0.79577465
 0.79577465 1.        ]","[0.         0.00333333 0.12333333 0.12333333 0.22       0.22
 0.28       0.28       0.33       0.33       0.36333333 0.36333333
 0.41666667 0.41666667 0.42666667 0.42666667 0.46333333 0.46333333
 0.47333333 0.47333333 0.48666667 0.48666667 0.50333333 0.50333333
 0.51666667 0.51666667 0.54       0.54       0.58666667 0.58666667
 0.63333333 0.63333333 0.67666667 0.67666667 0.68666667 0.68666667
 0.7        0.7        0.72       0.72       0.74333333 0.74333333
 0.78333333 0.78333333 0.78666667 0.78666667 0.79       0.79
 0.79333333 0.79333333 0.79666667 0.79666667 0.81666667 0.81666667
 0.82       0.82       0.82333333 0.82333333 0.83333333 0.83333333
 0.84       0.84       0.84333333 0.84333333 0.85       0.85
 0.86       0.86       0.87       0.87       0.88666667 0.88666667
 0.90666667 0.90666667 0.91       0.91       0.91666667 0.91666667
 0.93666667 0.93666667 0.94       0.94       0.94666667 0.94666667
 0.95333333 0.95333333 0.95666667 0.95666667 0.96666667 0.96666667
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8809389671361502,0.0037689208984375,0.4976933002471924,0.07268548011779785,6551,3982,36,1.1015639805054059e-08,1.5311711363403245e-06,2.1713776820288027e-07
0.8416289592760181,0.888178913738019,0.39873275953933546,"[0.         0.00704225 0.00704225 0.01408451 0.01408451 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21830986 0.21830986 0.23943662
 0.23943662 0.25352113 0.25352113 0.26056338 0.26056338 0.26760563
 0.26760563 0.28169014 0.28169014 0.29577465 0.29577465 0.3028169
 0.3028169  0.30985915 0.30985915 0.31690141 0.31690141 0.32394366
 0.32394366 0.33802817 0.33802817 0.35915493 0.35915493 0.37323944
 0.37323944 0.38732394 0.38732394 0.3943662  0.3943662  0.40140845
 0.40140845 0.41549296 0.41549296 0.42253521 0.42253521 0.42957746
 0.42957746 0.47183099 0.47183099 0.5        0.5        0.50704225
 0.50704225 0.58450704 0.58450704 0.6056338  0.6056338  0.74647887
 0.74647887 0.80985915 0.80985915 1.        ]","[0.         0.         0.08       0.08       0.09333333 0.09333333
 0.16333333 0.16333333 0.18333333 0.18333333 0.25333333 0.25333333
 0.42       0.42       0.43666667 0.43666667 0.45666667 0.45666667
 0.49       0.49       0.52       0.52       0.58333333 0.58333333
 0.66       0.66       0.69333333 0.69333333 0.70666667 0.70666667
 0.73       0.73       0.76333333 0.76333333 0.77       0.77
 0.77333333 0.77333333 0.77666667 0.77666667 0.79333333 0.79333333
 0.79666667 0.79666667 0.80333333 0.80333333 0.80666667 0.80666667
 0.81333333 0.81333333 0.82333333 0.82333333 0.83       0.83
 0.83333333 0.83333333 0.84       0.84       0.84666667 0.84666667
 0.85       0.85       0.86       0.86       0.86333333 0.86333333
 0.88333333 0.88333333 0.90333333 0.90333333 0.91333333 0.91333333
 0.91666667 0.91666667 0.92666667 0.92666667 0.93333333 0.93333333
 0.94333333 0.94333333 0.95       0.95       0.95666667 0.95666667
 0.96       0.96       0.96333333 0.96333333 0.97       0.97
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.8837089201877935,0.005770206451416016,0.5050382614135742,0.06121039390563965,6551,3982,36,1.383917732798376e-08,1.4333810288579994e-06,2.1415129328682635e-07
0.8438914027149321,0.8870703764320785,0.39672002544915846,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21830986 0.21830986 0.23239437
 0.23239437 0.25352113 0.25352113 0.26760563 0.26760563 0.27464789
 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239 0.29577465
 0.29577465 0.30985915 0.30985915 0.32394366 0.32394366 0.33098592
 0.33098592 0.35211268 0.35211268 0.36619718 0.36619718 0.38732394
 0.38732394 0.3943662  0.3943662  0.40140845 0.40140845 0.4084507
 0.4084507  0.41549296 0.41549296 0.43661972 0.43661972 0.61971831
 0.61971831 0.65492958 0.65492958 0.68309859 0.68309859 0.73239437
 0.73239437 0.74647887 0.74647887 0.79577465 0.79577465 1.        ]","[0.         0.00333333 0.04       0.04       0.15333333 0.15333333
 0.19       0.19       0.21       0.21       0.27333333 0.27333333
 0.3        0.3        0.31333333 0.31333333 0.40666667 0.40666667
 0.45333333 0.45333333 0.47333333 0.47333333 0.50666667 0.50666667
 0.51       0.51       0.52       0.52       0.53333333 0.53333333
 0.54333333 0.54333333 0.55333333 0.55333333 0.58333333 0.58333333
 0.58666667 0.58666667 0.66333333 0.66333333 0.68666667 0.68666667
 0.70333333 0.70333333 0.73333333 0.73333333 0.75333333 0.75333333
 0.77       0.77       0.78666667 0.78666667 0.79666667 0.79666667
 0.80333333 0.80333333 0.81       0.81       0.82       0.82
 0.83333333 0.83333333 0.85666667 0.85666667 0.88333333 0.88333333
 0.90333333 0.90333333 0.90666667 0.90666667 0.91333333 0.91333333
 0.92       0.92       0.92666667 0.92666667 0.93333333 0.93333333
 0.94       0.94       0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95333333 0.95333333 0.95666667 0.95666667
 0.96333333 0.96333333 0.97333333 0.97333333 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.8747887323943662,0.00455021858215332,0.5083367824554443,0.04877948760986328,6551,3982,36,1.416904587208485e-08,1.4192044881499995e-06,1.4224688218945555e-07
0.8484162895927602,0.88663282571912,0.4144980106663954,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.20422535 0.20422535 0.22535211 0.22535211 0.23239437
 0.23239437 0.24647887 0.24647887 0.25352113 0.25352113 0.26760563
 0.26760563 0.3028169  0.3028169  0.33098592 0.33098592 0.34507042
 0.34507042 0.35211268 0.35211268 0.36619718 0.36619718 0.38028169
 0.38028169 0.42253521 0.42253521 0.43661972 0.43661972 0.44366197
 0.44366197 0.58450704 0.58450704 0.5915493  0.5915493  0.61267606
 0.61267606 0.61971831 0.61971831 0.63380282 0.63380282 0.64084507
 0.64084507 0.66901408 0.66901408 0.6971831  0.6971831  0.71126761
 0.71126761 0.73239437 0.73239437 0.77464789 0.77464789 0.82394366
 0.82394366 0.83802817 0.83802817 0.85211268 0.85211268 0.86619718
 0.86619718 1.        ]","[0.         0.00333333 0.17333333 0.17333333 0.20333333 0.20333333
 0.23       0.23       0.28       0.28       0.3        0.3
 0.34       0.34       0.42666667 0.42666667 0.48666667 0.48666667
 0.55       0.55       0.62       0.62       0.63333333 0.63333333
 0.63666667 0.63666667 0.67666667 0.67666667 0.69333333 0.69333333
 0.71       0.71       0.72333333 0.72333333 0.73       0.73
 0.77666667 0.77666667 0.80333333 0.80333333 0.81666667 0.81666667
 0.82333333 0.82333333 0.82666667 0.82666667 0.84       0.84
 0.84666667 0.84666667 0.85       0.85       0.85666667 0.85666667
 0.86       0.86       0.87333333 0.87333333 0.88666667 0.88666667
 0.89       0.89       0.89666667 0.89666667 0.9        0.9
 0.90333333 0.90333333 0.90666667 0.90666667 0.91       0.91
 0.91333333 0.91333333 0.91666667 0.91666667 0.92       0.92
 0.92333333 0.92333333 0.92666667 0.92666667 0.93       0.93
 0.94       0.94       0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95333333 0.95333333 0.95666667 0.95666667
 0.96       0.96       0.96666667 0.96666667 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8874647887323943,0.00394749641418457,0.5017991065979004,0.05318188667297363,6551,3982,36,9.690561714723912e-09,1.4322472084475017e-06,1.6180210487415228e-07
0.8506787330316742,0.8981481481481481,0.37770318902864974,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.09859155 0.09859155 0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.14788732
 0.14788732 0.15492958 0.15492958 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.21830986 0.21830986 0.23239437 0.23239437 0.23943662
 0.23943662 0.25352113 0.25352113 0.28169014 0.28169014 0.28873239
 0.28873239 0.31690141 0.31690141 0.34507042 0.34507042 0.35211268
 0.35211268 0.37323944 0.37323944 0.38028169 0.38028169 0.38732394
 0.38732394 0.42253521 0.42253521 0.45070423 0.45070423 0.5
 0.5        0.52112676 0.52112676 0.52816901 0.52816901 0.53521127
 0.53521127 0.54225352 0.54225352 0.8028169  0.8028169  0.83098592
 0.83098592 1.        ]","[0.         0.00333333 0.13666667 0.13666667 0.28333333 0.28333333
 0.32666667 0.32666667 0.33       0.33       0.34       0.34
 0.35666667 0.35666667 0.37       0.37       0.38333333 0.38333333
 0.44666667 0.44666667 0.49666667 0.49666667 0.5        0.5
 0.64333333 0.64333333 0.65333333 0.65333333 0.71666667 0.71666667
 0.76333333 0.76333333 0.76666667 0.76666667 0.79666667 0.79666667
 0.80333333 0.80333333 0.81       0.81       0.82       0.82
 0.82333333 0.82333333 0.84333333 0.84333333 0.84666667 0.84666667
 0.86333333 0.86333333 0.87       0.87       0.89       0.89
 0.89333333 0.89333333 0.89666667 0.89666667 0.9        0.9
 0.91333333 0.91333333 0.92333333 0.92333333 0.93       0.93
 0.93333333 0.93333333 0.95666667 0.95666667 0.96       0.96
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8995539906103287,0.005638599395751953,0.5107326507568359,0.05150580406188965,6551,3982,36,1.6656826267130546e-08,1.4659756277355827e-06,1.5497216411666315e-07
0.8755656108597285,0.91283676703645,0.3614667230605051,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.04225352 0.04225352 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.21126761 0.21126761 0.21830986 0.21830986 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.25352113
 0.25352113 0.26056338 0.26056338 0.27464789 0.27464789 0.28873239
 0.28873239 0.29577465 0.29577465 0.30985915 0.30985915 0.31690141
 0.31690141 0.33098592 0.33098592 0.33802817 0.33802817 0.40140845
 0.40140845 0.46478873 0.46478873 0.54225352 0.54225352 0.58450704
 0.58450704 0.62676056 0.62676056 0.81690141 0.81690141 1.        ]","[0.         0.00333333 0.00666667 0.00666667 0.01       0.01
 0.26666667 0.26666667 0.30666667 0.30666667 0.42666667 0.42666667
 0.48666667 0.48666667 0.51333333 0.51333333 0.52       0.52
 0.53666667 0.53666667 0.60666667 0.60666667 0.66333333 0.66333333
 0.67333333 0.67333333 0.67666667 0.67666667 0.77666667 0.77666667
 0.78       0.78       0.79       0.79       0.79333333 0.79333333
 0.79666667 0.79666667 0.82666667 0.82666667 0.83       0.83
 0.83333333 0.83333333 0.86333333 0.86333333 0.88333333 0.88333333
 0.89333333 0.89333333 0.89666667 0.89666667 0.90333333 0.90333333
 0.91666667 0.91666667 0.92       0.92       0.93333333 0.93333333
 0.93666667 0.93666667 0.94       0.94       0.95       0.95
 0.95333333 0.95333333 0.96       0.96       0.96333333 0.96333333
 0.96666667 0.96666667 0.97       0.97       0.97666667 0.97666667
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.9057042253521127,0.0045871734619140625,0.5390639305114746,0.05336952209472656,6551,3982,36,1.7441472530078852e-08,1.4706447428704185e-06,1.5194826142960307e-07
