accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.6997742663656885,0.8064046579330422,0.6015948706280341,"[0.         0.00699301 0.02797203 0.02797203 0.03496503 0.05594406
 0.06293706 0.06293706 0.07692308 0.11888112 0.14685315 0.16083916
 0.16083916 0.18181818 0.18881119 0.1958042  0.1958042  0.20979021
 0.22377622 0.22377622 0.25874126 0.27272727 0.27272727 0.27272727
 0.27972028 0.28671329 0.28671329 0.29370629 0.29370629 0.3006993
 0.3006993  0.30769231 0.30769231 0.31468531 0.32867133 0.34965035
 0.35664336 0.35664336 0.36363636 0.36363636 0.37062937 0.38461538
 0.38461538 0.39160839 0.3986014  0.3986014  0.44755245 0.48251748
 0.4965035  0.51748252 0.53146853 0.53146853 0.55244755 0.55244755
 0.55944056 0.56643357 0.57342657 0.57342657 0.59440559 0.6013986
 0.6013986  0.60839161 0.62937063 0.64335664 0.65034965 0.65034965
 0.67132867 0.68531469 0.69230769 0.69230769 0.6993007  0.72027972
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.74125874
 0.74825175 0.74825175 0.75524476 0.76923077 0.77622378 0.82517483
 0.91608392 0.92307692 0.92307692 0.93006993 0.93006993 0.94405594
 0.95804196 0.97202797 0.97202797 1.        ]","[0.         0.01       0.07       0.11333333 0.12666667 0.17666667
 0.19       0.20333333 0.23       0.23666667 0.27       0.27666667
 0.28       0.29       0.30333333 0.32333333 0.34333333 0.35666667
 0.36666667 0.37       0.4        0.41       0.41333333 0.42666667
 0.46       0.46       0.46333333 0.47       0.47666667 0.48
 0.48333333 0.48666667 0.49       0.49333333 0.51666667 0.52333333
 0.54666667 0.55       0.55       0.56333333 0.57       0.57
 0.58       0.58       0.58333333 0.58666667 0.63       0.68333333
 0.69       0.70666667 0.71666667 0.72       0.73       0.73333333
 0.73666667 0.75       0.75666667 0.76       0.76       0.77333333
 0.78       0.78666667 0.79333333 0.82       0.82       0.82666667
 0.83333333 0.84333333 0.85       0.86       0.86333333 0.86666667
 0.86666667 0.87       0.87666667 0.89666667 0.90333333 0.91
 0.91333333 0.91666667 0.91666667 0.92333333 0.92333333 0.92666667
 0.96       0.96333333 0.96666667 0.97       0.97333333 0.98
 0.99333333 0.99333333 1.         1.        ]",0.6366783216783216,0.013909578323364258,0.1937558650970459,0.0028846263885498047,3741,3981,1,8.416891651016824e-08,7.853061073968901e-07,8.738063543811377e-09
0.7110609480812641,0.8176638176638178,0.5824834199410157,"[0.         0.         0.00704225 0.01408451 0.03521127 0.03521127
 0.03521127 0.03521127 0.04225352 0.04929577 0.05633803 0.05633803
 0.07042254 0.07746479 0.0915493  0.0915493  0.0915493  0.09859155
 0.11267606 0.11971831 0.11971831 0.14084507 0.14084507 0.14788732
 0.15492958 0.15492958 0.16197183 0.16197183 0.17605634 0.19014085
 0.1971831  0.1971831  0.20422535 0.21830986 0.21830986 0.22535211
 0.23239437 0.23239437 0.23239437 0.23943662 0.24647887 0.26056338
 0.26056338 0.26760563 0.28169014 0.29577465 0.3028169  0.30985915
 0.31690141 0.31690141 0.31690141 0.35915493 0.35915493 0.35915493
 0.36619718 0.36619718 0.37323944 0.37323944 0.40140845 0.40140845
 0.42253521 0.42957746 0.44366197 0.44366197 0.47887324 0.49295775
 0.50704225 0.50704225 0.51408451 0.51408451 0.54929577 0.57746479
 0.58450704 0.59859155 0.59859155 0.61971831 0.61971831 0.62676056
 0.64084507 0.64084507 0.64788732 0.65492958 0.65492958 0.67605634
 0.68309859 0.6971831  0.72535211 0.73239437 0.77464789 0.78169014
 0.8028169  0.8028169  0.86619718 0.92957746 0.92957746 0.93661972
 0.96478873 0.97183099 0.97887324 0.97887324 0.97887324 1.        ]","[0.         0.01328904 0.01328904 0.03322259 0.11627907 0.12624585
 0.13953488 0.1461794  0.1627907  0.16611296 0.16611296 0.16943522
 0.20265781 0.2192691  0.24584718 0.24916944 0.26245847 0.27574751
 0.2923588  0.2923588  0.29568106 0.30564784 0.3089701  0.32225914
 0.32890365 0.33222591 0.33887043 0.34219269 0.34883721 0.39534884
 0.39534884 0.41528239 0.41860465 0.43521595 0.44518272 0.44518272
 0.47508306 0.47840532 0.48837209 0.49501661 0.49501661 0.51162791
 0.52491694 0.5282392  0.54152824 0.54152824 0.5448505  0.55813953
 0.55813953 0.57475083 0.57807309 0.61129568 0.61461794 0.62126246
 0.62126246 0.62458472 0.63122924 0.63787375 0.64784053 0.65448505
 0.65780731 0.66112957 0.6744186  0.67774086 0.70099668 0.71760797
 0.71760797 0.73089701 0.73421927 0.73754153 0.79401993 0.80730897
 0.80730897 0.80730897 0.81395349 0.82059801 0.83056478 0.84385382
 0.85714286 0.86710963 0.86710963 0.87707641 0.88039867 0.90365449
 0.910299   0.910299   0.92026578 0.9269103  0.94019934 0.94352159
 0.95348837 0.95681063 0.97674419 0.98006645 0.9833887  0.9833887
 0.9833887  0.99003322 0.99003322 0.99335548 1.         1.        ]",0.6794370876421318,0.011627912521362305,0.18250012397766113,0.0024411678314208984,3741,3981,1,4.323001998450429e-08,7.0233390681666e-07,9.13809718313622e-09
0.6749435665914221,0.793103448275862,0.5940881284051125,"[0.         0.00704225 0.00704225 0.01408451 0.01408451 0.02112676
 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352 0.06338028
 0.08450704 0.0915493  0.09859155 0.1056338  0.1056338  0.13380282
 0.13380282 0.13380282 0.13380282 0.13380282 0.14084507 0.14084507
 0.14084507 0.14788732 0.17605634 0.17605634 0.1971831  0.20422535
 0.20422535 0.21126761 0.21830986 0.21830986 0.23239437 0.23239437
 0.23943662 0.23943662 0.23943662 0.23943662 0.25352113 0.28873239
 0.29577465 0.29577465 0.30985915 0.31690141 0.33802817 0.33802817
 0.34507042 0.34507042 0.35211268 0.35915493 0.38732394 0.3943662
 0.40140845 0.42957746 0.43661972 0.43661972 0.49295775 0.49295775
 0.49295775 0.49295775 0.5        0.52112676 0.52816901 0.54225352
 0.55633803 0.56338028 0.57746479 0.58450704 0.5915493  0.62676056
 0.62676056 0.62676056 0.62676056 0.64084507 0.64084507 0.66901408
 0.66901408 0.6971831  0.70422535 0.73239437 0.73239437 0.73943662
 0.74647887 0.75352113 0.76760563 0.77464789 0.78169014 0.79577465
 0.79577465 0.83098592 0.83802817 0.85915493 0.91549296 0.91549296
 0.92957746 0.92957746 0.93661972 0.95070423 0.95774648 0.96478873
 0.96478873 0.96478873 0.97183099 0.98591549 0.98591549 0.99295775
 1.        ]","[0.         0.02657807 0.05647841 0.06312292 0.06644518 0.08305648
 0.09634551 0.09966777 0.12624585 0.13953488 0.13953488 0.15614618
 0.20930233 0.2192691  0.24252492 0.24252492 0.24584718 0.27242525
 0.27574751 0.28239203 0.28571429 0.30232558 0.32225914 0.32890365
 0.33222591 0.34883721 0.36212625 0.3654485  0.37873754 0.39202658
 0.40863787 0.42524917 0.43189369 0.43521595 0.43853821 0.44518272
 0.44850498 0.4551495  0.46843854 0.4717608  0.47840532 0.51827243
 0.54152824 0.55481728 0.56146179 0.56146179 0.57142857 0.58803987
 0.58803987 0.59136213 0.59468439 0.60465116 0.6345515  0.66112957
 0.66112957 0.69435216 0.70099668 0.70431894 0.71760797 0.73089701
 0.73754153 0.74750831 0.74750831 0.75083056 0.75415282 0.7641196
 0.77076412 0.77076412 0.77076412 0.78405316 0.80066445 0.81063123
 0.81395349 0.82392027 0.83056478 0.8372093  0.84053156 0.84053156
 0.84717608 0.86710963 0.87707641 0.88039867 0.88372093 0.88704319
 0.88704319 0.89036545 0.89700997 0.89700997 0.90033223 0.90365449
 0.91362126 0.91694352 0.91694352 0.92358804 0.94352159 0.95348837
 0.95348837 0.96345515 0.97009967 0.97674419 0.97674419 0.98006645
 0.9833887  0.99003322 0.99003322 0.99335548 0.99667774 1.
 1.        ]",0.6622291890880165,0.01759791374206543,0.20940947532653809,0.002556324005126953,3741,3981,1,8.60130110638777e-08,7.899793226095336e-07,5.708042380230503e-09
0.7065462753950339,0.8148148148148148,0.5741150305469187,"[0.         0.         0.         0.01408451 0.02816901 0.02816901
 0.02816901 0.03521127 0.03521127 0.03521127 0.04225352 0.04929577
 0.05633803 0.05633803 0.05633803 0.06338028 0.07042254 0.0915493
 0.0915493  0.0915493  0.09859155 0.1056338  0.11971831 0.12676056
 0.12676056 0.12676056 0.13380282 0.14788732 0.15492958 0.15492958
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.20422535 0.20422535 0.21126761 0.21830986 0.23943662 0.24647887
 0.24647887 0.26760563 0.28169014 0.28169014 0.28169014 0.29577465
 0.29577465 0.30985915 0.30985915 0.30985915 0.35915493 0.36619718
 0.37323944 0.38028169 0.38028169 0.42253521 0.42253521 0.42957746
 0.42957746 0.48591549 0.48591549 0.49295775 0.49295775 0.5
 0.52112676 0.52112676 0.52816901 0.54225352 0.55633803 0.56338028
 0.56338028 0.57746479 0.57746479 0.5915493  0.6056338  0.61971831
 0.64084507 0.64788732 0.65492958 0.66197183 0.66901408 0.69014085
 0.69014085 0.69014085 0.69014085 0.69014085 0.73239437 0.73239437
 0.73239437 0.75352113 0.75352113 0.75352113 0.75352113 0.76760563
 0.77464789 0.8028169  0.80985915 0.80985915 0.85211268 0.85211268
 0.85915493 0.87323944 0.95774648 0.95774648 0.97183099 0.98591549
 1.        ]","[0.         0.01993355 0.02990033 0.1461794  0.14950166 0.1627907
 0.16611296 0.17940199 0.18604651 0.18936877 0.24916944 0.28239203
 0.28239203 0.28571429 0.2923588  0.29568106 0.3089701  0.34551495
 0.34883721 0.3820598  0.3820598  0.38538206 0.38870432 0.39534884
 0.40863787 0.41196013 0.41528239 0.42857143 0.43189369 0.45182724
 0.46843854 0.46843854 0.47840532 0.47840532 0.48504983 0.48837209
 0.49501661 0.49833887 0.50166113 0.5282392  0.5282392  0.54152824
 0.5448505  0.56146179 0.56478405 0.57142857 0.57475083 0.57475083
 0.58139535 0.6013289  0.61129568 0.6179402  0.64119601 0.64119601
 0.65116279 0.66445183 0.67109635 0.6910299  0.69435216 0.69435216
 0.70431894 0.72757475 0.73421927 0.73421927 0.73754153 0.73754153
 0.75083056 0.75415282 0.75415282 0.75415282 0.75747508 0.76079734
 0.7641196  0.7641196  0.77076412 0.77076412 0.80066445 0.80398671
 0.82059801 0.82059801 0.83388704 0.83388704 0.8372093  0.84385382
 0.84717608 0.86046512 0.87043189 0.87707641 0.90033223 0.90365449
 0.91362126 0.91362126 0.91694352 0.9269103  0.93687708 0.93687708
 0.93687708 0.95016611 0.95016611 0.95348837 0.96345515 0.96677741
 0.96677741 0.96677741 0.99335548 0.99667774 0.99667774 1.
 1.        ]",0.7027981844555706,0.01507425308227539,0.20453453063964844,0.003143787384033203,3741,3981,1,7.076207399539774e-08,7.606821991170884e-07,1.2696737615599217e-08
0.667420814479638,0.7841409691629956,0.6020138813882934,"[0.         0.         0.         0.         0.         0.01408451
 0.02816901 0.05633803 0.06338028 0.07042254 0.07746479 0.07746479
 0.0915493  0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.1056338  0.11267606 0.11267606 0.11267606 0.12676056
 0.12676056 0.12676056 0.12676056 0.13380282 0.14084507 0.14084507
 0.14788732 0.14788732 0.14788732 0.15492958 0.16901408 0.18309859
 0.18309859 0.18309859 0.18309859 0.18309859 0.19014085 0.19014085
 0.20422535 0.21126761 0.21830986 0.23943662 0.25352113 0.26760563
 0.27464789 0.28169014 0.28169014 0.35211268 0.3943662  0.3943662
 0.43661972 0.43661972 0.44366197 0.46478873 0.5        0.54225352
 0.54929577 0.54929577 0.54929577 0.57746479 0.61267606 0.61971831
 0.61971831 0.62676056 0.62676056 0.67605634 0.6971831  0.6971831
 0.71830986 0.71830986 0.72535211 0.73943662 0.75352113 0.76760563
 0.76760563 0.77464789 0.78169014 0.78169014 0.78169014 0.78169014
 0.78873239 0.78873239 0.78873239 0.79577465 0.8028169  0.8028169
 0.80985915 0.81690141 0.83098592 0.90140845 0.90140845 0.92957746
 0.93661972 0.94366197 0.95070423 0.95070423 0.96478873 0.96478873
 0.98591549 0.98591549 1.        ]","[0.         0.00666667 0.01333333 0.02333333 0.02666667 0.12666667
 0.16       0.16666667 0.17       0.18333333 0.19       0.19333333
 0.19333333 0.20333333 0.20666667 0.20666667 0.21       0.23
 0.25       0.25333333 0.27       0.27333333 0.28       0.29666667
 0.3        0.31333333 0.31666667 0.32       0.32       0.33333333
 0.34       0.34666667 0.35333333 0.35333333 0.37333333 0.37333333
 0.37666667 0.39666667 0.41666667 0.42333333 0.42666667 0.43333333
 0.45       0.45333333 0.46666667 0.48       0.48333333 0.53666667
 0.55333333 0.55666667 0.56666667 0.61333333 0.63       0.63333333
 0.68       0.68666667 0.69333333 0.69333333 0.7        0.72
 0.72       0.72333333 0.73666667 0.74       0.74       0.74666667
 0.75       0.75666667 0.76       0.77666667 0.78666667 0.79333333
 0.79666667 0.8        0.8        0.80666667 0.82       0.82
 0.82333333 0.82666667 0.82666667 0.83333333 0.84       0.84666667
 0.84666667 0.86       0.87666667 0.88       0.88666667 0.89333333
 0.9        0.9        0.9        0.93       0.93666667 0.95
 0.95333333 0.95333333 0.96333333 0.97       0.97333333 0.98
 0.99       1.         1.        ]",0.6484389671361503,0.038889169692993164,0.170396089553833,0.002778768539428711,3741,3982,1,3.0679280270832295e-07,7.197438211178626e-07,9.785765382264514e-09
0.6719457013574661,0.7925608011444921,0.5922618757083742,"[0.         0.         0.         0.         0.00704225 0.01408451
 0.01408451 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127
 0.03521127 0.04225352 0.04225352 0.04225352 0.05633803 0.05633803
 0.06338028 0.07746479 0.07746479 0.0915493  0.0915493  0.1056338
 0.1056338  0.1056338  0.1056338  0.17605634 0.19014085 0.19014085
 0.1971831  0.20422535 0.21126761 0.21126761 0.21830986 0.23239437
 0.23239437 0.24647887 0.24647887 0.24647887 0.25352113 0.25352113
 0.26056338 0.26760563 0.29577465 0.33098592 0.33098592 0.33098592
 0.33098592 0.33098592 0.37323944 0.37323944 0.38028169 0.38732394
 0.3943662  0.3943662  0.42957746 0.42957746 0.43661972 0.44366197
 0.44366197 0.44366197 0.47183099 0.47887324 0.49295775 0.50704225
 0.52112676 0.56338028 0.57042254 0.57746479 0.5915493  0.61267606
 0.61971831 0.63380282 0.65492958 0.68309859 0.69014085 0.73239437
 0.73239437 0.73239437 0.74647887 0.74647887 0.75352113 0.76760563
 0.78169014 0.78169014 0.78873239 0.79577465 0.84507042 0.84507042
 0.85915493 0.85915493 0.86619718 0.86619718 0.87323944 0.88732394
 0.8943662  0.8943662  0.90140845 0.95070423 0.95774648 0.98591549
 0.98591549 1.         1.         1.         1.         1.        ]","[0.         0.04666667 0.05666667 0.06       0.06666667 0.11
 0.11333333 0.11666667 0.14666667 0.15333333 0.15333333 0.15666667
 0.16666667 0.17       0.17333333 0.18666667 0.21       0.22333333
 0.26666667 0.27666667 0.28       0.28       0.28666667 0.30333333
 0.30666667 0.32       0.32333333 0.36666667 0.38666667 0.39
 0.39       0.39666667 0.4        0.40666667 0.40666667 0.44
 0.44333333 0.46       0.46666667 0.47       0.47       0.47333333
 0.47666667 0.48666667 0.50333333 0.55666667 0.56       0.57
 0.57333333 0.58666667 0.63       0.64       0.64333333 0.65
 0.66333333 0.67333333 0.71       0.71333333 0.71333333 0.72
 0.72333333 0.73       0.74666667 0.75333333 0.76333333 0.77
 0.78       0.81666667 0.82       0.82       0.82       0.82333333
 0.83       0.84       0.84       0.85666667 0.85666667 0.87333333
 0.88       0.88333333 0.88333333 0.88666667 0.88666667 0.88666667
 0.89333333 0.9        0.90333333 0.90333333 0.91333333 0.92
 0.92       0.92333333 0.92333333 0.93       0.93       0.94
 0.94       0.94333333 0.94333333 0.96666667 0.96666667 0.97333333
 0.97666667 0.97666667 0.98333333 0.99       0.99333333 1.        ]",0.6741666666666666,0.017155170440673828,0.2161722183227539,0.002439737319946289,3741,3982,1,9.360568424036605e-08,7.999329954905753e-07,6.042111821231901e-09
0.6583710407239819,0.7839771101573676,0.6273963752916084,"[0.         0.00704225 0.02112676 0.03521127 0.05633803 0.07042254
 0.07042254 0.07042254 0.09859155 0.09859155 0.09859155 0.09859155
 0.1056338  0.11267606 0.11267606 0.11267606 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14084507 0.14788732 0.15492958
 0.19014085 0.19014085 0.20422535 0.22535211 0.23239437 0.23239437
 0.23943662 0.23943662 0.24647887 0.24647887 0.25352113 0.26056338
 0.3028169  0.3028169  0.30985915 0.31690141 0.31690141 0.32394366
 0.33802817 0.33802817 0.33802817 0.35915493 0.35915493 0.37323944
 0.40140845 0.40140845 0.44366197 0.45774648 0.46478873 0.47183099
 0.47887324 0.48591549 0.52816901 0.52816901 0.53521127 0.54225352
 0.54225352 0.55633803 0.5915493  0.5915493  0.59859155 0.59859155
 0.6056338  0.6056338  0.61267606 0.64084507 0.66197183 0.66197183
 0.66901408 0.66901408 0.66901408 0.66901408 0.66901408 0.67605634
 0.72535211 0.73943662 0.75352113 0.75352113 0.76056338 0.78169014
 0.78873239 0.8028169  0.8028169  0.80985915 0.80985915 0.81690141
 0.82394366 0.82394366 0.83802817 0.85211268 0.87323944 0.88028169
 0.88732394 0.92253521 0.92253521 0.93661972 0.95070423 0.96478873
 0.96478873 0.96478873 0.97887324 0.97887324 0.98591549 0.98591549
 0.99295775 0.99295775 1.         1.        ]","[0.         0.01       0.01       0.02       0.08666667 0.10666667
 0.11       0.11666667 0.16333333 0.17333333 0.18       0.19
 0.19333333 0.19333333 0.2        0.20666667 0.21       0.21
 0.23333333 0.24       0.24333333 0.25       0.25       0.26
 0.29666667 0.3        0.30333333 0.35666667 0.36666667 0.37
 0.4        0.40666667 0.41666667 0.42333333 0.42666667 0.42666667
 0.46666667 0.48       0.50666667 0.51333333 0.51666667 0.52
 0.52333333 0.53333333 0.55666667 0.57666667 0.58333333 0.60666667
 0.61333333 0.61666667 0.64333333 0.64333333 0.66666667 0.67666667
 0.68       0.68       0.69       0.69333333 0.70333333 0.71
 0.71333333 0.72333333 0.74333333 0.74666667 0.74666667 0.75
 0.75333333 0.75666667 0.75666667 0.76       0.77       0.77333333
 0.77333333 0.78333333 0.78666667 0.79666667 0.8        0.81666667
 0.84       0.84666667 0.85       0.85333333 0.85333333 0.85666667
 0.86333333 0.87       0.87333333 0.88333333 0.88666667 0.89666667
 0.89666667 0.9        0.90333333 0.90333333 0.91       0.91333333
 0.91333333 0.92666667 0.93       0.93       0.94333333 0.94666667
 0.95       0.97       0.97       0.97333333 0.98333333 0.98666667
 0.98666667 0.99333333 0.99666667 1.        ]",0.6124295774647887,0.034809112548828125,0.2028210163116455,0.00295257568359375,3741,3982,1,1.6561320277259906e-07,7.446607299800112e-07,6.227627070309232e-09
0.669683257918552,0.7871720116618075,0.6048891792991354,"[0.         0.         0.02816901 0.02816901 0.02816901 0.03521127
 0.04225352 0.05633803 0.06338028 0.07042254 0.07042254 0.07042254
 0.07746479 0.0915493  0.09859155 0.09859155 0.11971831 0.11971831
 0.11971831 0.11971831 0.13380282 0.13380282 0.14788732 0.14788732
 0.15492958 0.16197183 0.16197183 0.19014085 0.20422535 0.23943662
 0.23943662 0.23943662 0.23943662 0.26760563 0.27464789 0.27464789
 0.28169014 0.3028169  0.30985915 0.33098592 0.33802817 0.33802817
 0.35211268 0.36619718 0.36619718 0.36619718 0.37323944 0.37323944
 0.37323944 0.37323944 0.37323944 0.38732394 0.3943662  0.42253521
 0.42957746 0.45070423 0.45070423 0.45774648 0.48591549 0.49295775
 0.49295775 0.50704225 0.50704225 0.51408451 0.51408451 0.52112676
 0.54225352 0.5915493  0.61267606 0.61267606 0.64084507 0.64788732
 0.66197183 0.67605634 0.68309859 0.69014085 0.6971831  0.71126761
 0.73239437 0.74647887 0.75352113 0.76056338 0.76760563 0.76760563
 0.78169014 0.79577465 0.8028169  0.8028169  0.8028169  0.80985915
 0.81690141 0.81690141 0.85211268 0.85915493 0.85915493 0.87323944
 0.91549296 0.92253521 0.92253521 0.93661972 0.94366197 0.95774648
 0.95774648 0.97183099 0.97183099 0.97887324 0.98591549 0.98591549
 0.99295775 0.99295775 1.        ]","[0.         0.00666667 0.05333333 0.05666667 0.08333333 0.09333333
 0.11333333 0.13333333 0.14333333 0.16333333 0.17333333 0.18
 0.20333333 0.20333333 0.22       0.23       0.26       0.26666667
 0.28       0.28333333 0.29666667 0.3        0.31       0.31333333
 0.31666667 0.34       0.34666667 0.37       0.37       0.43
 0.43666667 0.46       0.46333333 0.46666667 0.47       0.48
 0.48       0.48666667 0.48666667 0.5        0.53       0.54333333
 0.54666667 0.54666667 0.55333333 0.56333333 0.56333333 0.56666667
 0.57666667 0.58333333 0.6        0.61333333 0.62333333 0.64
 0.64       0.65       0.65333333 0.69333333 0.7        0.70666667
 0.71       0.71666667 0.72       0.72333333 0.72666667 0.73333333
 0.77666667 0.80666667 0.80666667 0.81       0.81       0.81333333
 0.81666667 0.82666667 0.82666667 0.83       0.83       0.84333333
 0.86       0.86       0.86333333 0.86333333 0.86666667 0.87
 0.87       0.88       0.88       0.88666667 0.89666667 0.9
 0.9        0.90333333 0.91333333 0.91333333 0.91666667 0.92666667
 0.94666667 0.94666667 0.95       0.95       0.95       0.97
 0.97333333 0.97333333 0.98       0.98333333 0.98333333 0.99666667
 0.99666667 1.         1.        ]",0.6419014084507042,0.027059316635131836,0.1982440948486328,0.0036482810974121094,3741,3982,1,1.0902372474483357e-07,7.054489460315964e-07,9.286405827391717e-09
0.6764705882352942,0.7942446043165468,0.6101069677006229,"[0.         0.         0.03521127 0.03521127 0.04929577 0.04929577
 0.05633803 0.05633803 0.06338028 0.07746479 0.07746479 0.07746479
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.11267606 0.11267606 0.11267606 0.14788732 0.15492958 0.16197183
 0.16901408 0.16901408 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.19014085 0.20422535 0.23943662 0.23943662 0.27464789
 0.29577465 0.29577465 0.3028169  0.30985915 0.33802817 0.35211268
 0.36619718 0.36619718 0.38028169 0.38732394 0.38732394 0.38732394
 0.3943662  0.4084507  0.42253521 0.42253521 0.47183099 0.47183099
 0.49295775 0.5        0.5        0.50704225 0.50704225 0.51408451
 0.51408451 0.52112676 0.52816901 0.56338028 0.58450704 0.59859155
 0.6056338  0.62676056 0.62676056 0.63380282 0.63380282 0.64788732
 0.65492958 0.65492958 0.66197183 0.66197183 0.66901408 0.67605634
 0.69014085 0.69014085 0.6971831  0.6971831  0.73239437 0.73943662
 0.76056338 0.77464789 0.78169014 0.78873239 0.78873239 0.79577465
 0.79577465 0.8028169  0.8028169  0.8028169  0.80985915 0.81690141
 0.82394366 0.83802817 0.83802817 0.83802817 0.87323944 0.87323944
 0.88028169 0.9084507  0.94366197 0.95774648 0.95774648 0.96478873
 0.96478873 0.97183099 0.98591549 0.98591549 1.        ]","[0.         0.01       0.1        0.10666667 0.13       0.13666667
 0.14666667 0.15       0.16333333 0.18666667 0.2        0.20333333
 0.21666667 0.23333333 0.24333333 0.25333333 0.25666667 0.26
 0.26       0.27666667 0.28333333 0.30666667 0.31333333 0.33333333
 0.34       0.34333333 0.34666667 0.38       0.38333333 0.39
 0.40666667 0.41333333 0.41333333 0.43       0.43333333 0.44333333
 0.47333333 0.48       0.48       0.48333333 0.50333333 0.50666667
 0.50666667 0.51333333 0.52       0.55       0.55333333 0.56
 0.56666667 0.58333333 0.59       0.60333333 0.63333333 0.63666667
 0.65666667 0.66       0.66333333 0.66666667 0.67333333 0.67333333
 0.68       0.68333333 0.69       0.7        0.72333333 0.73
 0.73       0.75       0.75333333 0.75333333 0.76       0.77
 0.77333333 0.77666667 0.77666667 0.78333333 0.79       0.79
 0.81       0.81333333 0.81333333 0.81666667 0.83666667 0.84
 0.85333333 0.85666667 0.85666667 0.86333333 0.87       0.87333333
 0.87666667 0.88       0.88666667 0.89       0.89333333 0.89333333
 0.90333333 0.90666667 0.91333333 0.92333333 0.93333333 0.94
 0.94       0.95       0.96333333 0.96666667 0.97       0.98333333
 0.99       0.99333333 0.99333333 0.99666667 1.        ]",0.6231924882629107,0.027266979217529297,0.20645713806152344,0.0036194324493408203,3741,3982,1,1.226310113579623e-07,6.6528350272006e-07,6.394264150284823e-09
0.669683257918552,0.7949438202247191,0.5810390578068806,"[0.         0.         0.         0.00704225 0.02112676 0.02816901
 0.03521127 0.05633803 0.05633803 0.05633803 0.07042254 0.07746479
 0.08450704 0.08450704 0.08450704 0.1056338  0.1056338  0.1056338
 0.1056338  0.1056338  0.1056338  0.1056338  0.11267606 0.11267606
 0.11267606 0.11267606 0.11267606 0.13380282 0.15492958 0.16197183
 0.16197183 0.17605634 0.17605634 0.20422535 0.21126761 0.21830986
 0.22535211 0.26760563 0.26760563 0.27464789 0.27464789 0.3028169
 0.3028169  0.30985915 0.36619718 0.37323944 0.3943662  0.40140845
 0.41549296 0.41549296 0.42253521 0.44366197 0.45070423 0.47887324
 0.48591549 0.49295775 0.53521127 0.54929577 0.56338028 0.6056338
 0.63380282 0.64084507 0.64084507 0.66197183 0.66901408 0.67605634
 0.69014085 0.69014085 0.6971831  0.6971831  0.70422535 0.71126761
 0.73239437 0.73943662 0.73943662 0.73943662 0.73943662 0.74647887
 0.76056338 0.76760563 0.76760563 0.77464789 0.77464789 0.82394366
 0.9084507  0.9084507  0.92253521 0.93661972 0.95070423 0.95774648
 0.95774648 0.97183099 0.97183099 0.97887324 0.97887324 0.99295775
 0.99295775 1.         1.        ]","[0.         0.00666667 0.01       0.01666667 0.11666667 0.16
 0.16333333 0.24333333 0.26       0.27       0.28666667 0.28666667
 0.3        0.30666667 0.31       0.33333333 0.34333333 0.35333333
 0.37333333 0.37666667 0.39       0.4        0.41       0.41666667
 0.42       0.43       0.43333333 0.49       0.49333333 0.50666667
 0.51       0.51666667 0.52       0.53       0.55666667 0.56333333
 0.56333333 0.60666667 0.61       0.61       0.61333333 0.62333333
 0.62666667 0.62666667 0.66333333 0.66333333 0.66333333 0.67333333
 0.68333333 0.68666667 0.69666667 0.71666667 0.71666667 0.74
 0.74333333 0.74333333 0.77       0.77333333 0.78       0.79333333
 0.80333333 0.80666667 0.81333333 0.82666667 0.82666667 0.83333333
 0.83333333 0.83666667 0.83666667 0.84       0.84       0.85
 0.85       0.85       0.85333333 0.86666667 0.87666667 0.88666667
 0.89333333 0.89333333 0.89666667 0.9        0.90333333 0.92
 0.94333333 0.95       0.95       0.95666667 0.96333333 0.96333333
 0.97       0.97666667 0.98       0.98       0.98333333 0.98666667
 0.99666667 0.99666667 1.        ]",0.6997183098591548,0.03940534591674805,0.2198927402496338,0.002947092056274414,3741,3982,1,1.9515352909900093e-07,5.451254393022177e-07,6.98115167370038e-09
