accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8871331828442438,0.9183006535947713,0.2938909919018787,"[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.02097902 0.02097902 0.02797203 0.02797203 0.03496503
 0.03496503 0.04195804 0.04195804 0.05594406 0.05594406 0.06293706
 0.06293706 0.06993007 0.06993007 0.07692308 0.07692308 0.08391608
 0.08391608 0.09090909 0.09090909 0.1048951  0.1048951  0.11188811
 0.11188811 0.11888112 0.11888112 0.12587413 0.12587413 0.13286713
 0.13286713 0.13986014 0.13986014 0.14685315 0.14685315 0.15384615
 0.15384615 0.16083916 0.16083916 0.16783217 0.16783217 0.18181818
 0.18181818 0.18881119 0.18881119 0.1958042  0.1958042  0.20979021
 0.20979021 0.21678322 0.21678322 0.23076923 0.23076923 0.24475524
 0.24475524 0.25874126 0.25874126 0.28671329 0.28671329 0.30769231
 0.30769231 0.32167832 0.32167832 0.43356643 0.43356643 0.59440559
 0.59440559 0.68531469 0.68531469 0.86713287 0.86713287 1.        ]","[0.         0.00333333 0.09666667 0.09666667 0.18666667 0.18666667
 0.30333333 0.30333333 0.46       0.46       0.48333333 0.48333333
 0.58       0.58       0.59       0.59       0.59666667 0.59666667
 0.64666667 0.64666667 0.65333333 0.65333333 0.66333333 0.66333333
 0.68333333 0.68333333 0.73333333 0.73333333 0.73666667 0.73666667
 0.78666667 0.78666667 0.81333333 0.81333333 0.87666667 0.87666667
 0.88333333 0.88333333 0.89333333 0.89333333 0.90333333 0.90333333
 0.90666667 0.90666667 0.91333333 0.91333333 0.92333333 0.92333333
 0.92666667 0.92666667 0.93       0.93       0.93333333 0.93333333
 0.93666667 0.93666667 0.94666667 0.94666667 0.95333333 0.95333333
 0.96333333 0.96333333 0.97       0.97       0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.9308857808857809,0.021129369735717773,0.017935752868652344,0.004934787750244141,1625,797,36,1.0678260690090359e-07,7.257953438094252e-08,2.255839742196404e-08
0.8555304740406321,0.8980891719745223,0.3764195963849077,"[0.         0.00704225 0.00704225 0.01408451 0.01408451 0.02112676
 0.02112676 0.02816901 0.02816901 0.04225352 0.04225352 0.04929577
 0.04929577 0.05633803 0.05633803 0.06338028 0.06338028 0.07042254
 0.07042254 0.07746479 0.07746479 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.1056338  0.1056338  0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.16197183
 0.16197183 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.21126761 0.21126761 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.24647887
 0.24647887 0.25352113 0.25352113 0.26760563 0.26760563 0.3028169
 0.3028169  0.33098592 0.33098592 0.34507042 0.34507042 0.38028169
 0.38028169 0.3943662  0.3943662  0.4084507  0.4084507  0.46478873
 0.46478873 0.47183099 0.47183099 0.47887324 0.47887324 0.48591549
 0.48591549 0.50704225 0.50704225 0.52112676 0.52112676 0.61971831
 0.61971831 0.64084507 0.64084507 0.76760563 0.76760563 1.        ]","[0.         0.         0.11295681 0.11295681 0.14950166 0.14950166
 0.17607973 0.17607973 0.19269103 0.19269103 0.24916944 0.24916944
 0.26910299 0.26910299 0.34883721 0.34883721 0.49169435 0.49169435
 0.58471761 0.58471761 0.68438538 0.68438538 0.6910299  0.6910299
 0.69435216 0.69435216 0.71428571 0.71428571 0.71760797 0.71760797
 0.72425249 0.72425249 0.72757475 0.72757475 0.77740864 0.77740864
 0.79401993 0.79401993 0.81395349 0.81395349 0.82059801 0.82059801
 0.8372093  0.8372093  0.84053156 0.84053156 0.86378738 0.86378738
 0.87043189 0.87043189 0.87375415 0.87375415 0.88039867 0.88039867
 0.88372093 0.88372093 0.90033223 0.90033223 0.90365449 0.90365449
 0.90697674 0.90697674 0.910299   0.910299   0.91694352 0.91694352
 0.93687708 0.93687708 0.94352159 0.94352159 0.94684385 0.94684385
 0.95016611 0.95016611 0.95348837 0.95348837 0.96013289 0.96013289
 0.96345515 0.96345515 0.97009967 0.97009967 0.97342193 0.97342193
 0.98006645 0.98006645 0.9833887  0.9833887  0.99003322 0.99003322
 0.99335548 0.99335548 0.99667774 0.99667774 1.         1.        ]",0.8940620466987974,0.02028203010559082,0.010525941848754883,0.013116836547851562,1625,796,36,8.962161748592493e-08,4.7091157080264784e-08,4.3577073434786294e-08
0.8758465011286681,0.9122807017543859,0.3056188768535786,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859
 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831  0.20422535
 0.20422535 0.21126761 0.21126761 0.22535211 0.22535211 0.23943662
 0.23943662 0.25352113 0.25352113 0.26056338 0.26056338 0.26760563
 0.26760563 0.28873239 0.28873239 0.29577465 0.29577465 0.3028169
 0.3028169  0.30985915 0.30985915 0.33098592 0.33098592 0.34507042
 0.34507042 0.40140845 0.40140845 0.42253521 0.42253521 0.47183099
 0.47183099 0.47887324 0.47887324 0.49295775 0.49295775 1.        ]","[0.         0.00332226 0.13953488 0.13953488 0.15282392 0.15282392
 0.19933555 0.19933555 0.24916944 0.24916944 0.42524917 0.42524917
 0.45182724 0.45182724 0.50166113 0.50166113 0.51827243 0.51827243
 0.52159468 0.52159468 0.53156146 0.53156146 0.63787375 0.63787375
 0.65116279 0.65116279 0.69767442 0.69767442 0.70099668 0.70099668
 0.74750831 0.74750831 0.80066445 0.80066445 0.83056478 0.83056478
 0.84053156 0.84053156 0.84385382 0.84385382 0.84717608 0.84717608
 0.8538206  0.8538206  0.85714286 0.85714286 0.86378738 0.86378738
 0.87375415 0.87375415 0.88704319 0.88704319 0.89700997 0.89700997
 0.90365449 0.90365449 0.90697674 0.90697674 0.910299   0.910299
 0.91694352 0.91694352 0.93023256 0.93023256 0.93355482 0.93355482
 0.95016611 0.95016611 0.95681063 0.95681063 0.96013289 0.96013289
 0.97009967 0.97009967 0.97342193 0.97342193 0.98006645 0.98006645
 0.9833887  0.9833887  0.98671096 0.98671096 0.99003322 0.99003322
 0.99335548 0.99335548 0.99667774 0.99667774 1.         1.        ]",0.9187684245004912,0.047559499740600586,0.09293198585510254,0.018042802810668945,1625,796,36,2.0593957309422933e-07,3.795597987725811e-07,1.051573321420653e-07
0.8826185101580135,0.9153094462540716,0.2885093289953838,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14788732 0.14788732 0.16197183
 0.16197183 0.16901408 0.16901408 0.20422535 0.20422535 0.21126761
 0.21126761 0.23239437 0.23239437 0.24647887 0.24647887 0.26760563
 0.26760563 0.28169014 0.28169014 0.3028169  0.3028169  0.30985915
 0.30985915 0.31690141 0.31690141 0.32394366 0.32394366 0.33098592
 0.33098592 0.37323944 0.37323944 0.50704225 0.50704225 0.54225352
 0.54225352 0.59859155 0.59859155 0.66901408 0.66901408 0.91549296
 0.91549296 1.        ]","[0.         0.00332226 0.33222591 0.33222591 0.33554817 0.33554817
 0.35548173 0.35548173 0.38538206 0.38538206 0.46179402 0.46179402
 0.53156146 0.53156146 0.59136213 0.59136213 0.7076412  0.7076412
 0.73754153 0.73754153 0.80066445 0.80066445 0.82724252 0.82724252
 0.8372093  0.8372093  0.84717608 0.84717608 0.85049834 0.85049834
 0.85714286 0.85714286 0.87375415 0.87375415 0.87707641 0.87707641
 0.89036545 0.89036545 0.89368771 0.89368771 0.90697674 0.90697674
 0.910299   0.910299   0.91362126 0.91362126 0.91694352 0.91694352
 0.93355482 0.93355482 0.94019934 0.94019934 0.94352159 0.94352159
 0.94684385 0.94684385 0.95016611 0.95016611 0.96677741 0.96677741
 0.97009967 0.97009967 0.97342193 0.97342193 0.97674419 0.97674419
 0.98006645 0.98006645 0.9833887  0.9833887  0.98671096 0.98671096
 0.99003322 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.9388189602732674,0.05621457099914551,0.020339012145996094,0.005151987075805664,1625,796,36,2.683448403684234e-07,9.489277373142362e-08,2.6042126550501082e-08
0.8484162895927602,0.8934817170111288,0.3671062888313547,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.14084507
 0.14084507 0.14788732 0.14788732 0.15492958 0.15492958 0.16197183
 0.16197183 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859
 0.18309859 0.20422535 0.20422535 0.21126761 0.21126761 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.25352113
 0.25352113 0.26760563 0.26760563 0.27464789 0.27464789 0.31690141
 0.31690141 0.32394366 0.32394366 0.33098592 0.33098592 0.33802817
 0.33802817 0.35211268 0.35211268 0.35915493 0.35915493 0.38028169
 0.38028169 0.42957746 0.42957746 0.45774648 0.45774648 0.48591549
 0.48591549 0.5        0.5        0.53521127 0.53521127 0.5915493
 0.5915493  0.62676056 0.62676056 0.66197183 0.66197183 0.67605634
 0.67605634 0.72535211 0.72535211 0.8028169  0.8028169  1.        ]","[0.         0.00333333 0.17333333 0.17333333 0.39333333 0.39333333
 0.46333333 0.46333333 0.47333333 0.47333333 0.51666667 0.51666667
 0.54666667 0.54666667 0.57       0.57       0.58333333 0.58333333
 0.59       0.59       0.60666667 0.60666667 0.63333333 0.63333333
 0.65       0.65       0.67666667 0.67666667 0.68333333 0.68333333
 0.69333333 0.69333333 0.70666667 0.70666667 0.71666667 0.71666667
 0.72       0.72       0.75333333 0.75333333 0.76666667 0.76666667
 0.78       0.78       0.82       0.82       0.83       0.83
 0.84       0.84       0.84333333 0.84333333 0.84666667 0.84666667
 0.88666667 0.88666667 0.89       0.89       0.89333333 0.89333333
 0.89666667 0.89666667 0.90333333 0.90333333 0.91666667 0.91666667
 0.92       0.92       0.92333333 0.92333333 0.93       0.93
 0.93666667 0.93666667 0.95333333 0.95333333 0.95666667 0.95666667
 0.96       0.96       0.96333333 0.96333333 0.97       0.97
 0.97333333 0.97333333 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.90481220657277,0.0412750244140625,0.014441967010498047,0.017130613327026367,1625,797,36,1.3629073617038166e-07,6.726158375178182e-08,7.081712667309208e-08
0.8597285067873304,0.9012738853503185,0.34535094334186284,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.25352113
 0.25352113 0.26760563 0.26760563 0.27464789 0.27464789 0.28169014
 0.28169014 0.29577465 0.29577465 0.30985915 0.30985915 0.31690141
 0.31690141 0.32394366 0.32394366 0.35915493 0.35915493 0.38028169
 0.38028169 0.42957746 0.42957746 0.49295775 0.49295775 0.53521127
 0.53521127 0.59859155 0.59859155 0.61267606 0.61267606 0.66901408
 0.66901408 0.78873239 0.78873239 1.        ]","[0.         0.00333333 0.02333333 0.02333333 0.22666667 0.22666667
 0.24       0.24       0.32333333 0.32333333 0.43333333 0.43333333
 0.49666667 0.49666667 0.50333333 0.50333333 0.52       0.52
 0.55333333 0.55333333 0.56       0.56       0.59333333 0.59333333
 0.61666667 0.61666667 0.62666667 0.62666667 0.64333333 0.64333333
 0.67666667 0.67666667 0.70333333 0.70333333 0.74       0.74
 0.76       0.76       0.78333333 0.78333333 0.81       0.81
 0.81333333 0.81333333 0.82       0.82       0.82333333 0.82333333
 0.84       0.84       0.85333333 0.85333333 0.85666667 0.85666667
 0.87333333 0.87333333 0.88333333 0.88333333 0.89333333 0.89333333
 0.89666667 0.89666667 0.9        0.9        0.90333333 0.90333333
 0.92       0.92       0.92333333 0.92333333 0.93       0.93
 0.93333333 0.93333333 0.93666667 0.93666667 0.94333333 0.94333333
 0.95666667 0.95666667 0.96       0.96       0.96666667 0.96666667
 0.97333333 0.97333333 0.97666667 0.97666667 0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9065492957746479,0.0669548511505127,0.017534255981445312,0.004380941390991211,1625,797,36,3.013736925843325e-07,7.846976185283858e-08,1.9880538398801676e-08
0.8642533936651584,0.9041533546325878,0.3684763340482624,"[0.         0.         0.         0.00704225 0.00704225 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.20422535 0.20422535 0.21126761
 0.21126761 0.22535211 0.22535211 0.23943662 0.23943662 0.25352113
 0.25352113 0.26056338 0.26056338 0.27464789 0.27464789 0.28169014
 0.28169014 0.3028169  0.3028169  0.30985915 0.30985915 0.32394366
 0.32394366 0.3943662  0.3943662  0.62676056 0.62676056 0.65492958
 0.65492958 0.68309859 0.68309859 0.83802817 0.83802817 1.        ]","[0.         0.00333333 0.12666667 0.12666667 0.15       0.15
 0.16666667 0.16666667 0.18333333 0.18333333 0.21333333 0.21333333
 0.29666667 0.29666667 0.35333333 0.35333333 0.38       0.38
 0.39       0.39       0.4        0.4        0.41666667 0.41666667
 0.42666667 0.42666667 0.48333333 0.48333333 0.49666667 0.49666667
 0.51333333 0.51333333 0.52       0.52       0.55666667 0.55666667
 0.58666667 0.58666667 0.64666667 0.64666667 0.65       0.65
 0.69666667 0.69666667 0.70666667 0.70666667 0.75666667 0.75666667
 0.76333333 0.76333333 0.79333333 0.79333333 0.80333333 0.80333333
 0.81       0.81       0.81666667 0.81666667 0.83333333 0.83333333
 0.86666667 0.86666667 0.87666667 0.87666667 0.89333333 0.89333333
 0.90333333 0.90333333 0.92666667 0.92666667 0.94       0.94
 0.94333333 0.94333333 0.95666667 0.95666667 0.96       0.96
 0.97666667 0.97666667 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.8799295774647887,0.053980112075805664,0.0267031192779541,0.0043523311614990234,1625,797,36,2.4391082228200774e-07,1.1976371610435805e-07,2.2118097818397378e-08
0.8574660633484162,0.8998410174880763,0.3345290698985525,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.16197183
 0.16197183 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859
 0.18309859 0.1971831  0.1971831  0.20422535 0.20422535 0.21126761
 0.21126761 0.23943662 0.23943662 0.24647887 0.24647887 0.25352113
 0.25352113 0.26056338 0.26056338 0.26760563 0.26760563 0.28169014
 0.28169014 0.30985915 0.30985915 0.31690141 0.31690141 0.32394366
 0.32394366 0.33802817 0.33802817 0.34507042 0.34507042 0.36619718
 0.36619718 0.37323944 0.37323944 0.3943662  0.3943662  0.40140845
 0.40140845 0.4084507  0.4084507  0.47887324 0.47887324 0.48591549
 0.48591549 0.5        0.5        0.52112676 0.52112676 0.55633803
 0.55633803 0.62676056 0.62676056 0.69014085 0.69014085 1.        ]","[0.         0.00333333 0.05       0.05       0.20333333 0.20333333
 0.24333333 0.24333333 0.26       0.26       0.35       0.35
 0.37333333 0.37333333 0.49666667 0.49666667 0.53666667 0.53666667
 0.64333333 0.64333333 0.66666667 0.66666667 0.68       0.68
 0.7        0.7        0.73       0.73       0.76333333 0.76333333
 0.79333333 0.79333333 0.8        0.8        0.82       0.82
 0.82333333 0.82333333 0.82666667 0.82666667 0.83333333 0.83333333
 0.84666667 0.84666667 0.85666667 0.85666667 0.87       0.87
 0.88333333 0.88333333 0.88666667 0.88666667 0.89333333 0.89333333
 0.90333333 0.90333333 0.90666667 0.90666667 0.93       0.93
 0.93666667 0.93666667 0.94       0.94       0.94333333 0.94333333
 0.94666667 0.94666667 0.95333333 0.95333333 0.95666667 0.95666667
 0.96       0.96       0.96666667 0.96666667 0.97       0.97
 0.97333333 0.97333333 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.9122300469483567,0.06670022010803223,0.06664085388183594,0.013488292694091797,1625,797,36,3.04928616550872e-07,2.835492274779204e-07,1.0444413481132332e-07
0.8778280542986425,0.912621359223301,0.32998260071582014,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.1971831  0.1971831  0.20422535
 0.20422535 0.21830986 0.21830986 0.22535211 0.22535211 0.25352113
 0.25352113 0.26760563 0.26760563 0.28169014 0.28169014 0.31690141
 0.31690141 0.33098592 0.33098592 0.38028169 0.38028169 0.44366197
 0.44366197 0.51408451 0.51408451 0.54929577 0.54929577 0.55633803
 0.55633803 0.61971831 0.61971831 0.63380282 0.63380282 0.73239437
 0.73239437 0.87323944 0.87323944 0.95070423 0.95070423 1.        ]","[0.         0.00333333 0.07666667 0.07666667 0.13       0.13
 0.18       0.18       0.31666667 0.31666667 0.44333333 0.44333333
 0.46333333 0.46333333 0.47666667 0.47666667 0.55666667 0.55666667
 0.65333333 0.65333333 0.67       0.67       0.69666667 0.69666667
 0.70333333 0.70333333 0.72666667 0.72666667 0.76666667 0.76666667
 0.79333333 0.79333333 0.80333333 0.80333333 0.83333333 0.83333333
 0.85       0.85       0.86       0.86       0.87       0.87
 0.89333333 0.89333333 0.89666667 0.89666667 0.90333333 0.90333333
 0.90666667 0.90666667 0.91333333 0.91333333 0.91666667 0.91666667
 0.92333333 0.92333333 0.93666667 0.93666667 0.94       0.94
 0.94666667 0.94666667 0.95666667 0.95666667 0.96       0.96
 0.96333333 0.96333333 0.96666667 0.96666667 0.97       0.97
 0.97333333 0.97333333 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.9195070422535211,0.06088829040527344,0.03086090087890625,0.0031194686889648438,1625,797,36,2.1901747907299087e-07,1.2982601881419194e-07,1.216028604508312e-08
0.8778280542986425,0.9134615384615385,0.35212731269934977,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14788732
 0.14788732 0.15492958 0.15492958 0.16901408 0.16901408 0.19014085
 0.19014085 0.20422535 0.20422535 0.21830986 0.21830986 0.23239437
 0.23239437 0.23943662 0.23943662 0.24647887 0.24647887 0.26760563
 0.26760563 0.27464789 0.27464789 0.28169014 0.28169014 0.30985915
 0.30985915 0.32394366 0.32394366 0.33098592 0.33098592 0.35211268
 0.35211268 0.35915493 0.35915493 0.37323944 0.37323944 0.46478873
 0.46478873 0.5        0.5        0.54929577 0.54929577 0.57042254
 0.57042254 0.78873239 0.78873239 0.94366197 0.94366197 1.        ]","[0.         0.00333333 0.03       0.03       0.19       0.19
 0.23333333 0.23333333 0.25333333 0.25333333 0.29       0.29
 0.32       0.32       0.36333333 0.36333333 0.38666667 0.38666667
 0.39666667 0.39666667 0.41       0.41       0.51666667 0.51666667
 0.54       0.54       0.64       0.64       0.65       0.65
 0.65666667 0.65666667 0.68666667 0.68666667 0.73333333 0.73333333
 0.79       0.79       0.84       0.84       0.85       0.85
 0.85666667 0.85666667 0.87       0.87       0.87666667 0.87666667
 0.90333333 0.90333333 0.90666667 0.90666667 0.91       0.91
 0.91333333 0.91333333 0.91666667 0.91666667 0.92       0.92
 0.94       0.94       0.95       0.95       0.95666667 0.95666667
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.904718309859155,0.02526545524597168,0.09392476081848145,0.01612401008605957,1625,797,36,1.1510128597690117e-07,4.101621948748857e-07,6.746351200137514e-08
