accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8532731376975169,0.8929159802306424,0.3327685828658998,"[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.02097902 0.02097902 0.02797203 0.02797203 0.03496503
 0.03496503 0.04195804 0.04195804 0.04895105 0.04895105 0.05594406
 0.05594406 0.06293706 0.06293706 0.06993007 0.06993007 0.07692308
 0.07692308 0.08391608 0.08391608 0.09090909 0.09090909 0.0979021
 0.0979021  0.1048951  0.1048951  0.11188811 0.11188811 0.11888112
 0.11888112 0.12587413 0.12587413 0.16783217 0.16783217 0.18181818
 0.18181818 0.18881119 0.18881119 0.20979021 0.20979021 0.21678322
 0.21678322 0.22377622 0.22377622 0.23776224 0.23776224 0.25174825
 0.25174825 0.25874126 0.25874126 0.26573427 0.26573427 0.27972028
 0.27972028 0.28671329 0.28671329 0.3006993  0.3006993  0.30769231
 0.30769231 0.32167832 0.32167832 0.33566434 0.33566434 0.34265734
 0.34265734 0.37062937 0.37062937 0.37762238 0.37762238 0.44055944
 0.44055944 0.53846154 0.53846154 0.58741259 0.58741259 0.62237762
 0.62237762 0.91608392 0.91608392 1.        ]","[0.         0.00333333 0.11333333 0.11333333 0.22       0.22
 0.26333333 0.26333333 0.33333333 0.33333333 0.36666667 0.36666667
 0.38       0.38       0.39333333 0.39333333 0.53333333 0.53333333
 0.60666667 0.60666667 0.61       0.61       0.71666667 0.71666667
 0.73333333 0.73333333 0.74       0.74       0.76       0.76
 0.79333333 0.79333333 0.80666667 0.80666667 0.82666667 0.82666667
 0.83       0.83       0.83333333 0.83333333 0.84666667 0.84666667
 0.85333333 0.85333333 0.86       0.86       0.88       0.88
 0.88333333 0.88333333 0.9        0.9        0.90333333 0.90333333
 0.91       0.91       0.91333333 0.91333333 0.92333333 0.92333333
 0.93666667 0.93666667 0.94       0.94       0.95       0.95
 0.95333333 0.95333333 0.95666667 0.95666667 0.96333333 0.96333333
 0.96666667 0.96666667 0.97       0.97       0.97666667 0.97666667
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9156643356643357,0.009362220764160156,0.5228536128997803,0.06682610511779785,7432,797,36,3.120077556408897e-08,1.694915789074566e-06,1.7756206343872826e-07
0.8510158013544018,0.8949044585987261,0.40226180862547356,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.1056338  0.1056338  0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.15492958 0.15492958 0.16197183
 0.16197183 0.16901408 0.16901408 0.17605634 0.17605634 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.23943662 0.23943662 0.24647887
 0.24647887 0.25352113 0.25352113 0.26056338 0.26056338 0.26760563
 0.26760563 0.27464789 0.27464789 0.28169014 0.28169014 0.3028169
 0.3028169  0.30985915 0.30985915 0.31690141 0.31690141 0.32394366
 0.32394366 0.33802817 0.33802817 0.38732394 0.38732394 0.42957746
 0.42957746 0.45070423 0.45070423 0.46478873 0.46478873 0.52112676
 0.52112676 0.55633803 0.55633803 0.58450704 0.58450704 0.5915493
 0.5915493  0.67605634 0.67605634 0.70422535 0.70422535 1.        ]","[0.         0.00332226 0.00664452 0.00664452 0.089701   0.089701
 0.09302326 0.09302326 0.18604651 0.18604651 0.20930233 0.20930233
 0.2192691  0.2192691  0.22259136 0.22259136 0.27242525 0.27242525
 0.27574751 0.27574751 0.33222591 0.33222591 0.33887043 0.33887043
 0.38870432 0.38870432 0.42524917 0.42524917 0.42857143 0.42857143
 0.45182724 0.45182724 0.47840532 0.47840532 0.52491694 0.52491694
 0.58139535 0.58139535 0.62790698 0.62790698 0.66112957 0.66112957
 0.68106312 0.68106312 0.6910299  0.6910299  0.73754153 0.73754153
 0.74086379 0.74086379 0.76079734 0.76079734 0.76744186 0.76744186
 0.77076412 0.77076412 0.77408638 0.77408638 0.78405316 0.78405316
 0.78737542 0.78737542 0.81063123 0.81063123 0.82392027 0.82392027
 0.8372093  0.8372093  0.84385382 0.84385382 0.89036545 0.89036545
 0.89368771 0.89368771 0.910299   0.910299   0.92026578 0.92026578
 0.95348837 0.95348837 0.96013289 0.96013289 0.96345515 0.96345515
 0.96677741 0.96677741 0.97009967 0.97009967 0.97342193 0.97342193
 0.98006645 0.98006645 0.98671096 0.98671096 0.99003322 0.99003322
 0.99335548 0.99335548 0.99667774 0.99667774 1.         1.        ]",0.8543821065930466,0.009201288223266602,0.5394909381866455,0.08941483497619629,7432,796,36,3.307268712040602e-08,1.7422396088439401e-06,2.0273071786483347e-07
0.8668171557562077,0.90795631825273,0.37589797282184745,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.05633803 0.05633803 0.06338028 0.06338028 0.07042254
 0.07042254 0.07746479 0.07746479 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.1056338  0.1056338  0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.15492958 0.15492958 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437 0.23943662
 0.23943662 0.24647887 0.24647887 0.26056338 0.26056338 0.27464789
 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239 0.29577465
 0.29577465 0.3028169  0.3028169  0.30985915 0.30985915 0.31690141
 0.31690141 0.33098592 0.33098592 0.33802817 0.33802817 0.34507042
 0.34507042 0.42253521 0.42253521 0.47183099 0.47183099 0.47887324
 0.47887324 0.52112676 0.52112676 0.54929577 0.54929577 1.        ]","[0.         0.00332226 0.08305648 0.08305648 0.12956811 0.12956811
 0.14285714 0.14285714 0.1627907  0.1627907  0.17275748 0.17275748
 0.18936877 0.18936877 0.25249169 0.25249169 0.46511628 0.46511628
 0.48172757 0.48172757 0.51827243 0.51827243 0.57142857 0.57142857
 0.6013289  0.6013289  0.64119601 0.64119601 0.64784053 0.64784053
 0.70099668 0.70099668 0.70431894 0.70431894 0.73089701 0.73089701
 0.73754153 0.73754153 0.74750831 0.74750831 0.76079734 0.76079734
 0.7641196  0.7641196  0.78737542 0.78737542 0.83056478 0.83056478
 0.8538206  0.8538206  0.87707641 0.87707641 0.88372093 0.88372093
 0.89036545 0.89036545 0.89700997 0.89700997 0.90365449 0.90365449
 0.90697674 0.90697674 0.910299   0.910299   0.91362126 0.91362126
 0.91694352 0.91694352 0.92026578 0.92026578 0.94352159 0.94352159
 0.94684385 0.94684385 0.95016611 0.95016611 0.95348837 0.95348837
 0.95681063 0.95681063 0.96345515 0.96345515 0.96677741 0.96677741
 0.98006645 0.98006645 0.98671096 0.98671096 0.99003322 0.99003322
 0.99335548 0.99335548 0.99667774 0.99667774 1.         1.        ]",0.8903186561227832,0.019767284393310547,0.6069986820220947,0.07702827453613281,7432,796,36,4.0558190870132634e-08,1.6609098676195148e-06,1.9800262162879886e-07
0.871331828442438,0.9079159935379644,0.31063721376304826,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04929577 0.04929577 0.06338028 0.06338028 0.07042254
 0.07042254 0.07746479 0.07746479 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.1056338  0.1056338  0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.23239437 0.23239437 0.26056338 0.26056338 0.26760563
 0.26760563 0.27464789 0.27464789 0.31690141 0.31690141 0.32394366
 0.32394366 0.33098592 0.33098592 0.34507042 0.34507042 0.35915493
 0.35915493 0.37323944 0.37323944 0.3943662  0.3943662  0.40140845
 0.40140845 0.42253521 0.42253521 0.44366197 0.44366197 0.52816901
 0.52816901 0.67605634 0.67605634 0.80985915 0.80985915 0.85915493
 0.85915493 1.        ]","[0.         0.00332226 0.09966777 0.09966777 0.12292359 0.12292359
 0.31893688 0.31893688 0.32225914 0.32225914 0.43521595 0.43521595
 0.69767442 0.69767442 0.70431894 0.70431894 0.76079734 0.76079734
 0.78737542 0.78737542 0.79401993 0.79401993 0.80398671 0.80398671
 0.80730897 0.80730897 0.81063123 0.81063123 0.81727575 0.81727575
 0.82392027 0.82392027 0.82724252 0.82724252 0.83056478 0.83056478
 0.83388704 0.83388704 0.8372093  0.8372093  0.84385382 0.84385382
 0.85714286 0.85714286 0.87375415 0.87375415 0.89368771 0.89368771
 0.90033223 0.90033223 0.91362126 0.91362126 0.91694352 0.91694352
 0.9269103  0.9269103  0.93023256 0.93023256 0.93687708 0.93687708
 0.94019934 0.94019934 0.95016611 0.95016611 0.95348837 0.95348837
 0.95681063 0.95681063 0.96345515 0.96345515 0.96677741 0.96677741
 0.97009967 0.97009967 0.97342193 0.97342193 0.97674419 0.97674419
 0.98006645 0.98006645 0.9833887  0.9833887  0.98671096 0.98671096
 0.99003322 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.9271910532965233,0.02149653434753418,0.5532400608062744,0.09250330924987793,7432,796,36,4.381077413904196e-08,1.5318281325615857e-06,1.8828720196547612e-07
0.8167420814479638,0.8708133971291867,0.40777778760805106,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.1056338  0.1056338  0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.18309859
 0.18309859 0.19014085 0.19014085 0.20422535 0.20422535 0.21126761
 0.21126761 0.21830986 0.21830986 0.22535211 0.22535211 0.23943662
 0.23943662 0.25352113 0.25352113 0.26056338 0.26056338 0.26760563
 0.26760563 0.28873239 0.28873239 0.30985915 0.30985915 0.32394366
 0.32394366 0.33802817 0.33802817 0.34507042 0.34507042 0.35915493
 0.35915493 0.37323944 0.37323944 0.38028169 0.38028169 0.40140845
 0.40140845 0.4084507  0.4084507  0.41549296 0.41549296 0.42253521
 0.42253521 0.43661972 0.43661972 0.44366197 0.44366197 0.46478873
 0.46478873 0.47183099 0.47183099 0.47887324 0.47887324 0.48591549
 0.48591549 0.49295775 0.49295775 0.52112676 0.52112676 0.57042254
 0.57042254 0.57746479 0.57746479 0.59859155 0.59859155 0.62676056
 0.62676056 0.66901408 0.66901408 0.68309859 0.68309859 0.70422535
 0.70422535 0.8943662  0.8943662  1.        ]","[0.         0.00333333 0.19333333 0.19333333 0.2        0.2
 0.22       0.22       0.28333333 0.28333333 0.28666667 0.28666667
 0.31333333 0.31333333 0.45       0.45       0.51       0.51
 0.54666667 0.54666667 0.56       0.56       0.58       0.58
 0.58666667 0.58666667 0.60333333 0.60333333 0.64       0.64
 0.64666667 0.64666667 0.66333333 0.66333333 0.7        0.7
 0.71       0.71       0.71666667 0.71666667 0.72       0.72
 0.73333333 0.73333333 0.75333333 0.75333333 0.76333333 0.76333333
 0.77333333 0.77333333 0.78333333 0.78333333 0.8        0.8
 0.80666667 0.80666667 0.81       0.81       0.82       0.82
 0.82333333 0.82333333 0.83       0.83       0.83666667 0.83666667
 0.84333333 0.84333333 0.84666667 0.84666667 0.85       0.85
 0.85333333 0.85333333 0.88333333 0.88333333 0.89333333 0.89333333
 0.89666667 0.89666667 0.91       0.91       0.91333333 0.91333333
 0.91666667 0.91666667 0.92666667 0.92666667 0.93       0.93
 0.93333333 0.93333333 0.93666667 0.93666667 0.94       0.94
 0.94666667 0.94666667 0.95666667 0.95666667 0.96333333 0.96333333
 0.96666667 0.96666667 0.97       0.97       0.97333333 0.97333333
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.87462441314554,0.018032312393188477,0.5758373737335205,0.07529544830322266,7432,797,36,2.853329027511977e-08,1.5351945746117307e-06,1.682918496548379e-07
0.8619909502262444,0.9027113237639552,0.36578580965890556,"[0.         0.         0.         0.00704225 0.00704225 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.15492958
 0.15492958 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859
 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831  0.21126761
 0.21126761 0.21830986 0.21830986 0.22535211 0.22535211 0.23943662
 0.23943662 0.26760563 0.26760563 0.28169014 0.28169014 0.3028169
 0.3028169  0.30985915 0.30985915 0.33802817 0.33802817 0.35915493
 0.35915493 0.42957746 0.42957746 0.44366197 0.44366197 0.45070423
 0.45070423 0.5        0.5        0.51408451 0.51408451 0.54225352
 0.54225352 0.6971831  0.6971831  0.74647887 0.74647887 0.78169014
 0.78169014 0.98591549 0.98591549 1.        ]","[0.         0.00333333 0.28333333 0.28333333 0.29333333 0.29333333
 0.32333333 0.32333333 0.34       0.34       0.38666667 0.38666667
 0.44333333 0.44333333 0.44666667 0.44666667 0.45333333 0.45333333
 0.47       0.47       0.49333333 0.49333333 0.5        0.5
 0.51666667 0.51666667 0.56       0.56       0.59666667 0.59666667
 0.63       0.63       0.67       0.67       0.71       0.71
 0.72333333 0.72333333 0.73333333 0.73333333 0.78333333 0.78333333
 0.78666667 0.78666667 0.80333333 0.80333333 0.81       0.81
 0.81333333 0.81333333 0.81666667 0.81666667 0.86333333 0.86333333
 0.88333333 0.88333333 0.88666667 0.88666667 0.89666667 0.89666667
 0.90666667 0.90666667 0.92       0.92       0.93       0.93
 0.94333333 0.94333333 0.94666667 0.94666667 0.95333333 0.95333333
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97333333 0.97333333 0.97666667 0.97666667 0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.893661971830986,0.01569962501525879,0.5397951602935791,0.0651240348815918,7432,797,36,4.619692032462996e-08,1.691617381038282e-06,1.8934681828052316e-07
0.8529411764705882,0.8992248062015503,0.4015117114976606,"[0.         0.         0.         0.01408451 0.01408451 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.1056338  0.1056338  0.11267606
 0.11267606 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437 0.23943662
 0.23943662 0.24647887 0.24647887 0.25352113 0.25352113 0.26056338
 0.26056338 0.26760563 0.26760563 0.27464789 0.27464789 0.28873239
 0.28873239 0.29577465 0.29577465 0.3028169  0.3028169  0.30985915
 0.30985915 0.32394366 0.32394366 0.33098592 0.33098592 0.34507042
 0.34507042 0.35211268 0.35211268 0.37323944 0.37323944 0.38028169
 0.38028169 0.40140845 0.40140845 0.41549296 0.41549296 0.42957746
 0.42957746 0.45774648 0.45774648 0.47183099 0.47183099 0.49295775
 0.49295775 0.54929577 0.54929577 0.61971831 0.61971831 0.67605634
 0.67605634 0.87323944 0.87323944 1.        ]","[0.         0.00333333 0.09333333 0.09333333 0.18       0.18
 0.22       0.22       0.24666667 0.24666667 0.31666667 0.31666667
 0.36       0.36       0.36333333 0.36333333 0.42666667 0.42666667
 0.44333333 0.44333333 0.44666667 0.44666667 0.5        0.5
 0.51       0.51       0.53333333 0.53333333 0.54333333 0.54333333
 0.62666667 0.62666667 0.65666667 0.65666667 0.66333333 0.66333333
 0.67       0.67       0.67333333 0.67333333 0.68333333 0.68333333
 0.69333333 0.69333333 0.69666667 0.69666667 0.70333333 0.70333333
 0.71333333 0.71333333 0.73       0.73       0.73333333 0.73333333
 0.74333333 0.74333333 0.77333333 0.77333333 0.77666667 0.77666667
 0.8        0.8        0.82       0.82       0.82333333 0.82333333
 0.85333333 0.85333333 0.85666667 0.85666667 0.86333333 0.86333333
 0.88333333 0.88333333 0.89       0.89       0.90666667 0.90666667
 0.91       0.91       0.91666667 0.91666667 0.92666667 0.92666667
 0.93       0.93       0.94666667 0.94666667 0.96333333 0.96333333
 0.96666667 0.96666667 0.97       0.97       0.97333333 0.97333333
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.8689906103286386,0.009772777557373047,0.5227494239807129,0.07733321189880371,7432,797,36,3.6964440114058486e-08,1.4546504944186554e-06,2.5809560550555093e-07
0.8371040723981901,0.8767123287671234,0.38107203019158103,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.23943662
 0.23943662 0.25352113 0.25352113 0.26760563 0.26760563 0.27464789
 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239 0.29577465
 0.29577465 0.31690141 0.31690141 0.32394366 0.32394366 0.33098592
 0.33098592 0.34507042 0.34507042 0.35211268 0.35211268 0.37323944
 0.37323944 0.40140845 0.40140845 0.42253521 0.42253521 0.44366197
 0.44366197 0.47183099 0.47183099 0.48591549 0.48591549 0.5
 0.5        0.54225352 0.54225352 0.5915493  0.5915493  0.67605634
 0.67605634 0.71830986 0.71830986 0.78169014 0.78169014 0.80985915
 0.80985915 1.        ]","[0.         0.00333333 0.12333333 0.12333333 0.13333333 0.13333333
 0.14       0.14       0.22666667 0.22666667 0.36333333 0.36333333
 0.47666667 0.47666667 0.5        0.5        0.51       0.51
 0.57333333 0.57333333 0.64       0.64       0.67333333 0.67333333
 0.68       0.68       0.69666667 0.69666667 0.74333333 0.74333333
 0.75333333 0.75333333 0.76333333 0.76333333 0.77666667 0.77666667
 0.79666667 0.79666667 0.8        0.8        0.82666667 0.82666667
 0.83       0.83       0.83666667 0.83666667 0.84       0.84
 0.84333333 0.84333333 0.84666667 0.84666667 0.85       0.85
 0.85666667 0.85666667 0.86333333 0.86333333 0.87       0.87
 0.88333333 0.88333333 0.88666667 0.88666667 0.89666667 0.89666667
 0.9        0.9        0.90333333 0.90333333 0.91       0.91
 0.91333333 0.91333333 0.92333333 0.92333333 0.92666667 0.92666667
 0.94       0.94       0.94666667 0.94666667 0.95       0.95
 0.95333333 0.95333333 0.95666667 0.95666667 0.96       0.96
 0.96666667 0.96666667 0.97       0.97       0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.9026760563380283,0.01057887077331543,0.5647575855255127,0.08699345588684082,7432,797,36,3.575283866977686e-08,1.486526258686889e-06,2.105158417227979e-07
0.8597285067873304,0.9028213166144201,0.38981422598885096,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.16901408 0.16901408 0.18309859 0.18309859 0.1971831
 0.1971831  0.21126761 0.21126761 0.21830986 0.21830986 0.22535211
 0.22535211 0.23943662 0.23943662 0.25352113 0.25352113 0.27464789
 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239 0.29577465
 0.29577465 0.31690141 0.31690141 0.32394366 0.32394366 0.34507042
 0.34507042 0.35915493 0.35915493 0.36619718 0.36619718 0.40140845
 0.40140845 0.47887324 0.47887324 0.51408451 0.51408451 0.52816901
 0.52816901 0.58450704 0.58450704 0.6056338  0.6056338  0.63380282
 0.63380282 0.67605634 0.67605634 0.71126761 0.71126761 0.92253521
 0.92253521 1.        ]","[0.         0.00333333 0.19       0.19       0.20333333 0.20333333
 0.21666667 0.21666667 0.32666667 0.32666667 0.40333333 0.40333333
 0.40666667 0.40666667 0.42       0.42       0.43       0.43
 0.43333333 0.43333333 0.47666667 0.47666667 0.50333333 0.50333333
 0.53666667 0.53666667 0.54       0.54       0.57333333 0.57333333
 0.64       0.64       0.64666667 0.64666667 0.65       0.65
 0.65666667 0.65666667 0.78       0.78       0.78333333 0.78333333
 0.79       0.79       0.8        0.8        0.80333333 0.80333333
 0.82333333 0.82333333 0.86       0.86       0.86333333 0.86333333
 0.88       0.88       0.89666667 0.89666667 0.91       0.91
 0.91333333 0.91333333 0.92333333 0.92333333 0.93       0.93
 0.95       0.95       0.95333333 0.95333333 0.95666667 0.95666667
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8927699530516432,0.009913921356201172,0.5136423110961914,0.08303642272949219,7432,797,36,3.644258177615701e-08,1.6413116309439571e-06,1.8436258626729554e-07
0.8438914027149321,0.894333843797856,0.3829996180118302,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.08450704
 0.08450704 0.09859155 0.09859155 0.1056338  0.1056338  0.11267606
 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.21126761 0.21126761 0.22535211 0.22535211 0.23239437
 0.23239437 0.24647887 0.24647887 0.25352113 0.25352113 0.26760563
 0.26760563 0.28169014 0.28169014 0.3028169  0.3028169  0.31690141
 0.31690141 0.35915493 0.35915493 0.36619718 0.36619718 0.37323944
 0.37323944 0.42253521 0.42253521 0.42957746 0.42957746 0.46478873
 0.46478873 0.49295775 0.49295775 0.5        0.5        0.54225352
 0.54225352 0.76056338 0.76056338 0.92253521 0.92253521 1.        ]","[0.         0.00333333 0.08666667 0.08666667 0.19333333 0.19333333
 0.22       0.22       0.3        0.3        0.36       0.36
 0.44666667 0.44666667 0.49333333 0.49333333 0.54333333 0.54333333
 0.54666667 0.54666667 0.55       0.55       0.59333333 0.59333333
 0.60666667 0.60666667 0.64       0.64       0.65333333 0.65333333
 0.7        0.7        0.70666667 0.70666667 0.76333333 0.76333333
 0.77333333 0.77333333 0.80666667 0.80666667 0.81       0.81
 0.82       0.82       0.85       0.85       0.86666667 0.86666667
 0.88       0.88       0.89333333 0.89333333 0.89666667 0.89666667
 0.9        0.9        0.90333333 0.90333333 0.90666667 0.90666667
 0.91       0.91       0.92       0.92       0.93       0.93
 0.93666667 0.93666667 0.95666667 0.95666667 0.96333333 0.96333333
 0.96666667 0.96666667 0.97333333 0.97333333 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.9037089201877934,0.010951995849609375,0.5237910747528076,0.06428337097167969,7432,797,36,2.6156898665910186e-08,1.5501784499128432e-06,1.8210175985015897e-07
