accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.8781038374717833,0.9123376623376623,0.31872488487052314,"[0.         0.         0.         0.00699301 0.00699301 0.00699301
 0.00699301 0.01398601 0.01398601 0.01398601 0.01398601 0.01398601
 0.02097902 0.02097902 0.02097902 0.02097902 0.02797203 0.04195804
 0.04195804 0.04895105 0.04895105 0.06293706 0.07692308 0.09090909
 0.0979021  0.1048951  0.11188811 0.11188811 0.12587413 0.13986014
 0.14685315 0.14685315 0.16083916 0.16083916 0.16083916 0.16783217
 0.17482517 0.17482517 0.18181818 0.18181818 0.18881119 0.18881119
 0.1958042  0.1958042  0.2027972  0.22377622 0.23076923 0.23776224
 0.24475524 0.24475524 0.26573427 0.27272727 0.27972028 0.27972028
 0.28671329 0.28671329 0.32167832 0.32167832 0.33566434 0.33566434
 0.36363636 0.37062937 0.37762238 0.39160839 0.41958042 0.43356643
 0.46153846 0.46853147 0.46853147 0.48251748 0.51748252 0.52447552
 0.55244755 0.56643357 0.59440559 0.67832168 0.68531469 0.72027972
 0.74825175 0.7972028  0.81118881 0.86713287 0.93006993 0.93706294
 0.98601399 1.        ]","[0.         0.02       0.04666667 0.08666667 0.12       0.18333333
 0.23       0.26666667 0.29666667 0.33666667 0.36       0.39
 0.40666667 0.46       0.49       0.51       0.53666667 0.55333333
 0.57       0.59666667 0.63333333 0.64666667 0.67       0.68666667
 0.71       0.73       0.74666667 0.75666667 0.77666667 0.80333333
 0.82       0.83333333 0.84666667 0.86       0.86333333 0.87333333
 0.87666667 0.88333333 0.88333333 0.89       0.89666667 0.9
 0.90666667 0.91       0.91333333 0.92       0.92666667 0.93666667
 0.93666667 0.94333333 0.94666667 0.95       0.95       0.95666667
 0.96       0.96333333 0.96333333 0.97       0.97       0.97333333
 0.98       0.98333333 0.99       0.99       0.99       0.99
 0.99       0.99       0.99333333 0.99333333 0.99333333 0.99333333
 0.99333333 0.99333333 0.99666667 0.99666667 0.99666667 0.99666667
 1.         1.         1.         1.         1.         1.
 1.         1.        ]",0.9266783216783216,0.009247779846191406,0.13731884956359863,0.00933837890625,2516,797,36,2.1277145547022886e-08,4.1472605128922637e-07,2.7631554562923977e-08
0.8803611738148984,0.9146537842190016,0.3601286025809554,"[0.         0.         0.02112676 0.02112676 0.02112676 0.02816901
 0.03521127 0.03521127 0.04225352 0.04929577 0.04929577 0.05633803
 0.07042254 0.07042254 0.07042254 0.07042254 0.07746479 0.07746479
 0.0915493  0.1056338  0.11971831 0.12676056 0.12676056 0.14084507
 0.14084507 0.14084507 0.14788732 0.15492958 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.17605634 0.18309859 0.18309859
 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831  0.21126761
 0.21126761 0.21830986 0.21830986 0.22535211 0.23239437 0.25352113
 0.26056338 0.27464789 0.28169014 0.30985915 0.31690141 0.33802817
 0.34507042 0.35211268 0.36619718 0.37323944 0.40140845 0.4084507
 0.42253521 0.43661972 0.45070423 0.45774648 0.47183099 0.47887324
 0.49295775 0.53521127 0.55633803 0.56338028 0.57746479 0.59859155
 0.6056338  0.61267606 0.64084507 0.64788732 0.66197183 0.66901408
 0.69014085 0.70422535 0.72535211 0.75352113 0.78169014 0.80985915
 0.81690141 0.82394366 0.85211268 0.9084507  0.94366197 1.        ]","[0.         0.02325581 0.05980066 0.10299003 0.15614618 0.20598007
 0.24916944 0.29568106 0.33222591 0.38538206 0.44186047 0.47840532
 0.50498339 0.52491694 0.55813953 0.59468439 0.60797342 0.62790698
 0.64451827 0.70431894 0.72757475 0.74418605 0.76079734 0.7807309
 0.78737542 0.79734219 0.80730897 0.82059801 0.84053156 0.84053156
 0.84717608 0.84717608 0.8538206  0.86710963 0.87375415 0.88039867
 0.88372093 0.89036545 0.89368771 0.89700997 0.90697674 0.91362126
 0.92026578 0.92026578 0.9269103  0.93355482 0.93355482 0.94352159
 0.94684385 0.95016611 0.95016611 0.95016611 0.95016611 0.95016611
 0.95348837 0.95348837 0.95348837 0.95348837 0.96013289 0.96345515
 0.96345515 0.97009967 0.97009967 0.97009967 0.97342193 0.97674419
 0.97674419 0.97674419 0.97674419 0.97674419 0.97674419 0.98006645
 0.98006645 0.9833887  0.9833887  0.9833887  0.98671096 0.99003322
 0.99003322 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.         1.         1.         1.         1.        ]",0.8995601516073183,0.009251832962036133,0.11246991157531738,0.00988912582397461,2516,796,36,3.8110831499822825e-08,2.8550391866516574e-07,3.184079121231528e-08
0.8577878103837472,0.8978930307941654,0.4174304516297575,"[0.         0.00704225 0.00704225 0.01408451 0.02112676 0.02816901
 0.03521127 0.04225352 0.04929577 0.05633803 0.05633803 0.05633803
 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704 0.08450704
 0.08450704 0.08450704 0.1056338  0.1056338  0.1056338  0.11971831
 0.11971831 0.11971831 0.12676056 0.14084507 0.14084507 0.15492958
 0.16197183 0.16197183 0.16197183 0.17605634 0.18309859 0.18309859
 0.19014085 0.20422535 0.21126761 0.23943662 0.25352113 0.26760563
 0.26760563 0.27464789 0.27464789 0.27464789 0.27464789 0.28873239
 0.29577465 0.29577465 0.3028169  0.3028169  0.30985915 0.30985915
 0.31690141 0.33098592 0.35915493 0.36619718 0.36619718 0.37323944
 0.3943662  0.40140845 0.4084507  0.43661972 0.44366197 0.46478873
 0.46478873 0.48591549 0.5        0.54225352 0.54929577 0.56338028
 0.57042254 0.6056338  0.63380282 0.68309859 0.72535211 0.74647887
 0.78873239 0.80985915 0.82394366 0.85915493 0.87323944 0.91549296
 0.93661972 0.97887324 0.99295775 1.        ]","[0.         0.02990033 0.05980066 0.09634551 0.14950166 0.22259136
 0.26245847 0.30564784 0.3654485  0.40863787 0.44186047 0.47840532
 0.50498339 0.52159468 0.56478405 0.62458472 0.64451827 0.65116279
 0.69435216 0.70431894 0.72093023 0.73089701 0.74418605 0.7641196
 0.77740864 0.78405316 0.78737542 0.80066445 0.80730897 0.81395349
 0.82059801 0.8372093  0.84053156 0.84717608 0.85049834 0.8538206
 0.86046512 0.86046512 0.87043189 0.87375415 0.88704319 0.89036545
 0.89700997 0.89700997 0.90365449 0.91362126 0.92026578 0.92358804
 0.9269103  0.93355482 0.94019934 0.95348837 0.95681063 0.96345515
 0.96677741 0.97342193 0.97342193 0.97674419 0.98006645 0.98006645
 0.9833887  0.98671096 0.98671096 0.98671096 0.99003322 0.99003322
 0.99667774 0.99667774 0.99667774 0.99667774 0.99667774 0.99667774
 0.99667774 0.99667774 0.99667774 0.99667774 0.99667774 0.99667774
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",0.9033035421833325,0.021464824676513672,0.12357306480407715,0.009456396102905273,2516,796,36,4.409724165772085e-08,3.174233773730131e-07,3.877553357965898e-08
0.8690744920993227,0.9058441558441558,0.30309754681893164,"[0.         0.         0.00704225 0.00704225 0.00704225 0.00704225
 0.00704225 0.00704225 0.00704225 0.01408451 0.02112676 0.02112676
 0.02112676 0.02112676 0.02112676 0.02112676 0.02112676 0.02112676
 0.02816901 0.03521127 0.03521127 0.04225352 0.04225352 0.04225352
 0.05633803 0.05633803 0.06338028 0.06338028 0.06338028 0.07042254
 0.08450704 0.0915493  0.11971831 0.11971831 0.12676056 0.12676056
 0.13380282 0.14084507 0.15492958 0.16197183 0.17605634 0.19014085
 0.21126761 0.23239437 0.23943662 0.23943662 0.25352113 0.26760563
 0.26760563 0.27464789 0.3028169  0.31690141 0.34507042 0.35211268
 0.35211268 0.36619718 0.37323944 0.38028169 0.3943662  0.40140845
 0.41549296 0.41549296 0.43661972 0.47183099 0.49295775 0.5
 0.52112676 0.52112676 0.52112676 0.52112676 0.53521127 0.55633803
 0.58450704 0.61267606 0.65492958 0.66197183 0.69014085 0.72535211
 0.76760563 0.8028169  0.84507042 0.91549296 1.        ]","[0.         0.05980066 0.11295681 0.19933555 0.2358804  0.28239203
 0.31561462 0.35215947 0.37873754 0.40863787 0.44186047 0.47840532
 0.51827243 0.54817276 0.56810631 0.59136213 0.60465116 0.62458472
 0.64784053 0.66112957 0.67109635 0.68438538 0.71096346 0.72425249
 0.74086379 0.7641196  0.77408638 0.78405316 0.81063123 0.81727575
 0.82724252 0.83056478 0.84053156 0.85049834 0.86046512 0.86710963
 0.87375415 0.88372093 0.89036545 0.89700997 0.89700997 0.90697674
 0.91694352 0.92026578 0.92026578 0.92358804 0.9269103  0.9269103
 0.93355482 0.94019934 0.94684385 0.94684385 0.95016611 0.95348837
 0.95681063 0.96013289 0.96013289 0.97342193 0.97342193 0.97674419
 0.97674419 0.98006645 0.98006645 0.9833887  0.9833887  0.9833887
 0.9833887  0.98671096 0.99335548 0.99667774 0.99667774 0.99667774
 0.99667774 0.99667774 0.99667774 0.99667774 0.99667774 0.99667774
 0.99667774 0.99667774 1.         1.         1.        ]",0.9393219783819194,0.026177167892456055,0.10925793647766113,0.009043693542480469,2516,796,36,1.333037076281724e-07,2.9474625248737045e-07,2.553605160004113e-08
0.8280542986425339,0.8774193548387097,0.3856405379555551,"[0.         0.         0.         0.01408451 0.01408451 0.02112676
 0.02112676 0.02112676 0.02112676 0.02112676 0.02816901 0.03521127
 0.03521127 0.04929577 0.04929577 0.04929577 0.05633803 0.07746479
 0.08450704 0.09859155 0.09859155 0.1056338  0.11971831 0.12676056
 0.14084507 0.14788732 0.15492958 0.16901408 0.16901408 0.16901408
 0.17605634 0.1971831  0.20422535 0.20422535 0.21126761 0.21830986
 0.22535211 0.23239437 0.25352113 0.26760563 0.27464789 0.28169014
 0.29577465 0.30985915 0.32394366 0.33098592 0.33802817 0.35211268
 0.35915493 0.37323944 0.38028169 0.40140845 0.4084507  0.41549296
 0.42253521 0.42957746 0.44366197 0.45070423 0.47183099 0.47887324
 0.48591549 0.49295775 0.51408451 0.52112676 0.52816901 0.56338028
 0.57746479 0.5915493  0.59859155 0.61267606 0.61971831 0.63380282
 0.64084507 0.65492958 0.67605634 0.69014085 0.71126761 0.71126761
 0.73239437 0.73943662 0.76056338 0.78873239 0.83098592 0.88028169
 0.91549296 0.95070423 0.97183099 1.        ]","[0.         0.02333333 0.11666667 0.20333333 0.23666667 0.27666667
 0.30666667 0.35666667 0.37666667 0.41333333 0.45       0.47333333
 0.50333333 0.53       0.54333333 0.56       0.57666667 0.6
 0.61666667 0.64       0.65666667 0.67333333 0.69       0.71
 0.71333333 0.72333333 0.72333333 0.75       0.76       0.76333333
 0.79       0.81       0.81666667 0.83       0.84333333 0.84666667
 0.84666667 0.85       0.85333333 0.85333333 0.86       0.87666667
 0.88666667 0.89333333 0.89666667 0.9        0.90666667 0.91
 0.92       0.92333333 0.92666667 0.93333333 0.93666667 0.93666667
 0.94666667 0.95       0.95       0.95666667 0.96       0.96
 0.97       0.97333333 0.97333333 0.97333333 0.97666667 0.98
 0.98       0.98333333 0.98333333 0.98666667 0.98666667 0.98666667
 0.98666667 0.98666667 0.98666667 0.98666667 0.98666667 0.99
 0.99       0.99333333 0.99333333 0.99333333 0.99333333 0.99666667
 0.99666667 1.         1.         1.        ]",0.8887206572769951,0.00974273681640625,0.11597537994384766,0.011427640914916992,2516,797,36,3.1378513231500576e-08,3.3569934459386176e-07,4.885186283479898e-08
0.8552036199095022,0.8987341772151898,0.3352391405212522,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.00704225 0.00704225 0.00704225 0.02112676
 0.02112676 0.02816901 0.04225352 0.04225352 0.04225352 0.04225352
 0.04929577 0.04929577 0.07042254 0.07042254 0.07746479 0.0915493
 0.1056338  0.1056338  0.11267606 0.11267606 0.11267606 0.11971831
 0.11971831 0.13380282 0.14788732 0.17605634 0.18309859 0.20422535
 0.22535211 0.23239437 0.23239437 0.23943662 0.26056338 0.26056338
 0.26760563 0.28873239 0.29577465 0.30985915 0.32394366 0.33802817
 0.33802817 0.35211268 0.38028169 0.38732394 0.40140845 0.40140845
 0.40140845 0.41549296 0.42253521 0.42957746 0.43661972 0.45070423
 0.46478873 0.47887324 0.5        0.52112676 0.56338028 0.5915493
 0.6056338  0.62676056 0.65492958 0.67605634 0.70422535 0.72535211
 0.75352113 0.77464789 0.8028169  0.84507042 0.87323944 0.91549296
 0.95070423 0.97183099 1.        ]","[0.         0.02       0.06       0.13       0.16       0.20666667
 0.23666667 0.29333333 0.35       0.37333333 0.40333333 0.42666667
 0.45       0.47666667 0.52666667 0.53333333 0.53666667 0.56666667
 0.60666667 0.63666667 0.64       0.66666667 0.68       0.69
 0.70666667 0.73       0.74       0.76       0.77333333 0.78
 0.79333333 0.81666667 0.81666667 0.83       0.84666667 0.86333333
 0.86333333 0.87666667 0.88666667 0.89333333 0.89666667 0.90333333
 0.91       0.91666667 0.91666667 0.93       0.93666667 0.94
 0.95333333 0.95666667 0.95666667 0.96       0.96       0.96666667
 0.98       0.98333333 0.98333333 0.98666667 0.98666667 0.98666667
 0.99333333 0.99333333 0.99333333 0.99333333 0.99333333 0.99666667
 0.99666667 0.99666667 0.99666667 0.99666667 0.99666667 0.99666667
 0.99666667 0.99666667 0.99666667 0.99666667 1.         1.
 1.         1.         1.        ]",0.9186384976525822,0.011391878128051758,0.12251925468444824,0.011889934539794922,2516,797,36,7.346703598338426e-08,2.75948814529352e-07,2.6872814171851516e-08
0.8371040723981901,0.8853503184713376,0.4547595926037059,"[0.         0.00704225 0.00704225 0.02112676 0.02816901 0.02816901
 0.03521127 0.05633803 0.05633803 0.07042254 0.07746479 0.08450704
 0.09859155 0.1056338  0.11267606 0.11267606 0.11971831 0.12676056
 0.14084507 0.14788732 0.14788732 0.14788732 0.14788732 0.16197183
 0.16901408 0.18309859 0.19014085 0.19014085 0.19014085 0.19014085
 0.1971831  0.20422535 0.20422535 0.21830986 0.21830986 0.23239437
 0.25352113 0.26760563 0.27464789 0.27464789 0.28169014 0.28169014
 0.28873239 0.29577465 0.31690141 0.32394366 0.33098592 0.33098592
 0.34507042 0.35211268 0.35915493 0.36619718 0.37323944 0.40140845
 0.40140845 0.42253521 0.43661972 0.46478873 0.49295775 0.49295775
 0.50704225 0.52112676 0.52816901 0.54225352 0.54929577 0.55633803
 0.57042254 0.57746479 0.6056338  0.61971831 0.62676056 0.64084507
 0.66901408 0.68309859 0.71126761 0.71830986 0.73239437 0.75352113
 0.78873239 0.78873239 0.83802817 0.86619718 0.9084507  0.92253521
 0.95070423 0.98591549 1.        ]","[0.         0.03333333 0.11       0.14333333 0.19333333 0.27666667
 0.32666667 0.35333333 0.39       0.43333333 0.46       0.50333333
 0.54       0.55666667 0.59       0.61       0.62       0.64666667
 0.69       0.71666667 0.73333333 0.75333333 0.76333333 0.78333333
 0.79333333 0.8        0.81333333 0.83       0.83666667 0.84666667
 0.85333333 0.86333333 0.87       0.87       0.88       0.88333333
 0.89333333 0.89333333 0.89333333 0.89666667 0.90333333 0.91
 0.91666667 0.91666667 0.92       0.92       0.92333333 0.92666667
 0.92666667 0.92666667 0.94333333 0.94666667 0.94666667 0.95333333
 0.95666667 0.95666667 0.95666667 0.97       0.97       0.97333333
 0.97333333 0.97666667 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.98333333 0.98333333 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 0.99666667 0.99666667
 0.99666667 1.         1.         1.         1.         1.
 1.         1.         1.        ]",0.880293427230047,0.023082256317138672,0.14388465881347656,0.009228944778442383,2516,797,36,1.0217965171644295e-07,3.9035775143504486e-07,2.4337457640930937e-08
0.830316742081448,0.8803827751196172,0.5143434778326197,"[0.         0.01408451 0.02112676 0.02112676 0.02816901 0.02816901
 0.02816901 0.02816901 0.02816901 0.04225352 0.04225352 0.04929577
 0.05633803 0.06338028 0.06338028 0.07746479 0.07746479 0.07746479
 0.07746479 0.08450704 0.08450704 0.08450704 0.0915493  0.0915493
 0.1056338  0.13380282 0.14788732 0.16901408 0.18309859 0.19014085
 0.1971831  0.20422535 0.21830986 0.22535211 0.24647887 0.26760563
 0.26760563 0.27464789 0.28873239 0.3028169  0.30985915 0.30985915
 0.31690141 0.32394366 0.33098592 0.33802817 0.33802817 0.34507042
 0.35915493 0.35915493 0.35915493 0.38028169 0.3943662  0.3943662
 0.4084507  0.42253521 0.42957746 0.44366197 0.44366197 0.45070423
 0.46478873 0.46478873 0.49295775 0.50704225 0.51408451 0.54929577
 0.56338028 0.57042254 0.5915493  0.6056338  0.61267606 0.65492958
 0.66197183 0.69014085 0.69014085 0.71126761 0.72535211 0.76760563
 0.8028169  0.85211268 0.86619718 0.92253521 0.94366197 0.95774648
 0.98591549 1.        ]","[0.         0.05       0.11       0.17       0.20666667 0.27666667
 0.33333333 0.38       0.43       0.48333333 0.52       0.55
 0.58666667 0.60666667 0.62666667 0.63333333 0.64333333 0.66
 0.68333333 0.69       0.7        0.72666667 0.74666667 0.76666667
 0.77333333 0.78333333 0.79       0.81666667 0.82666667 0.83
 0.83666667 0.84666667 0.85666667 0.85666667 0.86333333 0.86333333
 0.87666667 0.88333333 0.88333333 0.89       0.89333333 0.90333333
 0.90666667 0.90666667 0.91       0.91       0.91333333 0.91666667
 0.92       0.93       0.93666667 0.94       0.95333333 0.96333333
 0.96333333 0.96666667 0.96666667 0.96666667 0.97       0.97333333
 0.97333333 0.97666667 0.97666667 0.97666667 0.98333333 0.98666667
 0.98666667 0.98666667 0.98666667 0.98666667 0.99       0.99
 0.99       0.99       0.99333333 0.99333333 0.99333333 0.99333333
 0.99666667 0.99666667 0.99666667 0.99666667 0.99666667 1.
 1.         1.        ]",0.8984037558685446,0.05902504920959473,0.10183477401733398,0.014615535736083984,2516,797,36,1.2839723526793657e-07,3.002103346343198e-07,4.8188861863021496e-08
0.8687782805429864,0.9082278481012659,0.3507741538951774,"[0.         0.         0.01408451 0.01408451 0.02816901 0.02816901
 0.04225352 0.04225352 0.04225352 0.04225352 0.05633803 0.06338028
 0.07042254 0.07042254 0.07746479 0.0915493  0.09859155 0.09859155
 0.09859155 0.1056338  0.11267606 0.11267606 0.11267606 0.11267606
 0.12676056 0.12676056 0.13380282 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.17605634 0.17605634 0.17605634
 0.20422535 0.21126761 0.22535211 0.22535211 0.25352113 0.26760563
 0.28169014 0.29577465 0.3028169  0.31690141 0.31690141 0.32394366
 0.33802817 0.36619718 0.38028169 0.40140845 0.40140845 0.41549296
 0.42253521 0.44366197 0.45774648 0.46478873 0.47887324 0.49295775
 0.5        0.51408451 0.52816901 0.53521127 0.56338028 0.57042254
 0.58450704 0.6056338  0.64084507 0.65492958 0.66197183 0.69014085
 0.70422535 0.74647887 0.8028169  0.81690141 0.85915493 0.91549296
 0.95774648 1.        ]","[0.         0.06333333 0.12333333 0.21       0.25       0.29
 0.33333333 0.37333333 0.40333333 0.46       0.49333333 0.52
 0.54333333 0.56666667 0.58666667 0.60333333 0.64       0.66
 0.69333333 0.72       0.73       0.74       0.75333333 0.76
 0.77       0.78666667 0.80333333 0.82333333 0.82666667 0.84333333
 0.85       0.86333333 0.86666667 0.87666667 0.88666667 0.89
 0.90333333 0.91       0.91333333 0.92666667 0.92666667 0.92666667
 0.94333333 0.95       0.95       0.95666667 0.96       0.96333333
 0.96333333 0.96333333 0.96333333 0.96333333 0.96666667 0.96666667
 0.97       0.97       0.97       0.97       0.97       0.97666667
 0.98       0.98333333 0.98333333 0.98333333 0.98333333 0.98666667
 0.99       0.99       0.99       0.99       0.99       0.99
 0.99       0.99333333 0.99333333 0.99333333 0.99333333 1.
 1.         1.        ]",0.9053873239436618,0.0485844612121582,0.13197088241577148,0.009632349014282227,2516,797,36,9.543791581304614e-08,3.648789043211333e-07,2.8123983834328365e-08
0.8506787330316742,0.8962264150943395,0.37896337838234245,"[0.         0.         0.00704225 0.02112676 0.04225352 0.04225352
 0.05633803 0.0915493  0.0915493  0.11267606 0.11267606 0.11971831
 0.13380282 0.14788732 0.15492958 0.15492958 0.17605634 0.19014085
 0.19014085 0.1971831  0.20422535 0.21126761 0.21126761 0.21126761
 0.21126761 0.21126761 0.21830986 0.21830986 0.22535211 0.23239437
 0.24647887 0.26760563 0.27464789 0.28873239 0.28873239 0.29577465
 0.30985915 0.31690141 0.33098592 0.33802817 0.35915493 0.35915493
 0.36619718 0.37323944 0.38028169 0.38028169 0.40140845 0.42957746
 0.44366197 0.45774648 0.47183099 0.47183099 0.48591549 0.49295775
 0.50704225 0.52816901 0.5915493  0.5915493  0.6056338  0.64788732
 0.68309859 0.71126761 0.72535211 0.73943662 0.76760563 0.80985915
 0.83802817 0.86619718 0.88028169 0.9084507  0.94366197 0.98591549
 1.        ]","[0.         0.05333333 0.11       0.19       0.24333333 0.31666667
 0.37333333 0.40333333 0.47666667 0.54666667 0.58666667 0.63
 0.64333333 0.65       0.67       0.69       0.73       0.77666667
 0.79333333 0.81666667 0.82333333 0.84       0.85333333 0.85666667
 0.86333333 0.87333333 0.87666667 0.89       0.89333333 0.9
 0.90666667 0.92666667 0.93666667 0.93666667 0.94333333 0.94333333
 0.94666667 0.95       0.95       0.95       0.95       0.95666667
 0.96333333 0.96666667 0.96666667 0.97333333 0.97666667 0.97666667
 0.97666667 0.98       0.98       0.98333333 0.98333333 0.98666667
 0.98666667 0.99       0.99       0.99333333 0.99333333 0.99333333
 0.99333333 0.99333333 0.99333333 0.99333333 0.99333333 0.99333333
 0.99666667 0.99666667 0.99666667 0.99666667 1.         1.
 1.        ]",0.8785798122065727,0.011214733123779297,0.10976290702819824,0.010165929794311523,2516,797,36,3.102905213762182e-08,3.6681281713872604e-07,5.131459995875824e-08
