accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.871331828442438,0.9085072231139648,0.32980135135478295,"[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.02797203 0.02797203 0.03496503 0.03496503 0.04195804
 0.04195804 0.04895105 0.04895105 0.05594406 0.05594406 0.06993007
 0.06993007 0.07692308 0.07692308 0.08391608 0.08391608 0.09090909
 0.09090909 0.0979021  0.0979021  0.1048951  0.1048951  0.11188811
 0.11188811 0.11888112 0.11888112 0.12587413 0.12587413 0.13286713
 0.13286713 0.13986014 0.13986014 0.14685315 0.14685315 0.16083916
 0.16083916 0.18181818 0.18181818 0.18881119 0.18881119 0.2027972
 0.2027972  0.23076923 0.23076923 0.23776224 0.23776224 0.25174825
 0.25174825 0.26573427 0.26573427 0.27272727 0.27272727 0.28671329
 0.28671329 0.3006993  0.3006993  0.32167832 0.32167832 0.33566434
 0.33566434 0.37062937 0.37062937 0.37762238 0.37762238 0.43356643
 0.43356643 0.46153846 0.46153846 0.4965035  0.4965035  0.5034965
 0.5034965  0.56643357 0.56643357 0.83916084 0.83916084 1.        ]","[0.         0.00333333 0.29       0.29       0.33       0.33
 0.34666667 0.34666667 0.36       0.36       0.4        0.4
 0.47       0.47       0.52333333 0.52333333 0.55666667 0.55666667
 0.56       0.56       0.58333333 0.58333333 0.60333333 0.60333333
 0.62666667 0.62666667 0.63333333 0.63333333 0.7        0.7
 0.70666667 0.70666667 0.74333333 0.74333333 0.78666667 0.78666667
 0.81666667 0.81666667 0.84666667 0.84666667 0.85333333 0.85333333
 0.86       0.86       0.88333333 0.88333333 0.89       0.89
 0.90333333 0.90333333 0.91       0.91       0.91333333 0.91333333
 0.92       0.92       0.92333333 0.92333333 0.94333333 0.94333333
 0.95       0.95       0.96333333 0.96333333 0.97       0.97
 0.97333333 0.97333333 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.9148018648018648,0.008902549743652344,0.4019899368286133,0.06917309761047363,6551,797,36,2.8128283380453312e-08,1.2476463004035048e-06,1.78862277206435e-07
0.8284424379232506,0.8827160493827161,0.3987591768222689,"[0.         0.00704225 0.00704225 0.01408451 0.01408451 0.02112676
 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127 0.04225352
 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.20422535
 0.20422535 0.21126761 0.21126761 0.21830986 0.21830986 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.24647887
 0.24647887 0.26056338 0.26056338 0.26760563 0.26760563 0.27464789
 0.27464789 0.28873239 0.28873239 0.30985915 0.30985915 0.32394366
 0.32394366 0.33098592 0.33098592 0.33802817 0.33802817 0.34507042
 0.34507042 0.35211268 0.35211268 0.35915493 0.35915493 0.36619718
 0.3943662  0.3943662  0.4084507  0.4084507  0.42957746 0.42957746
 0.44366197 0.44366197 0.45070423 0.45070423 0.45774648 0.45774648
 0.46478873 0.46478873 0.47183099 0.47183099 0.48591549 0.48591549
 0.55633803 0.55633803 0.61971831 0.61971831 0.75352113 0.75352113
 1.        ]","[0.         0.         0.00664452 0.00664452 0.04983389 0.04983389
 0.05315615 0.05315615 0.10299003 0.10299003 0.13953488 0.13953488
 0.27574751 0.27574751 0.29568106 0.29568106 0.42857143 0.42857143
 0.44518272 0.44518272 0.48837209 0.48837209 0.62458472 0.62458472
 0.62790698 0.62790698 0.64451827 0.64451827 0.65116279 0.65116279
 0.67109635 0.67109635 0.72093023 0.72093023 0.72425249 0.72425249
 0.73421927 0.73421927 0.75415282 0.75415282 0.7641196  0.7641196
 0.78737542 0.78737542 0.79069767 0.79069767 0.80730897 0.80730897
 0.81063123 0.81063123 0.81395349 0.81395349 0.81727575 0.81727575
 0.83056478 0.83056478 0.8372093  0.8372093  0.86046512 0.86046512
 0.86378738 0.86378738 0.86710963 0.86710963 0.87043189 0.87043189
 0.87375415 0.87375415 0.88372093 0.88372093 0.89368771 0.89368771
 0.89700997 0.89700997 0.90033223 0.90033223 0.910299   0.910299
 0.91362126 0.91362126 0.91694352 0.91694352 0.92026578 0.92026578
 0.93023256 0.93023256 0.93355482 0.93355482 0.93687708 0.93687708
 0.94352159 0.94684385 0.94684385 0.95016611 0.95016611 0.96677741
 0.96677741 0.97009967 0.97009967 0.97342193 0.97342193 0.97674419
 0.97674419 0.9833887  0.9833887  0.98671096 0.98671096 0.99003322
 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774 1.
 1.        ]",0.8820598006644519,0.010233879089355469,0.4197413921356201,0.05790090560913086,6551,796,36,3.141990552988933e-08,1.20741796135501e-06,1.547074477548224e-07
0.8555304740406321,0.9003115264797509,0.4221513261667259,"[0.         0.         0.         0.         0.00704225 0.00704225
 0.01408451 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901
 0.03521127 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577
 0.05633803 0.05633803 0.07042254 0.07042254 0.07746479 0.07746479
 0.08450704 0.08450704 0.0915493  0.0915493  0.1056338  0.1056338
 0.11267606 0.11267606 0.11971831 0.11971831 0.12676056 0.12676056
 0.13380282 0.13380282 0.14084507 0.14084507 0.15492958 0.15492958
 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634 0.17605634
 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831  0.1971831
 0.20422535 0.20422535 0.21126761 0.21126761 0.21830986 0.21830986
 0.23239437 0.23239437 0.24647887 0.24647887 0.26056338 0.26056338
 0.27464789 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239
 0.29577465 0.29577465 0.3028169  0.3028169  0.31690141 0.31690141
 0.32394366 0.32394366 0.33098592 0.33098592 0.33802817 0.33802817
 0.35211268 0.35211268 0.36619718 0.36619718 0.37323944 0.37323944
 0.38732394 0.38732394 0.40140845 0.40140845 0.4084507  0.4084507
 0.42957746 0.42957746 0.43661972 0.43661972 0.47887324 0.47887324
 0.48591549 0.48591549 0.49295775 0.49295775 1.        ]","[0.         0.00332226 0.00996678 0.03654485 0.03654485 0.07973422
 0.07973422 0.08637874 0.08637874 0.10963455 0.10963455 0.13953488
 0.13953488 0.14950166 0.14950166 0.20598007 0.20598007 0.20930233
 0.20930233 0.22591362 0.22591362 0.27574751 0.27574751 0.30564784
 0.30564784 0.31229236 0.31229236 0.32225914 0.32225914 0.37541528
 0.37541528 0.39202658 0.39202658 0.43189369 0.43189369 0.4551495
 0.4551495  0.46843854 0.46843854 0.4717608  0.4717608  0.66112957
 0.66112957 0.73754153 0.73754153 0.74418605 0.74418605 0.77408638
 0.77408638 0.78737542 0.78737542 0.80398671 0.80398671 0.82392027
 0.82392027 0.82724252 0.82724252 0.83056478 0.83056478 0.83388704
 0.83388704 0.84053156 0.84053156 0.84385382 0.84385382 0.85714286
 0.85714286 0.86710963 0.86710963 0.87375415 0.87375415 0.88039867
 0.88039867 0.90697674 0.90697674 0.92026578 0.92026578 0.9269103
 0.9269103  0.93023256 0.93023256 0.93355482 0.93355482 0.94684385
 0.94684385 0.95016611 0.95016611 0.96013289 0.96013289 0.97009967
 0.97009967 0.97674419 0.97674419 0.98006645 0.98006645 0.9833887
 0.9833887  0.98671096 0.98671096 0.99003322 0.99003322 0.99335548
 0.99335548 0.99667774 0.99667774 1.         1.        ]",0.8554115390014505,0.014230728149414062,0.39525341987609863,0.04913783073425293,6551,796,36,3.1200161791601275e-08,1.2068517241356795e-06,1.5825697341877512e-07
0.8758465011286681,0.9125596184419714,0.31897060774957836,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.11971831 0.11971831 0.12676056 0.12676056 0.14084507
 0.14084507 0.14788732 0.14788732 0.15492958 0.15492958 0.16197183
 0.16197183 0.16901408 0.16901408 0.1971831  0.1971831  0.21830986
 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437 0.26056338
 0.26056338 0.28873239 0.28873239 0.29577465 0.29577465 0.30985915
 0.30985915 0.37323944 0.37323944 0.38732394 0.38732394 0.41549296
 0.41549296 0.44366197 0.44366197 0.47183099 0.47183099 0.49295775
 0.49295775 0.55633803 0.55633803 0.61267606 0.61267606 0.95070423
 0.95070423 1.        ]","[0.         0.00332226 0.14950166 0.14950166 0.25913621 0.25913621
 0.27906977 0.27906977 0.55149502 0.55149502 0.60465116 0.60465116
 0.63122924 0.63122924 0.66112957 0.66112957 0.75747508 0.75747508
 0.76079734 0.76079734 0.77740864 0.77740864 0.7807309  0.7807309
 0.81063123 0.81063123 0.82059801 0.82059801 0.82724252 0.82724252
 0.8372093  0.8372093  0.86378738 0.86378738 0.87043189 0.87043189
 0.87375415 0.87375415 0.89036545 0.89036545 0.89368771 0.89368771
 0.90365449 0.90365449 0.90697674 0.90697674 0.91362126 0.91362126
 0.9269103  0.9269103  0.93687708 0.93687708 0.94684385 0.94684385
 0.95348837 0.95348837 0.95681063 0.95681063 0.96013289 0.96013289
 0.96345515 0.96345515 0.97009967 0.97009967 0.97342193 0.97342193
 0.97674419 0.97674419 0.9833887  0.9833887  0.98671096 0.98671096
 0.99003322 0.99003322 0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.9370642459407609,0.012092828750610352,0.41128993034362793,0.0548853874206543,6551,796,36,5.697240064623816e-08,1.129351210553799e-06,1.598511472557674e-07
0.7828054298642534,0.8327526132404182,0.48811890227129345,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.06338028
 0.06338028 0.07042254 0.07042254 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.11267606 0.11267606 0.11971831
 0.11971831 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.19014085 0.19014085 0.1971831  0.1971831  0.20422535
 0.20422535 0.21126761 0.21126761 0.21830986 0.21830986 0.23239437
 0.23239437 0.23943662 0.23943662 0.24647887 0.24647887 0.25352113
 0.25352113 0.26056338 0.26056338 0.26760563 0.26760563 0.27464789
 0.27464789 0.28169014 0.28169014 0.3028169  0.3028169  0.30985915
 0.30985915 0.33098592 0.33098592 0.34507042 0.34507042 0.35915493
 0.35915493 0.37323944 0.37323944 0.38028169 0.38028169 0.40140845
 0.40140845 0.41549296 0.41549296 0.42253521 0.42253521 0.43661972
 0.43661972 0.45070423 0.45070423 0.46478873 0.46478873 0.47183099
 0.47183099 0.48591549 0.48591549 0.51408451 0.51408451 0.52112676
 0.52112676 0.53521127 0.53521127 0.56338028 0.56338028 0.57042254
 0.57042254 0.57746479 0.57746479 0.58450704 0.58450704 0.62676056
 0.62676056 0.80985915 0.80985915 0.83802817 0.83802817 0.84507042
 0.84507042 0.85211268 0.85211268 1.        ]","[0.         0.00333333 0.12333333 0.12333333 0.17       0.17
 0.22333333 0.22333333 0.27333333 0.27333333 0.40333333 0.40333333
 0.45       0.45       0.48       0.48       0.55333333 0.55333333
 0.57666667 0.57666667 0.62       0.62       0.63333333 0.63333333
 0.63666667 0.63666667 0.64       0.64       0.65       0.65
 0.66333333 0.66333333 0.67       0.67       0.67333333 0.67333333
 0.68       0.68       0.70333333 0.70333333 0.71333333 0.71333333
 0.72333333 0.72333333 0.74       0.74       0.74333333 0.74333333
 0.75       0.75       0.76333333 0.76333333 0.76666667 0.76666667
 0.78       0.78       0.78666667 0.78666667 0.80333333 0.80333333
 0.80666667 0.80666667 0.82333333 0.82333333 0.82666667 0.82666667
 0.84       0.84       0.84666667 0.84666667 0.85333333 0.85333333
 0.86333333 0.86333333 0.87666667 0.87666667 0.88333333 0.88333333
 0.88666667 0.88666667 0.9        0.9        0.91       0.91
 0.91333333 0.91333333 0.91666667 0.91666667 0.92       0.92
 0.92333333 0.92333333 0.93       0.93       0.94       0.94
 0.94666667 0.94666667 0.95       0.95       0.96       0.96
 0.96333333 0.96333333 0.96666667 0.96666667 0.97       0.97
 0.97333333 0.97333333 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.8686384976525822,0.031606197357177734,0.40970611572265625,0.0677337646484375,6551,797,36,8.385737601047157e-08,1.1560890181227211e-06,1.561714087631224e-07
0.8484162895927602,0.8964451313755796,0.38671835817752004,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.21830986 0.21830986 0.23943662
 0.23943662 0.24647887 0.24647887 0.25352113 0.25352113 0.26056338
 0.26056338 0.27464789 0.27464789 0.28169014 0.28169014 0.28873239
 0.28873239 0.29577465 0.29577465 0.3028169  0.3028169  0.32394366
 0.32394366 0.34507042 0.34507042 0.35211268 0.35211268 0.35915493
 0.35915493 0.36619718 0.36619718 0.3943662  0.3943662  0.42957746
 0.42957746 0.46478873 0.46478873 0.48591549 0.48591549 0.52112676
 0.52112676 0.53521127 0.53521127 0.57042254 0.57042254 0.64084507
 0.64084507 0.71830986 0.71830986 0.78873239 0.78873239 0.81690141
 0.81690141 1.        ]","[0.         0.00333333 0.01       0.01       0.07666667 0.07666667
 0.21       0.21       0.22333333 0.22333333 0.38       0.38
 0.39666667 0.39666667 0.4        0.4        0.41666667 0.41666667
 0.47333333 0.47333333 0.50666667 0.50666667 0.51       0.51
 0.62333333 0.62333333 0.62666667 0.62666667 0.63333333 0.63333333
 0.65666667 0.65666667 0.67666667 0.67666667 0.68666667 0.68666667
 0.69       0.69       0.75333333 0.75333333 0.77333333 0.77333333
 0.79       0.79       0.80666667 0.80666667 0.83       0.83
 0.84       0.84       0.85       0.85       0.85333333 0.85333333
 0.85666667 0.85666667 0.88       0.88       0.88333333 0.88333333
 0.89333333 0.89333333 0.90333333 0.90333333 0.91333333 0.91333333
 0.93       0.93       0.93333333 0.93333333 0.94       0.94
 0.94333333 0.94333333 0.95       0.95       0.95666667 0.95666667
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8925821596244131,0.04259753227233887,0.44617390632629395,0.053450822830200195,6551,797,36,9.689738947793371e-08,1.2136206341630028e-06,1.6809609324332318e-07
0.834841628959276,0.8801313628899835,0.42333218989731314,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07746479 0.07746479 0.0915493
 0.0915493  0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.13380282 0.13380282 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437 0.23943662
 0.23943662 0.24647887 0.24647887 0.25352113 0.25352113 0.26056338
 0.26056338 0.26760563 0.26760563 0.28169014 0.28169014 0.28873239
 0.28873239 0.30985915 0.30985915 0.33802817 0.33802817 0.34507042
 0.34507042 0.35915493 0.35915493 0.36619718 0.36619718 0.37323944
 0.37323944 0.38732394 0.38732394 0.4084507  0.4084507  0.41549296
 0.41549296 0.42957746 0.42957746 0.47887324 0.47887324 0.49295775
 0.49295775 0.52112676 0.52112676 0.59859155 0.59859155 0.61971831
 0.61971831 0.66197183 0.66197183 0.69014085 0.69014085 0.71830986
 0.71830986 0.77464789 0.77464789 1.        ]","[0.         0.00333333 0.06666667 0.06666667 0.08666667 0.08666667
 0.18666667 0.18666667 0.21       0.21       0.25666667 0.25666667
 0.29       0.29       0.31       0.31       0.37       0.37
 0.42333333 0.42333333 0.45333333 0.45333333 0.47       0.47
 0.57666667 0.57666667 0.59333333 0.59333333 0.6        0.6
 0.60666667 0.60666667 0.62333333 0.62333333 0.65       0.65
 0.67666667 0.67666667 0.69333333 0.69333333 0.70333333 0.70333333
 0.70666667 0.70666667 0.71333333 0.71333333 0.71666667 0.71666667
 0.75333333 0.75333333 0.77666667 0.77666667 0.78       0.78
 0.79       0.79       0.8        0.8        0.81666667 0.81666667
 0.85666667 0.85666667 0.86       0.86       0.87       0.87
 0.88       0.88       0.88666667 0.88666667 0.89333333 0.89333333
 0.90666667 0.90666667 0.91       0.91       0.91666667 0.91666667
 0.93666667 0.93666667 0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95333333 0.95333333 0.95666667 0.95666667
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97333333 0.97333333 0.97666667 0.97666667 0.98       0.98
 0.98333333 0.98333333 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.8683098591549294,0.024701833724975586,0.39401865005493164,0.052158355712890625,6551,797,36,5.276819332997087e-08,1.2133008056222899e-06,1.452213724734185e-07
0.8371040723981901,0.8902439024390245,0.39538643949859,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.15492958 0.15492958 0.16901408
 0.16901408 0.18309859 0.18309859 0.1971831  0.1971831  0.20422535
 0.20422535 0.21830986 0.21830986 0.22535211 0.22535211 0.23943662
 0.23943662 0.24647887 0.24647887 0.28169014 0.28169014 0.28873239
 0.28873239 0.29577465 0.29577465 0.3028169  0.3028169  0.30985915
 0.30985915 0.31690141 0.31690141 0.32394366 0.32394366 0.37323944
 0.37323944 0.3943662  0.3943662  0.4084507  0.4084507  0.41549296
 0.41549296 0.42253521 0.42253521 0.51408451 0.51408451 0.52816901
 0.52816901 0.58450704 0.58450704 0.5915493  0.5915493  0.59859155
 0.59859155 0.82394366 0.82394366 0.83098592 0.83098592 1.        ]","[0.         0.00333333 0.09666667 0.09666667 0.18333333 0.18333333
 0.25666667 0.25666667 0.26       0.26       0.27666667 0.27666667
 0.29       0.29       0.31333333 0.31333333 0.33666667 0.33666667
 0.39       0.39       0.41       0.41       0.44666667 0.44666667
 0.47       0.47       0.49666667 0.49666667 0.52       0.52
 0.60333333 0.60333333 0.62666667 0.62666667 0.65666667 0.65666667
 0.66333333 0.66333333 0.69666667 0.69666667 0.71       0.71
 0.73333333 0.73333333 0.75666667 0.75666667 0.76333333 0.76333333
 0.76666667 0.76666667 0.78       0.78       0.80666667 0.80666667
 0.81333333 0.81333333 0.83666667 0.83666667 0.85333333 0.85333333
 0.86333333 0.86333333 0.87666667 0.87666667 0.90666667 0.90666667
 0.91333333 0.91333333 0.91666667 0.91666667 0.92       0.92
 0.93333333 0.93333333 0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95333333 0.95333333 0.95666667 0.95666667
 0.96       0.96       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.8808215962441315,0.013466119766235352,0.4140636920928955,0.07965493202209473,6551,797,36,7.563594889401122e-08,1.1554303383151925e-06,2.0583044242996652e-07
0.8574660633484162,0.8968903436988543,0.390705695316644,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507
 0.14084507 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.24647887 0.24647887 0.26056338
 0.26056338 0.27464789 0.27464789 0.28873239 0.28873239 0.3028169
 0.3028169  0.33098592 0.33098592 0.35211268 0.35211268 0.37323944
 0.37323944 0.38732394 0.38732394 0.42253521 0.42253521 0.50704225
 0.50704225 0.52816901 0.52816901 0.53521127 0.53521127 0.54929577
 0.54929577 0.55633803 0.55633803 0.66197183 0.66197183 0.66901408
 0.66901408 0.76760563 0.76760563 0.84507042 0.84507042 0.88732394
 0.88732394 1.        ]","[0.         0.00333333 0.05       0.05       0.07333333 0.07333333
 0.22       0.22       0.22333333 0.22333333 0.25333333 0.25333333
 0.27       0.27       0.37333333 0.37333333 0.37666667 0.37666667
 0.41333333 0.41333333 0.43333333 0.43333333 0.53666667 0.53666667
 0.55       0.55       0.55666667 0.55666667 0.63333333 0.63333333
 0.64       0.64       0.64666667 0.64666667 0.65       0.65
 0.68666667 0.68666667 0.69666667 0.69666667 0.71       0.71
 0.71333333 0.71333333 0.73666667 0.73666667 0.75       0.75
 0.75666667 0.75666667 0.77       0.77       0.78666667 0.78666667
 0.84666667 0.84666667 0.86333333 0.86333333 0.87       0.87
 0.88666667 0.88666667 0.89666667 0.89666667 0.90333333 0.90333333
 0.91666667 0.91666667 0.92333333 0.92333333 0.93333333 0.93333333
 0.93666667 0.93666667 0.94333333 0.94333333 0.94666667 0.94666667
 0.95       0.95       0.95666667 0.95666667 0.96       0.96
 0.96666667 0.96666667 0.97       0.97       0.97333333 0.97333333
 0.97666667 0.97666667 0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8833333333333333,0.01092529296875,0.42545580863952637,0.049648284912109375,6551,797,36,4.383492866800488e-08,1.2824773561460586e-06,1.5330374798707292e-07
0.8438914027149321,0.8881685575364667,0.4674482913961706,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155
 0.09859155 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831
 0.11971831 0.13380282 0.13380282 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.17605634
 0.17605634 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.21830986
 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437 0.23943662
 0.23943662 0.25352113 0.25352113 0.26760563 0.26760563 0.27464789
 0.27464789 0.28169014 0.28169014 0.29577465 0.29577465 0.31690141
 0.31690141 0.34507042 0.34507042 0.35915493 0.35915493 0.38028169
 0.38028169 0.38732394 0.38732394 0.3943662  0.3943662  0.40140845
 0.40140845 0.45070423 0.45070423 0.47887324 0.47887324 0.50704225
 0.50704225 0.54225352 0.54225352 0.56338028 0.56338028 0.61267606
 0.61267606 0.82394366 0.82394366 0.94366197 0.94366197 1.        ]","[0.         0.00333333 0.04333333 0.04333333 0.09333333 0.09333333
 0.10666667 0.10666667 0.36666667 0.36666667 0.37333333 0.37333333
 0.39       0.39       0.41333333 0.41333333 0.43333333 0.43333333
 0.44       0.44       0.45       0.45       0.45333333 0.45333333
 0.46       0.46       0.46666667 0.46666667 0.49666667 0.49666667
 0.5        0.5        0.59333333 0.59333333 0.63666667 0.63666667
 0.67       0.67       0.68666667 0.68666667 0.71       0.71
 0.73       0.73       0.75333333 0.75333333 0.79666667 0.79666667
 0.81       0.81       0.82666667 0.82666667 0.83333333 0.83333333
 0.84       0.84       0.85333333 0.85333333 0.85666667 0.85666667
 0.86333333 0.86333333 0.87       0.87       0.87666667 0.87666667
 0.88       0.88       0.88333333 0.88333333 0.88666667 0.88666667
 0.90333333 0.90333333 0.90666667 0.90666667 0.91333333 0.91333333
 0.92333333 0.92333333 0.92666667 0.92666667 0.93333333 0.93333333
 0.94333333 0.94333333 0.95       0.95       0.96333333 0.96333333
 0.96666667 0.96666667 0.97333333 0.97333333 0.98       0.98
 0.98333333 0.98333333 0.98666667 0.98666667 0.99       0.99
 0.99333333 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.8820657276995305,0.013494253158569336,0.40966248512268066,0.06500363349914551,6551,797,36,5.798093082997474e-08,1.146991560663376e-06,1.849664036276651e-07
