accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.6704288939051919,0.7896253602305475,0.6227964986270638,"[0.         0.02097902 0.02797203 0.04195804 0.04895105 0.04895105
 0.05594406 0.07692308 0.08391608 0.1048951  0.14685315 0.15384615
 0.15384615 0.15384615 0.16783217 0.16783217 0.18881119 0.1958042
 0.20979021 0.21678322 0.21678322 0.23076923 0.23776224 0.23776224
 0.25174825 0.25174825 0.25874126 0.27972028 0.27972028 0.28671329
 0.28671329 0.31468531 0.34965035 0.37062937 0.37762238 0.38461538
 0.38461538 0.38461538 0.3986014  0.40559441 0.40559441 0.40559441
 0.41958042 0.42657343 0.45454545 0.48951049 0.51048951 0.53846154
 0.56643357 0.56643357 0.57342657 0.58741259 0.61538462 0.62237762
 0.62937063 0.62937063 0.63636364 0.63636364 0.65034965 0.65734266
 0.75524476 0.75524476 0.76923077 0.76923077 0.77622378 0.7972028
 0.8041958  0.81118881 0.81118881 0.82517483 0.82517483 0.83916084
 0.83916084 0.84615385 0.85314685 0.85314685 0.86013986 0.86013986
 0.86713287 0.88811189 0.9020979  0.91608392 0.92307692 0.92307692
 0.93706294 0.94405594 0.95804196 0.96503497 0.98601399 1.        ]","[0.         0.01       0.03       0.05333333 0.06333333 0.07666667
 0.09666667 0.12       0.12333333 0.14       0.17333333 0.21666667
 0.22       0.22666667 0.26333333 0.29       0.35       0.35666667
 0.37666667 0.38       0.38666667 0.4        0.40333333 0.41666667
 0.42666667 0.43       0.43       0.43       0.43333333 0.43666667
 0.44       0.46333333 0.5        0.56       0.56333333 0.56333333
 0.58       0.58666667 0.59333333 0.6        0.61       0.61333333
 0.62333333 0.62333333 0.63666667 0.66666667 0.68666667 0.70666667
 0.73       0.73333333 0.73666667 0.74333333 0.76       0.76333333
 0.76333333 0.77333333 0.79666667 0.80666667 0.80666667 0.81666667
 0.84333333 0.84666667 0.85       0.85666667 0.85666667 0.85666667
 0.85666667 0.86333333 0.87333333 0.88       0.88333333 0.90333333
 0.91333333 0.91666667 0.91666667 0.92       0.92666667 0.93
 0.93       0.94333333 0.95666667 0.96333333 0.96333333 0.97
 0.97666667 0.97666667 0.99       0.99333333 1.         1.        ]",0.6117715617715618,0.0257110595703125,0.10053110122680664,0.003650188446044922,3741,797,1,1.0746615715376208e-07,4.131258755116988e-07,5.763413016691803e-09
0.6704288939051919,0.784660766961652,0.6116709795758716,"[0.         0.01408451 0.01408451 0.04929577 0.04929577 0.04929577
 0.05633803 0.07042254 0.08450704 0.09859155 0.1056338  0.11267606
 0.12676056 0.15492958 0.16197183 0.16901408 0.19014085 0.1971831
 0.1971831  0.20422535 0.22535211 0.22535211 0.22535211 0.23943662
 0.23943662 0.23943662 0.27464789 0.28169014 0.28169014 0.28169014
 0.3028169  0.31690141 0.31690141 0.33098592 0.33098592 0.33802817
 0.33802817 0.34507042 0.35211268 0.37323944 0.40140845 0.42957746
 0.42957746 0.44366197 0.44366197 0.45070423 0.47887324 0.47887324
 0.49295775 0.51408451 0.53521127 0.53521127 0.54225352 0.54929577
 0.54929577 0.56338028 0.57042254 0.58450704 0.6056338  0.6056338
 0.6056338  0.63380282 0.64084507 0.64788732 0.72535211 0.73239437
 0.73239437 0.76056338 0.76760563 0.78169014 0.79577465 0.79577465
 0.8028169  0.80985915 0.80985915 0.80985915 0.82394366 0.83098592
 0.83098592 0.85211268 0.85915493 0.85915493 0.86619718 0.88028169
 0.88028169 0.88028169 0.90140845 0.91549296 0.95070423 0.95774648
 0.97887324 0.99295775 1.        ]","[0.         0.01328904 0.02325581 0.06312292 0.08637874 0.10631229
 0.11960133 0.14285714 0.21262458 0.22923588 0.24252492 0.24584718
 0.28239203 0.28903654 0.29900332 0.29900332 0.30564784 0.32225914
 0.33222591 0.33222591 0.33554817 0.35548173 0.36212625 0.36212625
 0.36877076 0.37873754 0.42857143 0.47840532 0.48172757 0.49501661
 0.54817276 0.55481728 0.56146179 0.56146179 0.56810631 0.56810631
 0.57475083 0.59136213 0.60465116 0.6179402  0.64451827 0.66445183
 0.66777409 0.67109635 0.67774086 0.68438538 0.72093023 0.73089701
 0.73754153 0.74418605 0.75415282 0.76079734 0.76744186 0.7807309
 0.78737542 0.79401993 0.79401993 0.79734219 0.80398671 0.80730897
 0.81727575 0.82724252 0.8372093  0.84053156 0.85714286 0.85714286
 0.86046512 0.86046512 0.86046512 0.88372093 0.88704319 0.89036545
 0.89700997 0.89700997 0.90033223 0.910299   0.91694352 0.93687708
 0.94019934 0.94019934 0.94352159 0.95016611 0.95016611 0.95681063
 0.96013289 0.96677741 0.97009967 0.97342193 0.98006645 0.98671096
 0.98671096 0.99335548 1.        ]",0.6470333629685088,0.04470372200012207,0.11982250213623047,0.004690408706665039,3741,796,1,1.4482179906002654e-07,3.7762103901895763e-07,5.935375116904434e-09
0.6410835214446953,0.7623318385650224,0.6469140605403941,"[0.         0.01408451 0.02816901 0.04929577 0.06338028 0.07042254
 0.07746479 0.07746479 0.08450704 0.09859155 0.09859155 0.1056338
 0.12676056 0.13380282 0.15492958 0.1971831  0.20422535 0.21126761
 0.21830986 0.21830986 0.21830986 0.22535211 0.23943662 0.23943662
 0.23943662 0.26056338 0.27464789 0.3028169  0.30985915 0.31690141
 0.32394366 0.33098592 0.33098592 0.33802817 0.33802817 0.34507042
 0.35211268 0.35211268 0.35915493 0.36619718 0.38732394 0.50704225
 0.50704225 0.54225352 0.54225352 0.54225352 0.54225352 0.55633803
 0.55633803 0.56338028 0.58450704 0.5915493  0.5915493  0.6056338
 0.6056338  0.62676056 0.69014085 0.69014085 0.72535211 0.73239437
 0.74647887 0.74647887 0.75352113 0.76056338 0.78169014 0.78169014
 0.78873239 0.78873239 0.79577465 0.79577465 0.8028169  0.83802817
 0.83802817 0.83802817 0.84507042 0.84507042 0.85211268 0.85915493
 0.86619718 0.88732394 0.9084507  0.92253521 0.92253521 0.93661972
 0.95774648 0.97887324 1.         1.         1.        ]","[0.         0.03654485 0.04983389 0.09966777 0.10299003 0.11960133
 0.1627907  0.17275748 0.17607973 0.19269103 0.20598007 0.2192691
 0.24584718 0.24916944 0.26245847 0.28571429 0.28903654 0.31561462
 0.3255814  0.33887043 0.34219269 0.34883721 0.36212625 0.36877076
 0.42192691 0.43853821 0.44186047 0.46843854 0.47840532 0.48504983
 0.49501661 0.49833887 0.50830565 0.51162791 0.51827243 0.51827243
 0.52159468 0.5282392  0.55149502 0.55149502 0.58471761 0.65116279
 0.66445183 0.67109635 0.6744186  0.68106312 0.6910299  0.6910299
 0.70431894 0.71096346 0.72093023 0.72757475 0.73089701 0.74418605
 0.75083056 0.7641196  0.79069767 0.79734219 0.80730897 0.80730897
 0.80730897 0.81727575 0.82059801 0.82059801 0.82059801 0.82392027
 0.82724252 0.8372093  0.84053156 0.84717608 0.8538206  0.86378738
 0.89036545 0.89368771 0.89368771 0.90365449 0.90365449 0.91362126
 0.91362126 0.92026578 0.92026578 0.94019934 0.94684385 0.96013289
 0.97009967 0.9833887  0.98671096 0.99003322 1.        ]",0.6037504094333442,0.060123443603515625,0.10513448715209961,0.0031893253326416016,3741,796,1,1.6272202192367025e-07,3.2000960416164693e-07,4.548132070204868e-09
0.6772009029345373,0.7906295754026355,0.5948912007333124,"[0.         0.         0.         0.00704225 0.00704225 0.00704225
 0.02112676 0.02112676 0.04225352 0.04225352 0.04225352 0.04929577
 0.04929577 0.04929577 0.04929577 0.05633803 0.06338028 0.08450704
 0.0915493  0.1056338  0.12676056 0.12676056 0.12676056 0.14788732
 0.15492958 0.16901408 0.19014085 0.19014085 0.22535211 0.23239437
 0.24647887 0.25352113 0.25352113 0.26760563 0.26760563 0.26760563
 0.28169014 0.28169014 0.28169014 0.3028169  0.33802817 0.37323944
 0.38732394 0.38732394 0.38732394 0.38732394 0.3943662  0.42253521
 0.42253521 0.42957746 0.44366197 0.45774648 0.55633803 0.56338028
 0.57042254 0.57746479 0.6056338  0.6056338  0.6056338  0.61267606
 0.61267606 0.62676056 0.62676056 0.63380282 0.64084507 0.64084507
 0.64788732 0.64788732 0.66197183 0.66197183 0.66197183 0.67605634
 0.68309859 0.68309859 0.6971831  0.70422535 0.70422535 0.72535211
 0.73239437 0.74647887 0.76056338 0.78873239 0.78873239 0.78873239
 0.79577465 0.8028169  0.85211268 0.85915493 0.86619718 0.88028169
 0.88028169 0.8943662  0.90140845 0.90140845 0.9084507  0.92253521
 0.92253521 0.92957746 0.92957746 0.94366197 0.95070423 0.97183099
 0.97887324 0.99295775 0.99295775 1.        ]","[0.         0.03322259 0.06976744 0.12624585 0.17607973 0.20598007
 0.2358804  0.24252492 0.25581395 0.26245847 0.27906977 0.28571429
 0.29900332 0.30564784 0.31561462 0.33222591 0.33887043 0.34551495
 0.35548173 0.35548173 0.36212625 0.37209302 0.38870432 0.3986711
 0.40531561 0.40531561 0.40863787 0.41528239 0.44850498 0.4551495
 0.46843854 0.47508306 0.48504983 0.48837209 0.49169435 0.49833887
 0.51495017 0.53488372 0.53820598 0.53820598 0.56810631 0.57475083
 0.59800664 0.60465116 0.60797342 0.62458472 0.62790698 0.63122924
 0.6345515  0.64451827 0.65116279 0.65116279 0.74418605 0.75083056
 0.76744186 0.76744186 0.76744186 0.77076412 0.77740864 0.78737542
 0.79401993 0.79734219 0.80398671 0.80398671 0.80730897 0.81063123
 0.81063123 0.81727575 0.82724252 0.8372093  0.84053156 0.86046512
 0.86046512 0.86378738 0.86378738 0.86710963 0.87043189 0.87375415
 0.88704319 0.88704319 0.89368771 0.89368771 0.89700997 0.90365449
 0.91362126 0.91362126 0.91694352 0.92358804 0.9269103  0.9269103
 0.93023256 0.93355482 0.93687708 0.94019934 0.94352159 0.94684385
 0.96013289 0.96013289 0.96345515 0.96345515 0.96345515 0.96345515
 0.96677741 0.97009967 0.97342193 1.        ]",0.6712250245660005,0.042339324951171875,0.0860590934753418,0.005591630935668945,3741,796,1,1.3664055529381152e-07,2.7315071503622446e-07,7.337243905790368e-09
0.6199095022624435,0.75,0.6598677982881825,"[0.         0.02816901 0.02816901 0.02816901 0.03521127 0.04929577
 0.05633803 0.05633803 0.06338028 0.07042254 0.08450704 0.0915493
 0.0915493  0.0915493  0.11267606 0.13380282 0.15492958 0.16901408
 0.16901408 0.18309859 0.1971831  0.20422535 0.21830986 0.23239437
 0.23239437 0.23943662 0.23943662 0.23943662 0.25352113 0.26760563
 0.28873239 0.28873239 0.31690141 0.31690141 0.35915493 0.38028169
 0.38028169 0.40140845 0.40140845 0.4084507  0.41549296 0.42957746
 0.44366197 0.44366197 0.45070423 0.47183099 0.47887324 0.5
 0.50704225 0.50704225 0.52112676 0.52816901 0.54225352 0.54225352
 0.54225352 0.54929577 0.54929577 0.54929577 0.57042254 0.57746479
 0.58450704 0.59859155 0.6056338  0.6056338  0.62676056 0.64788732
 0.66197183 0.68309859 0.68309859 0.70422535 0.71126761 0.71126761
 0.71126761 0.71830986 0.71830986 0.75352113 0.76760563 0.77464789
 0.80985915 0.83098592 0.83802817 0.83802817 0.84507042 0.84507042
 0.85211268 0.87323944 0.88028169 0.9084507  0.91549296 0.91549296
 0.93661972 0.95070423 0.95070423 0.95070423 0.95774648 0.96478873
 0.97887324 0.97887324 0.97887324 0.98591549 0.98591549 0.98591549
 1.         1.         1.        ]","[0.         0.00666667 0.05       0.08666667 0.09666667 0.13
 0.14333333 0.17       0.19       0.2        0.23666667 0.24666667
 0.26666667 0.28       0.28       0.28333333 0.30333333 0.30666667
 0.31       0.33333333 0.34333333 0.36       0.37333333 0.37666667
 0.38333333 0.38666667 0.39       0.4        0.40666667 0.42666667
 0.44       0.45333333 0.47666667 0.48666667 0.5        0.50333333
 0.50666667 0.51       0.52       0.52       0.53333333 0.53666667
 0.54333333 0.54666667 0.54666667 0.57333333 0.57333333 0.57666667
 0.58333333 0.59       0.60666667 0.60666667 0.61333333 0.62
 0.62666667 0.62666667 0.63333333 0.63666667 0.65333333 0.66333333
 0.66333333 0.66333333 0.66333333 0.66666667 0.68       0.70666667
 0.70666667 0.71666667 0.72666667 0.74       0.74       0.74333333
 0.75333333 0.75666667 0.76666667 0.78666667 0.78666667 0.79
 0.79666667 0.81666667 0.82666667 0.83333333 0.84       0.84333333
 0.85333333 0.86333333 0.88       0.88666667 0.88666667 0.89
 0.89       0.9        0.91333333 0.92       0.92333333 0.93
 0.95666667 0.96       0.96666667 0.97666667 0.98       0.98666667
 0.99       0.99666667 1.        ]",0.5754694835680751,0.05526304244995117,0.1231081485748291,0.004877567291259766,3741,797,1,1.4776387031602387e-07,3.214919809122125e-07,8.110033824598696e-09
0.6719457013574661,0.777947932618683,0.6143454654866748,"[0.         0.01408451 0.02816901 0.04225352 0.04225352 0.04929577
 0.04929577 0.04929577 0.07042254 0.07746479 0.0915493  0.0915493
 0.0915493  0.09859155 0.11267606 0.13380282 0.14788732 0.16197183
 0.17605634 0.19014085 0.21126761 0.21830986 0.22535211 0.23239437
 0.23239437 0.23943662 0.25352113 0.26056338 0.28169014 0.28169014
 0.28873239 0.29577465 0.3028169  0.3028169  0.30985915 0.32394366
 0.33098592 0.35211268 0.35211268 0.35915493 0.40140845 0.40140845
 0.42253521 0.42253521 0.43661972 0.45774648 0.47183099 0.48591549
 0.50704225 0.50704225 0.51408451 0.51408451 0.52112676 0.52112676
 0.53521127 0.55633803 0.55633803 0.58450704 0.58450704 0.5915493
 0.59859155 0.61267606 0.61971831 0.64788732 0.65492958 0.68309859
 0.68309859 0.69014085 0.69014085 0.69014085 0.6971831  0.70422535
 0.72535211 0.74647887 0.74647887 0.74647887 0.75352113 0.76760563
 0.77464789 0.78169014 0.8028169  0.82394366 0.82394366 0.83802817
 0.85211268 0.88028169 0.88028169 0.9084507  0.9084507  0.91549296
 0.91549296 0.91549296 0.92957746 0.92957746 0.94366197 0.94366197
 0.95070423 0.95774648 0.96478873 0.99295775 1.        ]","[0.         0.00333333 0.05666667 0.10333333 0.11333333 0.16666667
 0.17666667 0.19       0.2        0.21       0.25333333 0.26
 0.27333333 0.29       0.29       0.30666667 0.31333333 0.32666667
 0.32666667 0.33666667 0.37333333 0.38       0.38333333 0.39333333
 0.40333333 0.43666667 0.44       0.44333333 0.45333333 0.46
 0.46       0.47       0.48333333 0.49333333 0.50333333 0.53666667
 0.54333333 0.57666667 0.59       0.61       0.65666667 0.66666667
 0.67333333 0.68666667 0.68666667 0.71       0.72333333 0.72333333
 0.72333333 0.74666667 0.75       0.75333333 0.75333333 0.76
 0.76333333 0.78333333 0.78666667 0.78666667 0.8        0.8
 0.80333333 0.80333333 0.80333333 0.81333333 0.81333333 0.82
 0.82333333 0.82333333 0.83       0.84       0.84666667 0.84666667
 0.85333333 0.86333333 0.88333333 0.88666667 0.88666667 0.89
 0.89666667 0.89666667 0.9        0.90666667 0.91       0.91
 0.91666667 0.93       0.93333333 0.93333333 0.93666667 0.93666667
 0.94       0.95       0.96333333 0.97333333 0.97333333 0.97666667
 0.97666667 0.98333333 0.99333333 0.99666667 1.        ]",0.6509859154929577,0.04184746742248535,0.11763215065002441,0.0037560462951660156,3741,797,1,1.4851667812638926e-07,3.208628591585237e-07,6.079174860149127e-09
0.6628959276018099,0.7812041116005874,0.6450750165550714,"[0.         0.02112676 0.03521127 0.04225352 0.04225352 0.08450704
 0.08450704 0.09859155 0.11267606 0.12676056 0.13380282 0.18309859
 0.1971831  0.1971831  0.21126761 0.21126761 0.23943662 0.25352113
 0.26056338 0.27464789 0.27464789 0.28169014 0.28873239 0.28873239
 0.29577465 0.3028169  0.30985915 0.32394366 0.33098592 0.33802817
 0.34507042 0.34507042 0.35915493 0.36619718 0.36619718 0.38028169
 0.38732394 0.38732394 0.38732394 0.3943662  0.40140845 0.41549296
 0.42253521 0.42253521 0.42253521 0.42957746 0.47887324 0.52112676
 0.53521127 0.54225352 0.54225352 0.57042254 0.5915493  0.59859155
 0.59859155 0.61267606 0.61971831 0.62676056 0.62676056 0.62676056
 0.63380282 0.64788732 0.66901408 0.66901408 0.66901408 0.68309859
 0.69014085 0.69014085 0.6971831  0.70422535 0.71126761 0.71126761
 0.71830986 0.71830986 0.72535211 0.72535211 0.73239437 0.73239437
 0.73943662 0.74647887 0.74647887 0.74647887 0.76056338 0.78873239
 0.79577465 0.80985915 0.80985915 0.81690141 0.81690141 0.83098592
 0.83802817 0.83802817 0.83802817 0.84507042 0.87323944 0.8943662
 0.90140845 0.91549296 0.92253521 0.93661972 0.93661972 0.93661972
 0.94366197 0.95774648 0.97183099 0.98591549 0.99295775 0.99295775
 1.        ]","[0.         0.01       0.05       0.08666667 0.12333333 0.14333333
 0.16666667 0.18666667 0.19666667 0.20333333 0.20666667 0.25333333
 0.26333333 0.28       0.28666667 0.29333333 0.31       0.31666667
 0.32666667 0.35666667 0.36       0.36       0.38666667 0.39333333
 0.43       0.43       0.43666667 0.44       0.45666667 0.46
 0.46       0.46333333 0.46333333 0.49       0.49333333 0.49666667
 0.50666667 0.51333333 0.51666667 0.53       0.53666667 0.56
 0.56333333 0.57       0.58       0.58666667 0.62333333 0.65666667
 0.66       0.66666667 0.68       0.68666667 0.7        0.7
 0.70333333 0.72333333 0.73666667 0.74333333 0.75       0.75333333
 0.77666667 0.78333333 0.78333333 0.78666667 0.79666667 0.79666667
 0.79666667 0.80333333 0.80333333 0.81       0.81       0.81333333
 0.81666667 0.82       0.82666667 0.83333333 0.83333333 0.83666667
 0.84333333 0.84333333 0.84666667 0.85666667 0.86333333 0.88
 0.88       0.88333333 0.88666667 0.89333333 0.9        0.91333333
 0.91666667 0.92666667 0.93333333 0.93333333 0.94       0.95666667
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.97333333
 0.97333333 0.97333333 0.98       0.98       0.99       0.99333333
 1.        ]",0.5911384976525821,0.06280303001403809,0.13171601295471191,0.0036020278930664062,3741,797,1,2.1202932161699722e-07,3.5740203553066363e-07,5.054780321769219e-09
0.6968325791855203,0.8005952380952381,0.6146668113250564,"[0.         0.02816901 0.02816901 0.03521127 0.03521127 0.03521127
 0.08450704 0.08450704 0.08450704 0.09859155 0.1056338  0.14788732
 0.15492958 0.16901408 0.18309859 0.18309859 0.20422535 0.21126761
 0.21830986 0.24647887 0.24647887 0.25352113 0.25352113 0.25352113
 0.26760563 0.28169014 0.28873239 0.28873239 0.29577465 0.29577465
 0.33098592 0.35915493 0.35915493 0.36619718 0.37323944 0.38028169
 0.38028169 0.3943662  0.3943662  0.4084507  0.42253521 0.44366197
 0.44366197 0.44366197 0.47183099 0.47183099 0.47887324 0.47887324
 0.49295775 0.49295775 0.50704225 0.53521127 0.53521127 0.53521127
 0.54929577 0.57042254 0.57746479 0.59859155 0.6056338  0.6056338
 0.61971831 0.62676056 0.62676056 0.62676056 0.63380282 0.63380282
 0.64788732 0.65492958 0.66197183 0.68309859 0.69014085 0.69014085
 0.6971831  0.71126761 0.72535211 0.76056338 0.77464789 0.83098592
 0.83098592 0.85211268 0.85915493 0.88028169 0.9084507  0.94366197
 0.95070423 0.96478873 0.97887324 0.99295775 0.99295775 1.        ]","[0.         0.05333333 0.08666667 0.09       0.10333333 0.12
 0.19666667 0.20666667 0.22666667 0.24333333 0.25       0.27666667
 0.31       0.32666667 0.34       0.34666667 0.35666667 0.38
 0.39333333 0.41       0.41333333 0.41333333 0.42       0.43666667
 0.44333333 0.44333333 0.44333333 0.45       0.47333333 0.48
 0.51333333 0.53       0.54       0.54666667 0.55666667 0.58
 0.58333333 0.59333333 0.6        0.61333333 0.61666667 0.61666667
 0.62       0.63333333 0.66333333 0.67       0.67       0.67333333
 0.69333333 0.69666667 0.71333333 0.72333333 0.72666667 0.73333333
 0.73666667 0.76333333 0.79666667 0.81333333 0.81333333 0.81666667
 0.81666667 0.82       0.82666667 0.83333333 0.83666667 0.85666667
 0.86666667 0.87333333 0.87333333 0.87333333 0.88333333 0.89
 0.89       0.89       0.89666667 0.91       0.91666667 0.92333333
 0.93       0.93       0.93666667 0.93666667 0.94666667 0.96666667
 0.96666667 0.97333333 0.98       0.98333333 0.99666667 1.        ]",0.6433802816901408,0.03471016883850098,0.1309340000152588,0.004542827606201172,3741,797,1,1.1515283984206838e-07,3.661441263155807e-07,7.94808465901355e-09
0.667420814479638,0.7866473149492018,0.6568658865254846,"[0.         0.00704225 0.04225352 0.06338028 0.06338028 0.06338028
 0.07746479 0.1056338  0.14084507 0.15492958 0.16901408 0.17605634
 0.19014085 0.19014085 0.1971831  0.21126761 0.21126761 0.21830986
 0.23239437 0.23943662 0.23943662 0.25352113 0.26056338 0.26056338
 0.28169014 0.3028169  0.30985915 0.30985915 0.33802817 0.34507042
 0.34507042 0.35211268 0.35211268 0.35915493 0.37323944 0.3943662
 0.40140845 0.40140845 0.4084507  0.41549296 0.41549296 0.42253521
 0.45070423 0.45774648 0.48591549 0.53521127 0.55633803 0.59859155
 0.6056338  0.61267606 0.63380282 0.64788732 0.64788732 0.65492958
 0.65492958 0.67605634 0.69014085 0.69014085 0.6971831  0.6971831
 0.71126761 0.73239437 0.73239437 0.73943662 0.74647887 0.76056338
 0.77464789 0.77464789 0.77464789 0.78169014 0.78873239 0.79577465
 0.80985915 0.82394366 0.83098592 0.83098592 0.83098592 0.83098592
 0.84507042 0.85211268 0.85211268 0.86619718 0.87323944 0.88732394
 0.90140845 0.9084507  0.9084507  0.92253521 0.92253521 0.92253521
 0.92957746 0.95774648 0.96478873 0.99295775 1.        ]","[0.         0.01333333 0.07       0.08666667 0.11       0.13666667
 0.14       0.15333333 0.19666667 0.23666667 0.24       0.25
 0.27       0.27333333 0.28       0.28666667 0.29666667 0.30333333
 0.33666667 0.34666667 0.36333333 0.36666667 0.37333333 0.37666667
 0.38666667 0.41       0.42333333 0.42666667 0.45666667 0.46666667
 0.47333333 0.48       0.48333333 0.48666667 0.49333333 0.50666667
 0.50666667 0.51333333 0.53666667 0.54       0.54666667 0.54666667
 0.56666667 0.58       0.59       0.65333333 0.66666667 0.67
 0.67333333 0.67333333 0.69       0.71333333 0.71666667 0.72333333
 0.72666667 0.75       0.77       0.77333333 0.78333333 0.78666667
 0.78666667 0.80666667 0.81       0.81       0.81333333 0.82
 0.82       0.82333333 0.83       0.83       0.83333333 0.84666667
 0.86666667 0.89       0.89       0.9        0.90333333 0.91
 0.91       0.91666667 0.92       0.93       0.93       0.93333333
 0.94666667 0.96       0.96333333 0.96333333 0.97       0.97333333
 0.97333333 0.98       0.98       0.98666667 1.        ]",0.5759389671361502,0.027248859405517578,0.10751795768737793,0.0043087005615234375,3741,797,1,8.695519659434594e-08,3.165487626778109e-07,5.1664107201892205e-09
0.6606334841628959,0.7813411078717202,0.6094302495674498,"[0.         0.         0.00704225 0.02112676 0.02112676 0.02816901
 0.03521127 0.06338028 0.06338028 0.07042254 0.0915493  0.0915493
 0.0915493  0.0915493  0.1056338  0.14084507 0.14084507 0.14084507
 0.14788732 0.14788732 0.14788732 0.16901408 0.19014085 0.19014085
 0.20422535 0.21830986 0.23239437 0.24647887 0.26760563 0.26760563
 0.27464789 0.28873239 0.29577465 0.3028169  0.31690141 0.33098592
 0.33098592 0.33098592 0.33098592 0.33098592 0.34507042 0.37323944
 0.38028169 0.38028169 0.3943662  0.4084507  0.45774648 0.46478873
 0.49295775 0.49295775 0.5        0.50704225 0.50704225 0.52816901
 0.52816901 0.53521127 0.55633803 0.5915493  0.59859155 0.59859155
 0.64788732 0.64788732 0.65492958 0.65492958 0.67605634 0.71126761
 0.71126761 0.71830986 0.72535211 0.72535211 0.73239437 0.73943662
 0.74647887 0.74647887 0.75352113 0.75352113 0.76056338 0.76760563
 0.76760563 0.78169014 0.83098592 0.83098592 0.83802817 0.83802817
 0.83802817 0.83802817 0.86619718 0.87323944 0.87323944 0.8943662
 0.90140845 0.9084507  0.9084507  0.91549296 0.92253521 0.92253521
 0.95070423 0.95774648 0.95774648 0.96478873 0.96478873 0.97887324
 0.99295775 1.         1.        ]","[0.         0.01       0.04       0.05666667 0.06       0.06333333
 0.13666667 0.15666667 0.16666667 0.17       0.25       0.26666667
 0.27       0.29666667 0.31666667 0.34333333 0.35333333 0.37
 0.39333333 0.43333333 0.44666667 0.44666667 0.45666667 0.46666667
 0.49       0.49666667 0.50333333 0.51       0.51333333 0.52
 0.53       0.53       0.53666667 0.53666667 0.53666667 0.55333333
 0.57333333 0.58       0.58333333 0.59333333 0.6        0.60666667
 0.60666667 0.62       0.62333333 0.64       0.65666667 0.65666667
 0.65666667 0.66333333 0.67666667 0.67666667 0.68       0.68
 0.68666667 0.69333333 0.71333333 0.73333333 0.75       0.76333333
 0.78333333 0.78666667 0.78666667 0.79       0.80666667 0.81
 0.82       0.82333333 0.82333333 0.83       0.83333333 0.84
 0.84       0.84333333 0.84666667 0.85       0.85333333 0.85333333
 0.85666667 0.86333333 0.89       0.89333333 0.89333333 0.89666667
 0.91666667 0.92       0.92333333 0.92666667 0.93       0.93333333
 0.93333333 0.94       0.94666667 0.95       0.95       0.95333333
 0.96       0.97       0.98       0.98       0.98666667 0.99333333
 0.99333333 0.99666667 1.        ]",0.6507276995305165,0.05094194412231445,0.10475945472717285,0.0042057037353515625,3741,797,1,1.3248561647256256e-07,3.2023227105235064e-07,5.2473484320712804e-09
